year,étions_VERB à_ADP,étions_VERB a_ADP,étions_VERB pas_ADV,etions_VERB à_ADP,etions_VERB a_ADP,etions_VERB pas_ADV
1800,1.5500730796702555e-06,6.288328968651058e-09,1.603523855919775e-07,0.0,0.0,0.0
1801,1.1691606687236344e-06,4.7623651688866175e-09,2.3811826110886614e-07,0.0,0.0,0.0
1802,1.2643796480915626e-06,4.475680270843441e-09,1.2308120744819462e-07,4.475680270843441e-09,0.0,2.2378401354217203e-09
1803,7.586819492644281e-07,1.950339223455444e-09,9.946730017418304e-08,0.0,0.0,0.0
1804,8.181826842701412e-07,4.943701892301533e-09,2.2246658204494452e-07,0.0,0.0,0.0
1805,9.864785397439846e-07,0.0,1.3077237781544682e-07,8.528632911009026e-09,0.0,0.0
1806,8.731457228350337e-07,5.76333825108577e-09,1.0950342499427279e-07,2.881669125542885e-09,0.0,0.0
1807,1.5743661379019613e-06,1.1387820464392462e-08,2.419911879769643e-07,0.0,0.0,0.0
1808,1.0877155318667064e-06,1.8128591960930862e-08,2.1074488643080258e-07,2.2660739951163578e-09,0.0,0.0
1809,9.442747455068456e-07,9.036122072814123e-09,1.8524050915402768e-07,0.0,0.0,0.0
1810,1.0834786507984973e-06,9.360507036149102e-09,2.7613495490186324e-07,4.680253518074551e-09,0.0,0.0
1811,8.072786954471667e-07,7.521229861140455e-09,2.0307321335621964e-07,2.5070767684098882e-09,0.0,0.0
1812,6.054562504687055e-07,8.00162425207418e-09,8.268345652595599e-08,0.0,0.0,0.0
1813,1.3228411717136623e-06,5.751483289628823e-09,2.5594101771275746e-07,0.0,0.0,0.0
1814,9.062430308404146e-07,0.0,1.8250727862323401e-07,0.0,0.0,0.0
1815,8.19955971564923e-07,0.0,1.537417375629957e-07,0.0,0.0,0.0
1816,9.87299245025497e-07,2.3176038865813098e-09,1.3442102897442965e-07,0.0,0.0,0.0
1817,7.472992251678079e-07,1.556873407970727e-09,1.3856173097792635e-07,4.670620334934483e-09,0.0,3.113746815941454e-09
1818,1.0371423968535964e-06,2.384235475716423e-09,1.9908365800347383e-07,3.5763532135746345e-09,0.0,1.1921177378582115e-09
1819,6.593618877559493e-07,1.3456364911235141e-08,1.0454560595007933e-07,0.0,0.0,0.0
1820,1.033570470099221e-06,1.3053129244156025e-08,1.685040302845664e-07,2.3732962262101864e-09,0.0,1.1866481131050932e-09
1821,1.086736006072897e-06,4.930744257336528e-09,2.2582808867355197e-07,2.9584463767662328e-09,0.0,1.97229765852569e-09
1822,1.0587050383037422e-06,1.0025615893027862e-09,1.7143803177077643e-07,1.0025615893027862e-09,0.0,0.0
1823,1.5169924836300197e-06,1.7788836736976066e-08,1.917241263527103e-07,5.929612356680991e-09,0.0,0.0
1824,1.1528503591762274e-06,5.052667617633233e-09,1.532642528445649e-07,1.6842225392110777e-09,0.0,8.421112696055388e-10
1825,1.1993013231403893e-06,5.283265824829186e-09,1.5409524678489106e-07,0.0,0.0,0.0
1826,1.2648265510506462e-06,6.1655889282974385e-09,1.3476216054186807e-07,8.807984341885344e-10,0.0,0.0
1827,1.0120566003024578e-06,5.530363889061363e-09,1.5485018423078145e-07,0.0,0.0,9.217273055917019e-10
1828,1.1933163932553725e-06,1.8344602503717056e-09,1.5134297370877903e-07,0.0,0.0,0.0
1829,1.4051435073270113e-06,1.0287811325060403e-08,2.1775866798634524e-07,8.57317605795771e-10,0.0,8.57317605795771e-10
1830,1.3275655419420218e-06,6.262101504006523e-09,1.7846988953351683e-07,4.174734336004349e-09,0.0,3.1310507520032616e-09
1831,1.5715935433036066e-06,1.2472964883158966e-08,2.5413666548956826e-07,3.1182412207897414e-09,0.0,0.0
1832,1.2339331760813366e-06,1.0823975715723577e-08,1.610066391322107e-07,4.058990921151917e-09,0.0,0.0
1833,4.200223884254228e-06,1.7375443306377747e-08,5.421138098427036e-07,2.3167257001688313e-09,0.0,3.4750886612755494e-09
1834,1.7464907386965933e-06,1.4935249481595747e-08,2.735017687882646e-07,9.334530925997342e-10,0.0,0.0
1835,1.6721987776691094e-06,9.832014313815307e-09,2.4353141725441674e-07,2.2689263801112247e-09,0.0,3.025235173481633e-09
1836,9.960151601262623e-07,3.3603750337896088e-09,1.4920064472789818e-07,0.0,6.720750067579218e-10,1.3441500135158435e-09
