year,belles_ADJ ailes_NOUN
1800,9.432493897065797e-09
1801,0.0
1802,0.0
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,5.76333825108577e-09
1807,0.0
1808,4.5321479902327155e-09
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,4.6352077731626196e-09
1817,1.71256075987003e-08
1818,1.0729059418679299e-08
1819,2.4842520929269085e-08
1820,1.3053129244156025e-08
1821,4.141825016290568e-08
1822,1.604098542884458e-08
1823,7.906149512848515e-09
1824,5.052667617633233e-09
1825,1.0566531649658373e-08
1826,8.80798456392995e-09
1827,1.8434546333878643e-08
1828,1.9261833017480967e-08
1829,2.743416338546467e-08
1830,1.2524203008013046e-08
1831,2.3386808933878456e-08
1832,4.464889968858188e-08
1833,3.243415847009601e-08
1834,1.213489042584115e-08
1835,1.5126175867408165e-08
1836,7.392825018825988e-09
1837,9.045257876039159e-09
1838,1.009945904684173e-08
1839,9.788065469251706e-09
1840,1.2739377330817092e-09
1841,5.778493683550323e-09
1842,1.341653010911159e-09
1843,2.3627644285539873e-09
1844,2.7442805805577564e-09
1845,1.2276501593078137e-08
1846,7.025401593807601e-09
1847,8.089835468183537e-09
1848,8.045221711050488e-10
1849,0.0
1850,6.1100964288129944e-09
1851,6.449438760824933e-09
1852,8.463708844885787e-09
1853,1.0152284346531815e-08
1854,3.63696517347023e-09
1855,1.0083180512765466e-08
1856,1.2425253714809514e-08
1857,1.0251168802710708e-08
1858,2.838332058274773e-08
1859,2.34239969643113e-08
1860,1.6935580049448618e-08
1861,2.357981898626349e-08
1862,8.584174260306554e-09
1863,1.0988165932701577e-08
1864,2.8768367688059016e-09
1865,9.88437331983505e-09
1866,8.271541673821048e-09
1867,1.8925964795357686e-08
1868,1.1855697756857353e-08
1869,1.1720445947105418e-08
1870,1.0894693147633916e-08
1871,0.0
1872,1.5723081503438152e-08
1873,1.0774807712721213e-08
1874,7.169530746864439e-09
1875,1.6592428764283795e-08
1876,1.5115036333668286e-08
1877,1.36065949618569e-08
1878,1.6305540029293297e-08
1879,1.4051448005147904e-08
1880,1.0910338410496934e-08
1881,8.367009307619355e-09
1882,1.9966154951589488e-08
1883,6.951272890631799e-09
1884,5.941527270181268e-09
1885,9.023890079618013e-09
1886,7.098810428374236e-09
1887,1.6322312390570914e-08
1888,1.2047167707862627e-08
1889,5.012109394186837e-09
1890,3.9326319978272295e-09
1891,3.824531802365527e-09
1892,1.4417578242387208e-08
1893,9.23762488724833e-09
1894,7.561847148451761e-09
1895,3.611168697403855e-09
1896,7.076434549446731e-09
1897,3.4960281336537946e-09
1898,4.52668391659472e-09
1899,7.185851913504848e-09
1900,1.557315876254961e-08
1901,9.500856101851696e-09
1902,9.820567692386817e-10
1903,4.860198465905796e-09
1904,3.2247751136083025e-09
1905,5.676835002077496e-09
1906,5.144184633820714e-09
1907,9.771402353919711e-09
1908,4.4202499438483756e-09
1909,9.901770070541716e-09
1910,9.619471441624228e-09
1911,5.852411444351446e-09
1912,9.897900277167082e-09
1913,3.71209285532359e-09
1914,1.3393487430235496e-09
1915,1.1780761921542648e-09
1916,5.493730803607377e-09
1917,0.0
1918,3.44591288836682e-09
1919,3.6831393490643904e-09
1920,8.329454459499175e-09
1921,9.844571380313027e-09
1922,8.115729421831475e-09
1923,1.5923921736771263e-08
1924,1.0313299547703991e-08
1925,8.798542339150117e-09
1926,1.7833821530643945e-08
1927,2.0068604555945058e-08
1928,5.713020723163709e-09
1929,6.684243825105796e-09
1930,1.2604324695075775e-08
1931,1.1405356659111021e-09
1932,1.0959536611565568e-09
1933,3.4411986593596566e-09
1934,1.4377896206951846e-08
1935,2.393656828303392e-09
1936,6.0623572828433225e-09
1937,2.5182236296217297e-09
1938,5.186085783037697e-09
1939,1.2235240376412548e-08
1940,2.5357829169792012e-09
1941,5.9030051957620344e-09
1942,2.1239483061208375e-08
1943,0.0
1944,9.639558484764166e-09
1945,1.089252066321933e-08
1946,9.744772988540262e-09
