year,dix_DET yeux_NOUN
1800,6.288328968651058e-09
1801,3.5717739876872656e-08
1802,4.475680270843441e-09
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,1.9928686256776018e-08
1808,0.0
1809,3.840351858741542e-08
1810,9.360507036149102e-09
1811,1.2535384286138651e-08
1812,2.6672082320544632e-09
1813,2.8757416448144113e-09
1814,2.8320094713762956e-08
1815,0.0
1816,0.0
1817,1.556873407970727e-09
1818,3.5763532135746345e-09
1819,1.035105001712111e-09
1820,2.1359666035891678e-08
1821,7.88919063410276e-09
1822,4.010246357211145e-09
1823,7.906149512848515e-09
1824,1.2631669044083083e-08
1825,5.283265824829186e-09
1826,1.761596823968148e-08
1827,5.530363722527909e-09
1828,2.109629271274116e-08
1829,8.573175946935407e-09
1830,2.0873671680021744e-09
1831,1.091384405071949e-08
1832,1.488296597074168e-08
1833,0.0
1834,1.4001796166951408e-08
1835,4.5378527602224494e-09
1836,2.688300027031687e-09
1837,1.1132625488130543e-08
1838,1.5780405204779413e-08
1839,4.194885327990505e-09
1840,9.554533164646273e-09
1841,2.0545755319290038e-08
1842,4.695785538189057e-09
1843,2.008349753168659e-08
1844,1.7563396292885614e-08
1845,1.4508592549589139e-08
1846,1.5807152919933287e-08
1847,8.629157832729106e-09
1848,5.63165514222419e-09
1849,2.513824481908955e-09
1850,0.0
1851,8.384270167027807e-09
1852,1.3021090872200602e-08
1853,2.9859659189668264e-09
1854,2.0782657816909023e-09
1855,4.2455496895854594e-09
1856,4.141751386299575e-09
1857,8.298565390418844e-09
1858,5.3830437884982985e-09
1859,1.2221216039165483e-08
1860,1.5562426014525954e-08
1861,6.13075279431996e-09
1862,1.3102160245637151e-08
1863,2.3474717281146695e-08
1864,1.8699438442126848e-08
1865,1.2237795665726026e-08
1866,1.0704348518686402e-08
1867,4.85281148598915e-10
1868,2.9639244392143382e-09
1869,4.883519366671862e-09
1870,2.2936195165357276e-09
1871,3.18635318130589e-09
1872,1.2094678591978436e-09
