year,les_DET eaux_NOUN,les_DET peaux_NOUN
1800,6.798626600357238e-05,4.172306276473137e-06
1801,5.570538405663683e-05,6.88161754114347e-06
1802,6.57835489619174e-05,3.936360940315353e-06
1803,6.877285841255798e-05,4.280994530203586e-06
1804,6.552382501467946e-05,3.280146180228982e-06
1805,6.032870669514523e-05,2.5443756461740463e-06
1806,5.051277844358992e-05,1.8356232054372867e-06
1807,5.490352896231343e-05,3.6070920352848646e-06
1808,5.092548053653445e-05,2.7736745185080736e-06
1809,5.907139029659447e-05,4.3215254521555835e-06
1810,5.2238649459468434e-05,2.5835000485585624e-06
1811,5.3568709972751094e-05,2.8129402096510603e-06
1812,5.794242997581023e-05,2.2431221693430814e-06
1813,4.849650667893002e-05,1.9900131840167035e-06
1814,4.401571959533612e-05,3.3795312748274853e-06
1815,5.169229098100914e-05,2.4409872965147628e-06
1816,5.242188080956112e-05,2.3685911489934597e-06
1817,4.4865978225061554e-05,2.011480404462418e-06
1818,5.1160924613213865e-05,1.98010756502498e-06
1819,4.7381931381096365e-05,1.6489222964821693e-06
1820,3.839281180262333e-05,2.0742608706214583e-06
1821,3.80860542463779e-05,1.141960398021169e-06
1822,4.8787653213366866e-05,1.3344095179945725e-06
1823,3.7892198633926455e-05,2.2720296929401584e-06
1824,4.0812080214891466e-05,2.160857452970788e-06
1825,4.547130765786278e-05,1.8702760853361866e-06
1826,4.5599815848618164e-05,1.7598352201053657e-06
1827,4.266859968993231e-05,2.2139889290784254e-06
1828,4.227238491694152e-05,2.1866765014810774e-06
1829,4.606024685926968e-05,2.039558583355472e-06
1830,4.466026530280942e-05,2.6259078569346173e-06
1831,4.8145645450858865e-05,2.0206203430461755e-06
1832,4.258693161318661e-05,2.6329321213269807e-06
1833,5.670186237693997e-05,2.623691806036277e-06
1834,4.441183205017296e-05,3.1765407746409124e-06
1835,5.218606474954868e-05,2.869435625996175e-06
1836,4.175064509581716e-05,1.7272327319517444e-06
1837,4.713414455181919e-05,1.8535821801890506e-06
1838,4.5350988330028486e-05,1.426548545069295e-06
1839,4.228024772601202e-05,2.6413792899582234e-06
1840,4.3711350599551224e-05,1.7892455765888826e-06
1841,4.367578185338061e-05,2.2748004395722887e-06
1842,3.850678172057087e-05,1.4885640364781239e-06
1843,4.213517991047411e-05,1.7720732721215882e-06
1844,4.2020973978651455e-05,2.6723804618655755e-06
1845,4.3623432247841265e-05,1.5183800492479804e-06
1846,4.385255556371703e-05,1.5853989765446386e-06
1847,3.948055450564425e-05,1.671899344302119e-06
1848,4.3825539705721894e-05,1.7964980223439397e-06
1849,4.31640432907443e-05,1.246018973999341e-06
1850,3.981474583270028e-05,1.8153775194207356e-06
1851,4.472298724067514e-05,2.7171486127741673e-06
1852,4.753544521918229e-05,1.8522501470386032e-06
1853,4.7953417379176244e-05,2.6658704523896404e-06
1854,4.652613529287919e-05,1.6397516855448657e-06
1855,4.722218659480859e-05,1.913150846633016e-06
1856,4.4654809698840836e-05,1.9083119067175858e-06
1857,4.9362308800482424e-05,1.8954899303480488e-06
1858,4.278541041458084e-05,1.7935322382811592e-06
1859,4.789290733242524e-05,1.5851936101540787e-06
1860,4.40297640125209e-05,2.0514937943971745e-06
1861,4.351419875092688e-05,2.2820548828406118e-06
1862,4.55652457276301e-05,1.9074938464314073e-06
1863,4.365847894405306e-05,1.8754800947817785e-06
1864,4.697203030445962e-05,1.8253528999423452e-06
1865,4.387814396977774e-05,1.4096998555146456e-06
