year,serez_VERB heureux_ADJ
1800,1.3834323908668011e-07
1801,1.73826322225068e-07
1802,1.4993528907325526e-07
1803,1.6382848855300836e-07
1804,2.2741028260497842e-07
1805,2.1890159018767008e-07
1806,9.797675204481493e-08
1807,1.822051274302794e-07
1808,1.155697759713803e-07
1809,1.197286110254936e-07
1810,2.223120389999167e-07
1811,8.524060746140094e-08
1812,6.934741492159446e-08
1813,8.91479885467561e-08
1814,1.3845379953636439e-07
1815,2.022917726662854e-07
1816,1.5527946573001827e-07
1817,1.743698163636509e-07
1818,1.1563542301473717e-07
1819,1.3249344021915022e-07
1820,1.2578469466006936e-07
1821,1.715899031751178e-07
1822,2.315917271289436e-07
1823,1.2946320282480883e-07
1824,1.6673803315825353e-07
1825,1.8667539336547634e-07
1826,1.2331177856594877e-07
1827,1.2719836206542823e-07
1828,1.3116390107370535e-07
1829,1.354561760535944e-07
1830,1.2524202475105994e-07
1831,1.7618063452573551e-07
1832,1.393586899212096e-07
1833,1.783878786909554e-07
1834,1.782895395763262e-07
1835,1.5731222902104491e-07
1836,1.8549269498180365e-07
1837,1.224588856985065e-07
1838,1.4581094376353576e-07
1839,1.2235081214839738e-07
1840,2.0574094605763094e-07
1841,1.8298563020380243e-07
1842,2.1533530514261656e-07
1843,1.789794055184757e-07
1844,1.3392089215358283e-07
1845,1.8414752389617206e-07
1846,2.0666389843881916e-07
1847,1.4561703665094683e-07
1848,1.1585119352730544e-07
1849,9.971503800443315e-08
1850,1.3442212321024272e-07
1851,1.9348316016021272e-07
1852,1.9922269700600737e-07
1853,1.725888267856135e-07
1854,1.917200194156976e-07
1855,1.8308932681065926e-07
1856,1.8741424412382912e-07
1857,1.9574851251036307e-07
1858,2.2657719966900913e-07
1859,1.4665459957541316e-07
1860,1.5928600305414875e-07
1861,1.7826343423621438e-07
1862,1.5044894041693624e-07
1863,1.7581065492322523e-07
1864,1.946659580198684e-07
1865,2.2451646941590298e-07
1866,1.9754388347337226e-07
1867,1.44613778729763e-07
1868,1.5856996071761387e-07
1869,1.6750470877013868e-07
1870,1.6972784067093016e-07
1871,1.646282470346705e-07
1872,1.0764264146700953e-07
1873,1.532417144289866e-07
1874,1.1590741877398614e-07
1875,1.3388373076850257e-07
1876,1.2817551464650023e-07
1877,1.1441909464338096e-07
1878,1.5762022087528749e-07
1879,1.4540194115397753e-07
1880,1.1423766466123197e-07
1881,1.2759689127506135e-07
1882,1.4974617101870535e-07
1883,1.0047748588704053e-07
1884,1.2675258176386706e-07
1885,1.1344318551209653e-07
1886,9.228453023979455e-08
1887,9.075205298358924e-08
1888,1.0715638865121946e-07
1889,1.2467621957057418e-07
1890,8.651790039948537e-08
1891,1.1473596117639318e-07
1892,1.0405730677121028e-07
1893,1.0469307909488634e-07
1894,6.931693263823036e-08
1895,9.569597381187123e-08
1896,6.427761434224522e-08
1897,1.1653427378632841e-07
1898,8.827033326497258e-08
1899,7.849160965633928e-08
1900,1.0953122142609573e-07
1901,1.3468860515786218e-07
1902,9.96787647977726e-08
1903,8.424343889146257e-08
1904,7.255744094436523e-08
1905,8.670075146710587e-08
1906,1.214027491869274e-07
1907,8.948547502996007e-08
1908,1.0854169829599414e-07
1909,1.2377212499359302e-07
1910,9.031614922605513e-08
1911,8.565802289695057e-08
1912,9.272769574408812e-08
1913,8.802962980780649e-08
1914,9.040603998755614e-08
1915,8.128725426104211e-08
1916,1.1646709907608965e-07
1917,8.444146715191891e-08
1918,8.270190932080368e-08
1919,7.182121919413476e-08
1920,7.193619921963545e-08
1921,9.087296604093353e-08
1922,9.00108148016443e-08
1923,7.643483002084395e-08
1924,8.508472149060253e-08
1925,9.238469544925465e-08
1926,6.018914433525424e-08
1927,8.361918446553318e-08
1928,1.0740478728621383e-07
1929,6.795647777835256e-08
1930,4.8316575629314684e-08
1931,8.211856794559935e-08
1932,5.4797684612140074e-08
1933,5.276504566609219e-08
1934,1.0304158593044122e-07
1935,6.223507398317452e-08
1936,4.607391446143083e-08
1937,5.791914503561202e-08
1938,4.537825049055755e-08
1939,6.882322622914216e-08
1940,5.832300686847702e-08
1941,3.5418032950929046e-08
1942,5.461581054078124e-08
1943,7.548411673496958e-08
1944,4.177142187700156e-08
1945,5.664110602765504e-08
1946,5.4292307538617024e-08
1947,6.07964452115084e-08
1948,8.371353743541476e-08
1949,4.515823803785679e-08
1950,7.657460088239532e-08
1951,1.0448173526356186e-07
1952,8.330395218081321e-08
1953,6.679773179030235e-08
1954,4.29991580119804e-08
1955,2.627970197011109e-08
1956,7.849027383599605e-08
1957,6.537928243233182e-08
1958,5.9560154141991006e-08
1959,6.820658171591276e-08
1960,5.6750835142338474e-08
1961,5.628008992175637e-08
1962,6.088278325933061e-08
1963,5.302163685882988e-08
1964,6.449006662023749e-08
1965,6.949495201524769e-08
1966,6.480717473777986e-08
1967,5.719189388742052e-08
1968,5.749012288447375e-08
1969,7.357647291428293e-08
1970,7.311972893830898e-08
1971,5.60085311462899e-08
1972,4.565830735714371e-08
1973,5.678599990233124e-08
1974,4.387946006545462e-08
1975,8.110301763508687e-08
1976,4.342280490732264e-08
1977,4.407586473575975e-08
1978,4.396037667220298e-08
