year,pays_NOUN heureux_ADJ
1800,2.2009151834367913e-08
1801,4.524246932646747e-08
1802,4.699464284385613e-08
1803,8.776526527753958e-08
1804,6.426812149129546e-08
1805,5.685755510853596e-08
1806,1.3255677799861587e-07
1807,6.263301344233696e-08
1808,1.5862518409903714e-08
1809,2.25903047379461e-08
1810,5.616304266098382e-08
1811,4.512738271955641e-08
1812,3.7340914360584065e-08
1813,1.7254450312975678e-08
1814,7.552024783308298e-08
1815,7.552225866902518e-08
1816,2.5493642752394408e-08
1817,4.2035583236454954e-08
1818,2.98029441125891e-08
1819,2.5877625375869684e-08
1820,2.966620371580575e-08
1821,7.001656854299654e-08
1822,2.5064039732569654e-08
1823,3.5577674140085946e-08
1824,4.884245274894283e-08
1825,4.490776106536032e-08
1826,3.6112734136395375e-08
1827,5.7147094167930845e-08
1828,2.4765213879618386e-08
1829,4.2865881511033876e-08
1830,2.7135772739939057e-08
1831,2.494592976631793e-08
1832,1.8941957335982806e-08
1833,3.4750886612755494e-08
1834,3.360431222176885e-08
1835,4.689114518896531e-08
1836,4.301280043250699e-08
1837,4.244313345225237e-08
1838,2.7142295522253335e-08
1839,2.3771015378315496e-08
1840,4.458781999172601e-08
1841,1.733548060656176e-08
1842,2.2808102073668124e-08
1843,3.898561473647533e-08
1844,2.9638231424655714e-08
1845,2.8459162138005922e-08
1846,5.1519613464279246e-08
1847,4.0449178229096105e-08
1848,3.459445352405055e-08
1849,1.4245005175439474e-08
1850,1.8330290174617403e-08
1851,1.2898877077560655e-08
1852,2.0833746283699384e-08
1853,3.105404622338881e-08
1854,3.4291385730966795e-08
1855,1.6982198758341838e-08
1856,1.501384794266869e-08
1857,2.4407546206361985e-08
1858,1.8595969208945462e-08
1859,3.2080691658720184e-08
1860,3.4786598490654796e-08
1861,2.5466203368296192e-08
1862,2.8915112110228236e-08
1863,4.295374012031061e-08
1864,3.931677028390368e-08
1865,3.153585759196886e-08
1866,2.7247432754506917e-08
1867,3.154327288257264e-08
1868,1.3831646938911035e-08
1869,2.0510780629479086e-08
1870,2.8096839077562663e-08
1871,3.186353225714811e-08
1872,1.9956219787786722e-08
1873,2.753562017288047e-08
1874,3.525019565131515e-08
1875,4.062284375550007e-08
1876,3.567148776362217e-08
1877,4.143826648483895e-08
1878,2.9591535222195375e-08
1879,2.016077260691418e-08
1880,3.273101611966922e-08
1881,3.137628468152798e-08
1882,1.7304001787010748e-08
1883,3.033282780506852e-08
1884,2.0465261485469455e-08
1885,1.9981470755769948e-08
1886,1.355227396970804e-08
1887,3.1991731930247624e-08
1888,1.0779045211961602e-08
1889,2.0674951528576457e-08
1890,2.5562107097698572e-08
1891,3.314594465564369e-08
1892,3.07157106416156e-08
1893,1.539604177480669e-08
1894,4.537108111435373e-08
1895,2.467631965430428e-08
1896,3.774098544795379e-08
1897,3.2046923781337e-08
1898,1.810673566637888e-08
1899,3.15071986278781e-08
1900,2.387884379118077e-08
1901,2.6825946020103686e-08
1902,1.5712908307818907e-08
1903,3.5101430873041295e-08
1904,4.998401337275027e-08
1905,3.767354073147544e-08
1906,3.0865106026567446e-08
1907,3.1371342856800766e-08
1908,3.781769430943882e-08
1909,3.4656196135074424e-08
1910,2.2979847358328698e-08
1911,4.841540302003011e-08
1912,3.229841238905351e-08
1913,3.553003224965323e-08
1914,4.486818383497848e-08
1915,3.887651445211304e-08
1916,2.4172416956957932e-08
1917,2.4126133979507358e-08
1918,5.972915761986997e-08
1919,3.498982437122322e-08
1920,3.028892692213958e-08
1921,5.2251956983440095e-08
1922,2.87739485571592e-08
1923,2.1231896241147297e-08
1924,5.543398629015428e-08
1925,3.849362140151413e-08
1926,2.89799594321849e-08
1927,4.1252132376712325e-08
1928,3.313552099371009e-08
1929,4.567566591617833e-08
1930,4.516549623190258e-08
1931,5.360517718600022e-08
1932,4.931791530715657e-08
1933,3.670611858908046e-08
1934,2.995395043114968e-08
1935,4.188899449530936e-08
1936,4.7286387250267126e-08
1937,3.777335422228134e-08
1938,2.852347158466273e-08
1939,3.211750598808294e-08
1940,4.564409294971483e-08
1941,7.67390702094417e-08
1942,3.034211704111556e-08
1943,8.129058759465124e-08
1944,6.7476911169706e-08
1945,3.921307367704685e-08
1946,4.315542501132086e-08
1947,5.006765868564855e-08
1948,6.740570523966483e-08
1949,6.871906066407973e-08
1950,7.444753169494334e-08
1951,5.650543066781921e-08
1952,5.166953798152463e-08
1953,5.925605028878067e-08
1954,4.983993462381875e-08
1955,4.8805159469367254e-08
1956,7.412970104425654e-08
1957,3.799066305987253e-08
1958,4.218844296133284e-08
1959,4.2629113572445476e-08
1960,5.1214165353030694e-08
1961,6.114380068922287e-08
1962,3.868593267952747e-08
1963,4.396916053472921e-08
1964,3.9545792418493875e-08
1965,4.8701186472488445e-08
1966,3.988133945309613e-08
1967,3.7963584276212714e-08
1968,4.5363301504064424e-08
1969,4.314670065674875e-08
1970,3.3110819697146354e-08
1971,3.596878217493327e-08
1972,2.8728821988011077e-08
1973,3.418186467207818e-08
1974,3.4315985830701834e-08
1975,3.084199162728396e-08
1976,2.6853577139718254e-08
1977,3.055926606210235e-08
1978,3.089107480924724e-08
1979,3.9793418116218504e-08
1980,2.5014663285194416e-08
1981,2.4669642328944974e-08
1982,2.60715092847974e-08
1983,2.841892232652299e-08
1984,3.073474630355122e-08
1985,2.767156781491309e-08
