year,aurez_VERB assez_ADV,aurez_VERB passé_VERB
1800,7.545995117652637e-08,3.144164395507687e-08
1801,6.429193177837078e-08,3.809892135109294e-08
1802,7.832440473976021e-08,3.1329761895904085e-08
1803,6.046051481689574e-08,2.9255089017965474e-08
1804,5.19088700912107e-08,2.7190360185613827e-08
1805,4.264316544322355e-08,3.098736840456695e-07
1806,7.780506905419315e-08,1.0662175498055149e-07
1807,3.9857372513552036e-08,5.124519120158766e-08
1808,3.6257183921861724e-08,3.852325747288887e-08
1809,2.0331274441787173e-08,6.551188391767937e-08
1810,7.956430891908894e-08,5.148278958699848e-08
1811,6.016983888912364e-08,2.0056614147279106e-08
1812,6.401299401659344e-08,3.200649700829672e-08
1813,5.463909147351842e-08,2.300593315851529e-08
1814,6.293354282149721e-09,1.8880061958270744e-08
1815,3.506390555685357e-08,3.506390555685357e-08
1816,3.244645441213834e-08,1.1588019432906549e-08
1817,5.1376822796100896e-08,5.7604317760251433e-08
1818,3.695565098382758e-08,3.5763530803478716e-08
1819,3.726378139390363e-08,8.591371170041384e-08
1820,4.2719332071783356e-08,9.01852530432734e-08
1821,4.7335142028259725e-08,5.226588939422072e-08
1822,5.413832582235045e-08,8.822541985864518e-08
1823,5.336650943377208e-08,2.569498569471307e-08
1824,3.03160057057994e-08,4.0421340941065864e-08
1825,5.2832657360113444e-08,6.427973175959778e-08
1826,8.279505436803447e-08,4.051672775062798e-08
1827,3.410390903013649e-08,1.935627302884768e-08
1828,2.0179061976932644e-08,6.787502826455238e-08
1829,2.2290258527846163e-08,2.8291481157793896e-08
1830,4.174734158368665e-08,4.174734158368665e-08
1831,5.456922025359745e-08,3.741889287312006e-08
1832,8.117981309396782e-08,6.629684889958298e-08
1833,4.9809603552830595e-08,2.20088942626262e-08
1834,4.85395617033646e-08,7.467625096069241e-08
1835,7.563087933704082e-08,5.3697924329298985e-08
1836,6.51912728244497e-08,4.9061476659062464e-08
1837,7.51452233771488e-08,5.0792603900617905e-08
1838,8.39517539930057e-08,6.56464820281144e-08
1839,1.237491176198091e-07,5.872839281551023e-08
1840,6.242294858793684e-08,2.293087852933695e-08
1841,4.55858959469424e-08,5.393260948949319e-08
1842,6.708265232191479e-08,4.293289634915709e-08
1843,4.7255287682901326e-08,4.252975926988256e-08
1844,6.147188713612195e-08,3.732221642849254e-08
1845,4.910600637231255e-08,2.0088821273134272e-08
1846,5.678866443759034e-08,3.922516000898213e-08
1847,3.235934187273415e-08,2.6426796750911308e-08
1848,4.666228647920434e-08,1.850401076808339e-08
1849,1.5920887719289567e-08,3.100383594301093e-08
1850,4.1412874907109654e-08,2.5798184921654865e-08
1851,5.93348374877678e-08,4.772584816237213e-08
1852,4.492276417522589e-08,2.929745512858517e-08
1853,5.6136158832487126e-08,8.719020172520686e-08
1854,5.0917510208137173e-08,4.46827144173767e-08
1855,4.5108965451845506e-08,3.290301009428731e-08
1856,6.160855292591805e-08,4.193523395201737e-08
1857,5.125584578991038e-08,4.051652524594829e-08
1858,5.529853908115001e-08,6.900083349137276e-08
1859,6.110607841947058e-08,5.244938705573077e-08
1860,5.858795404378725e-08,4.668727626722102e-08
1861,5.94211435611669e-08,9.29044858821726e-08
1862,6.189641510445654e-08,7.951656044724587e-08
1863,5.693867777267769e-08,1.223682062345688e-07
1864,8.582563282288902e-08,7.14414483127257e-08
1865,6.213034708935083e-08,4.848049783845454e-08
1866,6.3252969084715e-08,4.525020003143254e-08
1867,4.901339423213358e-08,8.20125123368598e-08
1868,6.86642493974432e-08,4.544684273355415e-08
1869,2.8812763730456936e-08,4.2974967584541446e-08
1870,5.504686839685746e-08,3.612450782952692e-08
1871,4.460894587055009e-08,2.3366590440332402e-08
1872,4.475031190054324e-08,3.688877114882416e-08
1873,4.1303430009520525e-08,5.986004225633224e-08
1874,6.572069821686455e-08,2.6885741633009275e-08
1875,4.920513418937844e-08,3.718992758194872e-08
1876,3.264847947548333e-08,5.139112602137175e-08
1877,1.6699003069220453e-08,2.783167118991514e-08
1878,2.8383716710322915e-08,1.2078177569208037e-08
1879,5.1929266220440695e-08,6.536978247595471e-08
1880,6.482024872411785e-08,2.9522093214495726e-08
1881,5.996356833293248e-08,3.137628468152798e-08
1882,5.257754409626614e-08,5.1912003584675404e-08
1883,4.92908434068795e-08,2.9068958795619437e-08
1884,7.459917839014452e-08,2.1125430293977843e-08
1885,5.1565084646654213e-08,2.513797880965285e-08
1886,3.6784744139595205e-08,4.840097744818195e-08
1887,9.466941008895446e-08,3.656197833379338e-08
1888,3.106901047544852e-08,2.0924028731883482e-08
1889,2.7566601445982997e-08,2.380751951136517e-08
1890,5.1124214195397144e-08,1.5075089621063853e-08
1891,2.6134301833735663e-08,7.649063604731055e-09
1892,4.325273650351846e-08,1.6924984080901595e-08
1893,2.3401982574000613e-08,1.7859408174558666e-08
1894,2.835692747282792e-08,2.142523314319078e-08
1895,2.7083764564395096e-08,2.1065151400989635e-08
1896,4.009979548413867e-08,1.1204354777305525e-08
1897,3.6708296846654775e-08,1.9228155068162778e-08
1898,4.0740154361174064e-08,1.9238406423482957e-08
1899,3.924580482816964e-08,1.9346524382513053e-08
1900,3.218453059616877e-08,9.34389543516545e-09
1901,3.409130755471779e-08,1.620734302321125e-08
1902,2.897067474805226e-08,3.1425816615637814e-08
1903,3.67214987306852e-08,2.808114629715419e-08
1904,3.9772224624812225e-08,2.4723275870996986e-08
1905,3.560923644840841e-08,2.2191263937543226e-08
1906,2.983626856689625e-08,2.1091157265118454e-08
1907,2.262851062084792e-08,2.1599941391059474e-08
1908,3.1432890068572306e-08,2.0627833663411366e-08
1909,3.4106097501762633e-08,2.585462333115629e-08
1910,2.137660359835536e-08,3.634022505139001e-08
1911,3.511446777793026e-08,2.8197982615552064e-08
1912,2.344239469209697e-08,2.6568049094066737e-08
1913,3.553003224965323e-08,3.075734156254839e-08
1914,2.9465672568562695e-08,1.6741859454327823e-08
