year,serais_VERB à_ADP,serais_VERB a_ADP,serais_VERB pas_ADV
1800,9.118077315406481e-08,0.0,1.0344301699660718e-06
1801,8.810375362600098e-08,0.0,9.381859626955702e-07
1802,6.937304419807333e-08,0.0,6.691142289128038e-07
1803,6.241085515057421e-08,0.0,7.937880468489311e-07
1804,1.087614407424553e-07,0.0,1.2952499446328147e-06
1805,7.391481915419718e-08,0.0,6.851335001556436e-07
1806,3.7461699520235925e-08,0.0,6.512572099381941e-07
1807,9.679647661187119e-08,0.0,1.1473229051262024e-06
1808,5.891792298484688e-08,0.0,6.752900389983552e-07
1809,1.219876537561504e-07,0.0,8.832809044179157e-07
1810,1.1700633706368535e-07,0.0,7.184189030340349e-07
1811,9.27618373225414e-08,2.5070767684098882e-09,8.34856564324582e-07
1812,7.20146218213813e-08,0.0,1.226915742336132e-06
1813,1.1790540810352468e-07,0.0,1.610415324648784e-06
1814,9.125363931161701e-08,0.0,1.2397907767081051e-06
1815,5.933891955578474e-08,0.0,1.389070121149416e-06
1816,4.1716869958463576e-08,0.0,9.59488033913658e-07
1817,1.3389110620209976e-07,1.556873407970727e-09,1.8028594013230759e-06
1818,1.5735953695639182e-07,0.0,1.7166495354103972e-06
1819,8.69488232524418e-08,0.0,1.0175082252317225e-06
1820,1.4477106446975085e-07,1.1866481131050932e-09,1.4975498743297067e-06
1821,2.919000507972669e-07,0.0,2.134026090061525e-06
1822,2.1254305693219067e-07,0.0,1.992089892155491e-06
1823,1.4824030358795426e-07,0.0,1.9340418475621846e-06
1824,1.212640228231976e-07,8.421112696055388e-10,1.7490650634499616e-06
1825,1.3032055790063168e-07,0.0,1.6105154827528168e-06
1826,1.6294771398861485e-07,8.807984341885344e-10,1.2886081321994425e-06
1827,1.4102427314810484e-07,0.0,1.293183458983549e-06
1828,1.467568182533796e-07,0.0,1.705130785012443e-06
1829,9.773420828196322e-08,2.571952872898464e-09,2.0121244688198203e-06
1830,2.410909019090468e-07,0.0,2.1562502752203727e-06
1831,1.4811645598911127e-07,0.0,2.17653246181726e-06
1832,2.0971452840967686e-07,1.3529969367098715e-09,1.9171966414432973e-06
1833,1.9460496503143077e-07,1.1583628500844156e-09,1.8985566612172988e-06
1834,1.521528503189984e-07,9.334530925997342e-10,2.0218594727339223e-06
1835,1.5277437626082246e-07,7.563087933704082e-10,2.2424555936595425e-06
1836,1.1089237261785456e-07,2.0162250202737653e-09,1.6344864661732572e-06
1837,1.669893805456013e-07,0.0,1.738776973070344e-06
1838,1.230871617963203e-07,6.312161904276081e-10,1.3987751117383596e-06
1839,1.4052865537905745e-07,2.09744255297295e-09,1.4856884718028596e-06
1840,1.229349919640299e-07,0.0,1.7217267895830446e-06
1841,1.1749603601174385e-07,0.0,1.5030503845991916e-06
1842,8.117000760421433e-08,0.0,1.7320739971182775e-06
1843,1.1577545677710077e-07,0.0,1.6344422419933835e-06
1844,1.0373381087447342e-07,0.0,1.7497533235655283e-06
1845,1.1774280750387334e-07,1.1160455892778032e-09,1.657327743487258e-06
1846,1.3875168747290445e-07,5.854501328173001e-10,1.564908188811387e-06
1847,8.143767615820252e-08,0.0,1.454013045076863e-06
1848,1.1102405750307298e-07,1.6090443422100975e-09,1.6613382740615634e-06
1849,8.295620546050486e-08,0.0,1.5074567727424437e-06
1850,9.097254860535031e-08,0.0,1.4331570810099947e-06
1851,1.1737978411474614e-07,0.0,1.6175192740774946e-06
