year,jeunes_ADJ hommes_NOUN,jeunes_ADJ pommes_NOUN
1800,6.445537068522356e-07,0.0
1801,2.3216529261294028e-06,0.0
1802,2.0789535142284876e-06,6.713520406265161e-09
1803,1.0921899462612572e-06,3.900678446910888e-09
1804,8.57732270986844e-07,0.0
1805,8.727634508431947e-07,0.0
1806,7.866956934776681e-07,0.0
1807,6.149423086299066e-07,0.0
1808,8.044562602727012e-07,1.8128591960930862e-08
1809,9.759012300492031e-07,6.09938268780752e-08
1810,8.16704234463117e-07,2.3401267590372754e-09
1811,1.180833169911466e-06,0.0
1812,5.681153538716899e-07,0.0
1813,4.946275566908298e-07,3.4508900625951355e-08
1814,1.0887502703837981e-06,3.1466771410748606e-09
1815,8.010753764775558e-07,1.3486118000116676e-08
1816,5.029200451645011e-07,1.1588019432906549e-08
1817,5.52690063493344e-07,1.556873407970727e-09
1818,1.099132530102409e-06,8.344824387052086e-09
1819,1.0702985262511788e-06,3.1053151161586356e-09
1820,8.377735412068432e-07,0.0
1821,7.938498080006795e-07,3.94459531705138e-09
1822,1.1980610992168295e-06,0.0
1823,7.056238363611911e-07,1.9765373782121287e-09
1824,6.871627862281571e-07,2.5263338088166165e-09
1825,1.2424480297923424e-06,8.805443041381977e-10
1826,9.257191595501979e-07,0.0
1827,5.631753878243551e-07,0.0
1828,6.549023225943529e-07,1.1923991571904935e-08
1829,5.77832069748041e-07,0.0
1830,1.0864746116112656e-06,4.174734336004349e-09
1831,1.432831846059912e-06,7.795602829929749e-09
1832,1.727777103610606e-06,4.058990921151917e-09
1833,1.928674194573432e-06,0.0
1834,1.8398360985827367e-06,2.8003592777992026e-09
1835,2.1343033864695826e-06,7.563087933704082e-09
1836,1.9349040023541875e-06,0.0
1837,1.8535821730836233e-06,6.957890930081589e-10
1838,1.6651483250029742e-06,1.2624323808552163e-09
1839,1.3626385637621752e-06,2.0974426639952526e-09
1840,1.856764288099555e-06,0.0
1841,1.8850730540975746e-06,6.420548537278137e-10
1842,2.088953772627633e-06,1.341653010911159e-09
1843,1.743129439901736e-06,0.0
1844,1.862817665454486e-06,5.488561272137815e-10
1845,2.373829062207733e-06,1.6740683839167048e-09
1846,1.943109019464373e-06,1.7563503984519002e-09
1847,1.5057880169422333e-06,1.6179670936367074e-09
1848,1.5197423550716849e-06,7.240699539945439e-09
1849,1.3633307585081411e-06,6.703531951757213e-09
1850,1.5411021561106963e-06,6.788996032014438e-10
1851,1.4356450961372502e-06,6.449438760824933e-09
1852,1.3183854488119096e-06,3.2552727180501506e-09
1853,1.6572111007917556e-06,5.971931837933653e-10
1854,1.2407247167445234e-06,1.0391328908454511e-09
1855,1.4456097225945541e-06,1.5920811335945473e-09
1856,1.284460692474454e-06,1.0354378465748937e-09
1857,1.5327938154285903e-06,1.4644527812635033e-09
1858,1.4367833127693075e-06,1.9574704079872163e-09
1859,1.454324669580842e-06,1.018434669930457e-09
1860,1.5608197223571096e-06,0.0
1861,1.606728826430981e-06,1.4147891747029462e-09
1862,1.4710563158715217e-06,2.2589931591987522e-09
1863,1.5343475547879848e-06,1.9978483312144135e-09
1864,1.6091107024607254e-06,9.589455896019672e-10
1865,1.4186428947127183e-06,2.3534221238463715e-09
1866,1.5020146673094814e-06,2.919367858567057e-09
1867,1.4335204863158424e-06,3.396968040192405e-09
1868,1.5007337257344489e-06,4.93987406535723e-10
1869,1.4250108524294092e-06,3.4184634012390802e-09
1870,1.4203238549725938e-06,1.1468097582678638e-09
