year,les_DET heureux_ADJ,les_DET peureux_ADJ
1800,2.2889517481416988e-06,0.0
1801,2.4597615464472256e-06,0.0
1802,2.3430186502082506e-06,0.0
1803,2.1317207767879154e-06,0.0
1804,2.1430947327871763e-06,2.9662210465630778e-08
1805,2.5927043907358893e-06,0.0
1806,1.7635814941741046e-06,0.0
1807,2.3857483171241256e-06,0.0
1808,1.869511066843188e-06,2.2660739951163578e-09
1809,2.006019073519383e-06,2.259030518203531e-09
1810,2.396289879413871e-06,0.0
1811,1.6521636183597366e-06,0.0
1812,2.4004874603633652e-06,0.0
1813,2.4386289965150354e-06,1.1502966579257645e-08
1814,2.652648831258375e-06,0.0
1815,2.5596651056503106e-06,0.0
1816,2.5006945492123123e-06,0.0
1817,2.3835732747556904e-06,0.0
1818,2.1648857995160142e-06,2.384235475716423e-09
1819,2.1405970755949966e-06,0.0
1820,2.5524799838194667e-06,0.0
1821,2.512707190760466e-06,0.0
1822,2.3409812115460227e-06,0.0
1823,2.2413934814835557e-06,0.0
1824,2.3486483939905156e-06,7.57900142644985e-09
1825,2.2850124707929353e-06,1.0566531649658373e-08
1826,2.1015849540617637e-06,2.642395191543301e-09
1827,2.488663795929824e-06,0.0
1828,2.0766090642609925e-06,0.0
1829,2.077280612411414e-06,0.0
1830,2.084236044197496e-06,0.0
1831,2.153145601369033e-06,1.5591206103948707e-09
1832,2.191855045907687e-06,0.0
1833,2.276182982541286e-06,3.475088550253247e-09
1834,2.1861471708461977e-06,9.334530925997342e-10
1835,1.8567381090406343e-06,0.0
1836,2.0021114863766343e-06,6.720750067579218e-10
1837,2.2794049669982996e-06,0.0
1838,2.172014831103297e-06,0.0
1839,1.9618079107885933e-06,0.0
1840,1.9707816889535934e-06,0.0
1841,2.096309017929343e-06,3.2102742686390684e-09
1842,2.2177523248956277e-06,6.708265054555795e-10
1843,1.9959452686180157e-06,5.906911071384968e-10
1844,2.0197905428176455e-06,0.0
1845,2.0267388620709426e-06,1.674068439427856e-09
1846,1.917349159441528e-06,0.0
1847,1.7835390906384418e-06,2.6966118227278457e-09
1848,1.7771894817997236e-06,2.413566457803995e-09
1849,2.1199920894332536e-06,0.0
1850,2.023120799776734e-06,0.0
1851,1.8264810819346167e-06,0.0
1852,1.925819290704567e-06,3.906327261660181e-09
1853,1.8739921969768147e-06,5.971931837933653e-10
1854,2.2040008502699493e-06,0.0
1855,2.038394541159505e-06,0.0
1856,2.1692422791375066e-06,0.0
1857,1.8798690888388592e-06,0.0
1858,1.9550236061149917e-06,0.0
1859,1.930952180373424e-06,0.0
1860,2.0011447503520685e-06,4.119465657481669e-09
1861,1.8920446365200405e-06,1.131831339762357e-08
1862,2.0534247937575856e-06,2.2589932147099034e-09
1863,1.939910731607597e-06,4.994620828036034e-10
1864,1.8574775566548851e-06,0.0
1865,1.9058012838968352e-06,9.41368871743009e-10
1866,1.7983304729796146e-06,4.865612912574591e-10
1867,1.9440362706291126e-06,9.7056229719783e-10
1868,1.6933888673520414e-06,0.0
1869,1.7922515667123662e-06,1.4650557433881772e-09
1870,1.8016381488905608e-06,0.0
