year,visages_NOUN heureux_ADJ
1800,0.0
1801,4.7623651688866175e-09
1802,1.3427040812530322e-08
1803,0.0
1804,2.4718509461507665e-09
1805,2.842877711017877e-09
1806,1.4408345627714425e-08
1807,0.0
1808,2.2660739951163578e-09
1809,0.0
1810,0.0
1811,0.0
1812,5.3344164641089264e-09
1813,0.0
1814,2.5173417128598885e-08
1815,2.697223555614414e-09
1816,0.0
1817,0.0
1818,7.152706427149269e-09
1819,0.0
1820,3.5599443393152796e-09
1821,0.0
1822,2.0051231786055723e-09
1823,2.9648061783404955e-09
1824,8.421112696055388e-10
1825,3.522177216552791e-09
1826,5.284790383086602e-09
1827,5.530363722527909e-09
1828,3.668920500743411e-09
1829,8.57317605795771e-10
1830,2.0873671680021744e-09
1831,4.677361609140007e-09
1832,4.058990921151917e-09
1833,3.4750886612755494e-09
1834,1.0267983796552471e-08
1835,4.5378527602224494e-09
1836,1.0753200108126748e-08
1837,4.174734336004349e-09
1838,8.2058102535143e-09
1839,1.6080392128969834e-08
1840,3.1848443882154243e-09
1841,7.704658244733764e-09
1842,1.341653010911159e-09
1843,1.1813822142769936e-09
1844,1.4270259640625227e-08
1845,1.6182660544927785e-08
1846,4.0981511517657054e-09
1847,1.0247124926365814e-08
1848,3.218088684420195e-09
1849,8.379414939696517e-10
1850,1.968808760466345e-08
1851,5.8044946626978344e-09
1852,4.557382027314816e-09
1853,4.777545470346922e-09
1854,6.754363734984281e-09
1855,1.6982198758341838e-08
1856,1.0354378465748937e-09
1857,6.8341128311999455e-09
1858,1.9574704523961373e-08
1859,2.0877910955618972e-08
1860,5.492620580582752e-09
1861,1.131831339762357e-08
1862,5.421583626485926e-09
1863,7.491931519609807e-09
1864,3.835782358407869e-09
1865,1.0825742080555756e-08
1866,7.784980660119345e-09
1867,2.038180824115443e-08
1868,1.4819622196071691e-09
1869,1.5627261262807224e-08
1870,1.2614907340946502e-08
1871,1.3807530230280918e-08
1872,1.3908880269752899e-08
1873,1.496501056408306e-08
1874,5.377148060148329e-09
1875,5.721527251978387e-09
1876,1.0278225381910033e-08
1877,6.184816214727107e-09
1878,1.8117265465633636e-09
1879,6.109325489944695e-09
1880,3.2089231272180996e-09
1881,2.7890030285249168e-09
1882,8.652000893505374e-09
1883,7.58320695126713e-09
1884,5.941527270181268e-09
1885,9.66845359329227e-09
1886,9.680196200179125e-09
1887,1.2404957061562527e-08
1888,5.07249175996094e-09
1889,3.759081934617825e-09
1890,3.9326319978272295e-09
1891,1.529812720946211e-08
1892,5.014809900671935e-09
1893,9.853466487186324e-09
1894,9.452309157609307e-09
1895,9.027921521465032e-09
1896,1.0614652268259306e-08
1897,8.157399200570126e-09
1898,8.487532454637403e-09
1899,3.3165470370022376e-09
1900,7.26747462209687e-09
1901,6.706486921359556e-09
1902,3.437198747846537e-09
1903,1.3500550899436803e-08
1904,8.061937784020756e-09
1905,5.676835002077496e-09
1906,6.173021205313489e-09
1907,6.1714118260169926e-09
1908,1.276961114626829e-08
1909,5.5009836685826485e-09
1910,1.5498036631811374e-08
1911,6.916486494645824e-09
1912,1.719108944087111e-08
1913,1.113627856597077e-08
1914,1.0045115850232378e-08
1915,7.068456930880984e-09
1916,4.394984820521586e-09
1917,3.289927441585405e-09
1918,9.189101035644853e-09
1919,1.5653341733923298e-08
1920,1.4387239843927091e-08
1921,2.4232791773215467e-08
1922,4.426761179843197e-09
1923,2.1231896241147297e-09
1924,1.0313299547703991e-08
1925,5.499089184013428e-09
1926,1.4489979882625903e-08
1927,1.6723836537835268e-08
1928,1.2568645679778001e-08
1929,1.1140405931087116e-08
1930,5.2518016602221e-09
1931,7.983749661377715e-09
1932,2.1919072779041926e-08
1933,1.1470662641954732e-08
1934,5.990790086229936e-09
1935,1.795242710045386e-08
1936,1.33371855781661e-08
1937,1.2591118370153254e-08
1938,6.482607339819424e-09
1939,1.988226472349197e-08
1940,2.2822046474857416e-08
1941,5.9030051957620344e-09
1942,2.1239483061208375e-08
1943,8.709705845433291e-09
1944,6.4263723231761105e-09
1945,2.3963544037997053e-08
1946,9.744772988540262e-09
1947,1.1920871401116528e-08
1948,2.2830963786191205e-08
1949,5.890204768377316e-09
1950,9.571825110299415e-09
1951,1.1727541604500402e-08
1952,4.2179215675730575e-09
1953,1.6160740301529586e-08
1954,1.07497895029951e-08
1955,1.5016972554349195e-08
1956,1.0465369904011368e-08
1957,1.1485549400447326e-08
1958,1.1581140491045971e-08
1959,7.750747599288843e-09
1960,1.5225833038812198e-08
1961,2.292892631317045e-08
1962,1.2049716779927166e-08
1963,1.4225316924409981e-08
1964,1.6426714211092985e-08
1965,9.302473458205895e-09
1966,1.8278946356531378e-08
1967,1.035370456037299e-08
1968,1.0330256650092906e-08
1969,7.2668124850849836e-09
1970,3.6789800095249348e-09
1971,9.762954888969944e-09
1972,1.128632298730281e-08
1973,1.0475087464101307e-08
1974,7.875800456247362e-09
1975,5.711480177694739e-09
1976,1.199840671262109e-08
1977,9.402850942308305e-09
1978,8.910887139279566e-09
1979,7.607565244427406e-09
1980,1.0801786132219604e-08
1981,1.0120879245789638e-08
1982,5.586751949948621e-09
1983,5.052252838311233e-09
1984,7.538710988796993e-09
1985,6.015557829641693e-09
1986,8.392279760016663e-09
