year,deux_DET anneaux_NOUN,deux_DET panneaux_NOUN
1800,2.7983064265768576e-07,2.2009151479096545e-07
1801,2.881231040419152e-07,9.524730604226761e-08
1802,3.513409012612101e-07,1.767893706983159e-07
1803,3.471603804428014e-07,1.0531831584614793e-07
1804,1.97748079244775e-07,3.213406074564773e-08
1805,3.212451815670647e-07,2.558589917711629e-08
1806,3.7749865544611794e-07,4.034336775760039e-08
1807,2.0782772480743006e-07,1.4804166426074516e-07
1808,1.6768947119771838e-07,9.290903113523541e-08
1809,3.0496911573862917e-07,5.873479480555943e-08
1810,1.8487001796074765e-07,1.8721014072298203e-08
1811,2.381722978839207e-07,9.27618422075227e-08
1812,2.8539128038573836e-07,5.3344164641089264e-09
1813,2.703197212738928e-07,5.751483289628823e-09
1814,2.926409763404081e-07,4.090680150170556e-08
1815,1.5374174289206621e-07,0.0
1816,3.8008704450476216e-07,1.3905623319487859e-08
1817,1.0742426648224779e-07,6.694555310104988e-08
1818,3.099506038495292e-07,2.1458119947581622e-08
1819,2.71197507117904e-07,2.5877625375869684e-08
1820,2.5750263610291313e-07,8.306536791735653e-09
1821,1.972297698493719e-07,3.648750634965836e-08
1822,2.3560197348615475e-07,2.105379337535851e-08
1823,2.7276214797922194e-07,4.644862983127496e-08
1824,2.863178218959206e-07,4.0421340941065864e-08
1825,4.288250863293541e-07,7.13240879690602e-08
1826,3.884321149172365e-07,5.19671061738336e-08
1827,3.0140481532825447e-07,2.5808365222701468e-08
1828,3.989951076199816e-07,3.210305266065916e-08
1829,2.649111365826684e-07,2.4862210068476998e-08
1830,2.5152774973946634e-07,1.878630495610878e-08
1831,1.9956743813054345e-07,1.870944643656003e-08
1832,4.7219592147484946e-07,8.523880823396723e-08
1833,3.533006704969921e-07,4.749287763061716e-08
1834,3.6311324080884333e-07,5.50737317972505e-08
1835,2.7302748151214473e-07,4.5378527602224494e-08
1836,2.5270019676781885e-07,4.771732625696856e-08
1837,2.9431879688956997e-07,4.0355766728339404e-08
1838,3.4906255486077953e-07,3.345445720448481e-08
1839,3.614592678502504e-07,7.480878327914553e-08
1840,3.433262278917937e-07,2.7389662093924017e-08
1841,2.2921358233674027e-07,8.860357336715197e-08
1842,2.2405605104580673e-07,7.11076082460238e-08
1843,3.561867458756751e-07,6.43853282356055e-08
1844,3.990184040958411e-07,7.244901212288823e-08
1845,3.3369762153512283e-07,5.859239460281884e-08
1846,3.70589926745879e-07,9.367201969645578e-08
1847,3.074137424619039e-07,8.359496828092006e-08
1848,2.952596265259899e-07,7.401603685508462e-08
1849,2.8238628857479853e-07,6.954914688606095e-08
1850,3.014314176041921e-07,7.06055560684149e-08
1851,2.2702023727561027e-07,7.739326246536393e-08
1852,4.401128741449156e-07,8.528814277042329e-08
1853,4.042997812092608e-07,5.673335046196826e-08
1854,3.397964540852172e-07,8.261106465567991e-08
1855,3.677707489657678e-07,1.1356845419641104e-07
1856,2.8578084165786777e-07,8.33527469268347e-08
1857,3.675776376610429e-07,8.59145572462694e-08
1858,3.2494008017636133e-07,4.746865900351338e-08
1859,3.248806486055855e-07,6.212451442166866e-08
1860,3.336767040451605e-07,1.217530956054702e-07
1861,3.593564361636936e-07,6.177912670324304e-08
1862,3.1309645098787087e-07,1.2334102805766634e-07
1863,3.1765788399695793e-07,9.439833270619147e-08
1864,3.346720180985585e-07,8.34282642969697e-08
1865,3.2900841162586403e-07,9.978509973862515e-08
1866,4.422842039275565e-07,1.5326680546934313e-07
1867,4.6926687247150767e-07,1.2083500777748668e-07
1868,4.979393182225067e-07,1.5560603827680097e-07
1869,3.296375385986039e-07,1.0841412301232367e-07
1870,4.759260541220556e-07,1.4965868011529437e-07
1871,4.184743822577275e-07,1.0727388888298606e-07
1872,4.886250053459662e-07,9.978109716257677e-08
1873,5.632830202273453e-07,1.508473133071675e-07
1874,5.634056261527576e-07,1.3920838881631425e-07
1875,6.322287688931283e-07,1.3445588820104604e-07
1876,3.8150353098842515e-07,1.505457678518951e-07
1877,5.108657994412624e-07,1.6575307348887236e-07
1878,4.173010346164574e-07,1.3044431312891902e-07
1879,4.276527736379876e-07,1.1546624723024479e-07
1880,4.364135435253047e-07,1.322076332854749e-07
1881,4.811030258622395e-07,1.7291819176534773e-07
1882,4.705357294909618e-07,1.5706708467178032e-07
1883,4.1265281947033827e-07,1.5735153979790084e-07
1884,4.81923873252299e-07,1.5513987250415084e-07
1885,5.38210581879639e-07,1.534061344621307e-07
1886,5.13695734838393e-07,2.2328985238573296e-07
1887,5.490825536469401e-07,1.253553527647e-07
