year,cours_NOUN heureux_ADJ
1800,3.458580977167003e-08
1801,9.524730337773235e-09
1802,1.0070280609397742e-07
1803,1.5602713787643552e-08
1804,1.1123329102247226e-07
1805,6.822906328807221e-08
1806,5.76333825108577e-09
1807,6.832692633906845e-08
1808,4.078933102391602e-08
1809,1.3554183553310395e-08
1810,3.2761775514700275e-08
1811,3.259199843341776e-08
1812,3.200649700829672e-08
1813,1.4378708002027452e-08
1814,1.8880061958270744e-08
1815,8.091670444798638e-09
1816,1.3905623319487859e-08
1817,3.7364962679475866e-08
1818,1.4305412854298538e-08
1819,3.519356894798875e-08
1820,3.322614716694261e-08
1821,5.226588939422072e-08
1822,3.709477880420309e-08
1823,3.360113609574e-08
1824,3.789500624407083e-08
1825,3.9624492131906663e-08
1826,3.3470339388941284e-08
1827,3.594736597278825e-08
1828,2.5682442839070063e-08
1829,2.4004892296147773e-08
1830,2.0873670791843324e-08
1831,1.5591206548037917e-08
1832,2.0294953273491956e-08
1833,2.4325620628928846e-08
1834,3.547121707470069e-08
1835,3.781543966852041e-08
1836,1.1425274948351216e-08
1837,1.2524203896191466e-08
1838,4.481634974240478e-08
1839,2.586845759822154e-08
1840,3.121147429396842e-08
1841,2.5682194149112547e-08
1842,2.1466448174578545e-08
1843,1.2995204023980023e-08
1844,1.2623690537338916e-08
1845,1.8414752389617206e-08
1846,1.3465353276842507e-08
1847,2.3730184040005042e-08
1848,9.65426583121598e-09
1849,4.022119171054328e-08
1850,2.9192683825840504e-08
1851,2.3862924081186065e-08
1852,8.463708844885787e-09
1853,1.3735443005202796e-08
1854,1.7665259477439577e-08
1855,1.2736649068756378e-08
1856,1.6049286344355096e-08
1857,1.5620829074691756e-08
1858,1.4191660291373864e-08
1859,3.0043821652725455e-08
1860,2.8836257826014844e-08
1861,1.2733101684148096e-08
1862,1.536115412648087e-08
1863,1.548332484446746e-08
1864,1.3904711160250827e-08
1865,1.7415324293779122e-08
1866,2.1895258939252926e-08
1867,1.8925964795357686e-08
1868,2.0253484223076157e-08
1869,1.12320943657096e-08
1870,1.4335121534259088e-08
1871,1.0621176826930423e-08
1872,8.4662747923403e-09
1873,7.183205141814142e-09
1874,2.1508592240593316e-08
1875,1.1443054503956773e-08
1876,9.069021977836655e-09
1877,1.36065949618569e-08
1878,9.662541877730746e-09
1879,2.016077260691418e-08
1880,4.492492600149944e-09
1881,9.761510710859511e-09
1882,7.320923423037584e-09
1883,4.423537092179686e-09
1884,7.922036360241691e-09
1885,9.66845359329227e-09
1886,4.5174246565693466e-09
1887,8.48760173255414e-09
1888,4.4384300679212174e-09
1889,4.385595886446936e-09
1890,4.5880703680722945e-09
1891,3.824531802365527e-09
1892,1.8805537127519756e-09
1893,6.774258043407144e-09
1894,1.8904617871129403e-09
1895,2.4074457982692365e-09
1896,1.592197840238896e-08
1897,2.9133566670225264e-09
1898,6.224190496340043e-09
1899,6.080336234504102e-09
1900,6.748368974740515e-09
1901,6.706486921359556e-09
1902,1.3257766440233354e-08
1903,4.320176216765503e-09
1904,1.0211787859759625e-08
1905,1.2385822145688508e-08
1906,3.600929110447737e-09
1907,6.685696440911215e-09
1908,6.384805573134145e-09
1909,8.251475058784763e-09
1910,3.740905363258662e-09
1911,5.852411444351446e-09
1912,1.0418842677495377e-08
1913,7.42418571064718e-09
1914,6.027069510139427e-09
1915,1.4136913861761968e-08
1916,4.394984820521586e-09
1917,2.3029491202919417e-08
1918,1.378365155346728e-08
1919,2.1178051312631396e-08
1920,1.665890891899835e-08
1921,5.300923255902035e-09
1922,2.951174193910333e-09
1923,6.369568872344189e-09
1924,1.804827398643738e-08
1925,3.409435223034052e-08
1926,7.802296586589819e-09
1927,1.4493992672726108e-08
1928,7.998228745975666e-09
1929,4.4561625500705304e-09
1930,4.201441416995522e-09
1931,6.843213995466613e-09
1932,1.2055489939655217e-08
1933,5.735331320977366e-09
1934,7.188948103475923e-09
1935,3.590485242455088e-09
1936,1.091224355320719e-08
1937,1.510934133364117e-08
1938,1.0372171566075394e-08
1939,1.6823456405745674e-08
1940,2.5357829169792012e-09
1941,8.854508237732261e-09
1942,2.4273694165799498e-08
1943,5.806470415592457e-09
1944,1.6065930807940276e-08
1945,6.535512131478072e-09
1946,4.1763312808029696e-09
1947,7.152522574216391e-09
1948,9.784699273041042e-09
1949,9.817008317369869e-10
1950,5.317680518146517e-09
1951,7.462981344019681e-09
1952,4.2179215675730575e-09
1953,7.54167928107563e-09
1954,1.07497895029951e-08
1955,3.754243138587299e-09
1956,2.616342476002842e-09
1957,4.417518795207798e-09
1958,4.1361216673863055e-09
1959,7.750747821333448e-10
1960,3.460416619915918e-09
1961,4.16889545107324e-09
1962,3.805173953708163e-09
1963,4.526237162849611e-09
1964,9.734349326606662e-09
1965,7.1136563306595235e-09
1966,6.092982118843793e-09
1967,5.916402479044791e-09
1968,7.635406973349745e-09
1969,5.450109252791435e-09
1970,3.6789800095249348e-09
1971,8.735275613958038e-09
1972,6.156176013405457e-09
1973,3.859242703185828e-09
1974,3.937900228123681e-09
1975,3.4268881066168433e-09
1976,5.142174241967723e-09
1977,1.057820764316375e-08
1978,6.534650598410963e-09
1979,2.925986564150662e-09
1980,3.97960553399912e-09
1981,5.060439622894819e-09
1982,2.483000915987077e-09
1983,5.68378455412244e-09
1984,8.118611560803402e-09
1985,1.8046674155058895e-09
1986,1.1988970927134801e-09
1987,4.277571630240118e-09
1988,2.99827696004229e-09
1989,6.036934507847036e-09
1990,1.6345953479657283e-09
1991,4.10302547493302e-09
1992,4.958949695321735e-09
1993,2.2156829704300662e-09
1994,5.802419433820205e-09
1995,1.3013881527967897e-08
1996,5.871901187504136e-09
1997,2.3974471297094624e-09
1998,8.582632382569955e-09
1999,1.0511462811280126e-08
2000,5.743440834038438e-09
2001,5.695575122643959e-09
2002,6.133709984368352e-09
2003,2.9168460979889232e-09
2004,6.607186797680242e-09
2005,2.251874686720612e-09
2006,6.58862386870851e-09
2007,3.994479413904628e-09
2008,6.3861596011349775e-09
2009,4.76819250749827e-09
2010,6.613310343794865e-09
2011,4.5887662558641296e-09
2012,3.4042526575461807e-09
2013,4.741512515948898e-09
2014,8.228691505962615e-09
2015,5.763096222466402e-09
2016,7.45682449121432e-09
2017,4.528100561174142e-09
2018,4.64663996169179e-09
2019,1.7856913725466939e-09
