year,autres_ADJ iles_NOUN,autres_ADJ piles_NOUN
1800,7.54599476238127e-08,1.5720821977538435e-08
1801,9.048493798680113e-08,9.524730337773235e-09
1802,5.147032311469957e-08,2.6854081625060644e-08
1803,1.1702035251914822e-07,4.6808139586573816e-08
1804,1.1617699291477379e-07,4.943701892301533e-09
1805,3.4114532976303735e-08,5.685755422035754e-09
1806,3.45800286183362e-08,1.3832011802605848e-07
1807,6.832692100999793e-08,5.693910232196231e-09
1808,9.51751069067086e-08,1.5862518409903714e-08
1809,6.325285539787728e-08,1.3554183553310395e-08
1810,3.978215445954447e-08,0.0
1811,1.42903374467096e-07,2.2563691359778204e-08
1812,7.201462359773814e-08,8.00162425207418e-09
1813,5.176334849643638e-08,1.1502966579257645e-08
1814,1.8880063290538374e-08,0.0
1815,1.8880565111345504e-08,5.394447111228828e-09
1816,2.5493642752394408e-08,0.0
1817,7.78436682891126e-08,0.0
1818,3.9339885127276375e-08,0.0
1819,2.587762526484738e-08,2.070210003424222e-09
1820,3.44127952800477e-08,0.0
1821,4.7335143804616564e-08,1.7750679148775816e-08
1822,4.3110148340019805e-08,2.0051231786055723e-09
1823,4.941343512143703e-08,2.9648061783404955e-09
1824,5.052667439997549e-08,5.894778887238772e-09
1825,3.25801385869795e-08,0.0
1826,6.077509029367434e-08,2.642395191543301e-09
1827,9.770309250534126e-08,2.7651818612639545e-09
1828,6.420610765278667e-08,1.6510142586412258e-08
1829,1.0459274896179593e-07,3.429270423183084e-09
1830,4.905312778191728e-08,6.262101504006523e-09
1831,4.5214498811674275e-08,3.1182412207897414e-09
1832,8.929779504729396e-08,2.1647950987357945e-08
1833,2.4904800355329826e-07,1.1583628278799551e-08
1834,7.280933922437782e-08,6.534171426153534e-09
1835,8.848812882433776e-08,1.5882484660778573e-08
1836,7.056787687531596e-08,1.2769425516978572e-08
1837,1.0019362850499647e-07,3.061472142462662e-08
1838,9.846972859328673e-08,1.1361890983607736e-08
1839,1.090670168624186e-07,3.915226187700682e-08
1840,8.344292251605268e-08,1.2739377552861697e-08
1841,9.374000908835001e-08,3.531301828729738e-08
1842,7.043678396101427e-08,5.702025163145663e-08
1843,9.923610377882142e-08,1.4767278067040479e-08
1844,7.629100068351491e-08,1.920996517412732e-08
1845,6.082448272826113e-08,3.9061593959388574e-09
1846,9.367201991850038e-08,5.269050973311096e-09
1847,8.952751251456448e-08,1.0786447290911383e-08
1848,6.275273001232762e-08,8.04522137798358e-09
1849,9.720121418865801e-08,1.1731181359664333e-08
1850,9.640374543096186e-08,1.6293590476834652e-08
1851,7.029888338117019e-08,4.2566295377355345e-08
1852,7.096494414327026e-08,2.4740073101270355e-08
1853,8.300984966069791e-08,1.2541057081705276e-08
1854,6.546537323348645e-08,1.610655964157104e-08
1855,8.915654348129465e-08,1.9104973603134567e-08
1856,6.83388988731437e-08,3.831119954611495e-08
1857,5.320844853606843e-08,2.39193944651106e-08
1858,4.159624533706108e-08,4.6489923022363655e-08
1859,4.2265037469846334e-08,4.7357211485632433e-08
1860,3.570203510605552e-08,2.746310379109218e-08
1861,4.621644400515379e-08,3.914249901981748e-08
1862,3.659569014491382e-08,2.8463313539450752e-08
1863,5.19440564450413e-08,3.146611149418277e-08
1864,3.931676972879217e-08,2.8768367243969806e-08
1865,2.6829012678142306e-08,4.706844247692743e-09
1866,4.184427054854112e-08,1.5083399418358567e-08
1867,3.494024269912188e-08,2.91168689159349e-08
1868,2.5687345028835296e-08,3.013323279787983e-08
1869,2.441759672233701e-08,2.24641887314192e-08
1870,2.2362791174401764e-08,5.734048613703635e-08
1871,1.911811953192455e-08,1.0621176826930423e-08
1872,2.6003559305820545e-08,6.047338985126771e-08
1873,4.0106228560432555e-08,3.112722168907567e-08
1874,3.584765456698946e-08,2.4495896866483235e-08
1875,3.83342312337831e-08,4.920513418937844e-08
1876,2.5997862973525798e-08,2.539326260375674e-08
1877,3.277952553837338e-08,3.030559980743419e-08
1878,3.804625897663172e-08,4.589707458535486e-08
1879,2.6881031511827302e-08,2.3826368433788048e-08
1880,3.4656369329866266e-08,2.759673911612026e-08
1881,5.647731143865187e-08,6.83305714233029e-08
1882,3.0614772494885756e-08,3.8601232432711186e-08
1883,3.4124430947635176e-08,2.7805091562527195e-08
1884,5.677459302688703e-08,3.6969503014461225e-08
1885,3.6095559541315936e-08,5.9299846810745294e-08
1886,9.55112642309075e-08,3.613939725255477e-08
1887,4.635536371422333e-08,2.154545164501087e-08
1888,3.170307283362206e-08,4.1848057463766963e-08
1889,5.45066875523581e-08,2.5060547415023393e-08
1890,3.736000159237918e-08,7.340912588915671e-08
1891,3.8245320910235137e-08,4.143242904319777e-08
1892,5.3909207098357115e-08,2.4447198043731078e-08
1893,4.2493073337812604e-08,3.387129154930335e-08
1894,4.6631390970830466e-08,2.5836310868498913e-08
1895,4.4537746823891666e-08,2.0463289507333116e-08
1896,4.2458609073037223e-08,2.358811634906033e-08
1897,5.302309369348279e-08,2.2724182091593548e-08
1898,4.5266837944701876e-08,3.225262279471508e-08
1899,7.738609575369537e-08,2.2110313580014918e-08
1900,5.45060585555035e-08,2.3359739032002835e-08
1901,4.806315456740151e-08,1.3412973842719111e-08
1902,3.7809184227910464e-08,2.7988617645746672e-08
1903,4.158169653045718e-08,2.2680925582108102e-08
1904,3.869730225147805e-08,1.3974025492302644e-08
1905,4.076999593483066e-08,1.7546581076999246e-08
1906,5.298510008522328e-08,1.0802787109298606e-08
1907,3.9599892032171624e-08,1.6457098794830927e-08
1908,2.5539223624804208e-08,3.094175227147389e-08
1909,2.585462199888866e-08,1.1552065082298668e-08
1910,3.2064904731399224e-08,2.672075360976578e-08
1911,3.6710580797461034e-08,3.2454281040372734e-08
1912,2.3963337258958717e-08,2.135862686714063e-08
1913,3.924212471639876e-08,2.0151361468379037e-08
1914,2.879599858562898e-08,1.4732836284281348e-08
1915,2.1205371458776767e-08,1.6493066468115103e-08
1916,1.098746227334857e-08,3.4061130804730055e-08
1917,2.4126133979507358e-08,1.4256351654751143e-08
1918,2.756730399511298e-08,1.1486376294556067e-09
1919,2.3940406101985445e-08,1.1970202606903513e-08
1920,2.2716694747515476e-08,9.086678076641874e-09
1921,3.7106461903135823e-08,8.330022005509363e-09
1922,2.6560568577860266e-08,1.8444838545406128e-08
1923,2.2293490609115452e-08,1.6985516992917837e-08
1924,2.4494086647841584e-08,2.707241186783449e-08
1925,6.048997924779087e-08,1.9796720707176974e-08
1926,3.009457349989475e-08,5.57306911730393e-09
1927,2.7873061858585402e-08,1.6723836537835268e-08
1928,5.827280880055241e-08,2.0566873537575248e-08
1929,2.562293466290555e-08,1.7824650200282122e-08
1930,4.621585647512916e-08,1.995684684175103e-08
1931,2.737285598186645e-08,2.2810713318222042e-08
