year,premiers_ADJ airs_NOUN,premiers_ADJ pairs_NOUN
1800,9.432493897065797e-09,0.0
1801,0.0,7.143547975374531e-09
1802,2.9091921760482364e-08,0.0
1803,3.510610468993036e-08,5.070882025393075e-08
1804,5.19088700912107e-08,4.943701892301533e-09
1805,2.842877755426798e-08,0.0
1806,7.492339904047185e-08,0.0
1807,5.693910232196231e-09,0.0
1808,9.064295980465431e-09,1.8128591960930862e-08
1809,1.3554183553310395e-08,0.0
1810,2.106114038724627e-08,2.106114038724627e-08
1811,2.2563691359778204e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,3.163315653864629e-08,0.0
1814,2.5173417128598885e-08,9.754699092923147e-08
1815,2.697223555614414e-09,2.157778822287071e-08
1816,3.0128852301913867e-08,2.0858434979231788e-08
1817,6.227493631882908e-09,3.113746815941454e-09
1818,2.1458118837358597e-08,5.4837415719433125e-08
1819,1.5526575580793178e-08,2.4842520929269085e-08
1820,9.493184904840746e-09,2.8479554714522237e-08
1821,1.2819934447350079e-08,1.972297702934611e-08
1822,1.2030739071633434e-08,2.2056354964661296e-08
1823,2.075364236020505e-08,4.644862983127496e-08
1824,2.6105450245950124e-08,1.431589158329416e-08
1825,1.1447076175841175e-08,4.4907758178780455e-08
1826,2.6423952803611428e-08,2.4662355713189754e-08
1827,1.2904182611350734e-08,2.2121454890111636e-08
1828,8.255071293206129e-09,2.0179061976932644e-08
1829,2.2290258527846163e-08,3.6007340942223465e-08
1830,2.0873670791843324e-08,1.461157062010443e-08
1831,9.354723218280014e-09,3.4300654760954785e-08
1832,6.764984572527055e-09,1.352996914505411e-08
1833,1.2741991461950875e-08,5.907650457714908e-08
1834,8.401078055442213e-09,1.213489042584115e-08
1835,1.8907719834260206e-08,3.7059130875150004e-08
1836,9.409050427677812e-09,3.427582484505365e-08
1837,4.174734336004349e-09,2.0873672568200163e-08
1838,2.5248647617104325e-08,1.7042836475411605e-08
1839,1.2584655095793096e-08,5.033862038317238e-08
1840,1.0191501864653674e-08,2.5478755105723394e-08
1841,1.2841097074556274e-08,1.0914932957462042e-08
1842,8.049918065466954e-09,6.439934630009247e-08
1843,8.860366662588604e-09,1.5357969118667825e-08
1844,9.330554107123135e-09,4.061535463506516e-08
1845,1.1160455892778032e-09,6.138250796539069e-09
1846,1.1709002656346001e-09,2.1661655580373917e-08
1847,7.011190739092399e-09,1.240441438454809e-08
1848,1.6090443422100975e-09,3.057184372323718e-08
1849,2.011059585527164e-08,8.379414939696517e-10
1850,3.394498016007219e-09,6.788996032014438e-09
1851,6.449438760824933e-10,1.9348316726564008e-08
1852,1.2370036550635177e-08,1.4323199737376058e-08
1853,7.763511611358354e-09,1.970737528722566e-08
1854,1.2469595134234623e-08,9.871762074453727e-09
1855,1.4328730202350926e-08,1.0613874223963649e-08
1856,6.212626857404757e-09,1.6049286344355096e-08
1857,1.9526036343364694e-09,2.001418764052687e-08
1858,8.808616946964776e-09,9.297984604472731e-09
1859,1.7313389832906978e-08,2.5460867192350634e-08
1860,1.4646988510946812e-08,1.0985241161165504e-08
1861,8.017138064531082e-09,9.903524222920623e-09
1862,1.2650361647104091e-08,8.132375661773494e-09
1863,8.990317823531768e-09,1.9978483312144135e-09
1864,4.315255264231155e-09,4.794728170054441e-09
1865,1.4120533631256649e-09,4.23615986733239e-09
1866,1.9462451650298362e-09,1.654308451337627e-08
1867,4.367530337390235e-09,3.396968040192405e-09
1868,1.4819622196071691e-09,3.457911734727759e-09
1869,2.441759683335931e-09,1.4162205630441349e-08
1870,2.8670243956696595e-09,2.8670243956696595e-09
1871,2.1242354542039266e-09,1.0621177271019633e-09
1872,1.2094679036067646e-08,1.5723081947527362e-08
1873,8.979006871356887e-09,5.9860045809045914e-09
1874,5.974609251779839e-09,1.2546679251101978e-08
1875,5.721527140956084e-10,8.010137886316215e-09
1876,1.209202959984168e-09,3.02300739996042e-09
1877,2.4739263970730008e-09,4.947852905168304e-09
1878,2.4156354694326865e-09,1.3889904282304855e-08
1879,1.4051448005147904e-08,2.1382637882538802e-08
1880,7.701415505323439e-09,8.343200352811664e-09
1881,6.972507571312292e-10,6.972507571312292e-10
1882,1.2645231528551903e-08,1.3976308999019693e-08
1883,8.21514056781325e-09,8.21514056781325e-09
1884,7.922036360241691e-09,5.281357573494461e-09
1885,5.80107206715752e-09,1.160214413431504e-08
1886,4.5174246565693466e-09,5.808117542471791e-09
1887,0.0,8.48760173255414e-09
1888,0.0,2.53624587998047e-09
1889,2.5060546970934183e-09,1.8795409673089125e-09
1890,0.0,6.554386478008212e-10
1891,7.0116419337296065e-09,7.64906427086487e-09
1892,5.641661360300532e-09,2.005923960268774e-08
1893,6.158416554491453e-10,2.463366621796581e-09
1894,3.780923574225881e-09,5.671385139294216e-09
1895,4.213029924926559e-09,4.213029924926559e-09
1896,5.89702897624278e-10,2.948514543632541e-09
1897,0.0,6.992056267307589e-09
1898,0.0,1.6975064687230201e-09
1899,5.527578395003729e-09,1.6582735185011188e-09
1900,4.671947717582725e-09,4.671947717582725e-09
1901,0.0,3.912117296778206e-09
1902,3.928227076954727e-09,1.4730852093691738e-09
1903,3.7801539676252105e-09,3.7801541896698154e-09
1904,3.7622376325430196e-09,0.0
1905,3.096455536422127e-09,0.0
1906,1.0288369045596824e-09,4.629765903985117e-09
1907,5.65712765521198e-09,5.65712765521198e-09
1908,7.367083831866239e-09,9.822778146428846e-10
1909,1.2102163715610459e-08,0.0
1910,6.412980813053082e-09,5.344150677544235e-09
1911,2.128149656499545e-09,3.7242617878519013e-09
1912,3.125652625612929e-09,1.0418842455450772e-09
1913,7.954484182448596e-09,5.302989602995467e-09
