year,deux_DET heures_NOUN,deux_DET peurs_NOUN
1800,1.6107554699829052e-05,6.288328968651058e-09
1801,1.3696562405129953e-05,0.0
1802,1.4049160284912432e-05,0.0
1803,1.2802027100633495e-05,0.0
1804,1.3043957494573988e-05,0.0
1805,1.3702670912607573e-05,0.0
1806,1.5978855003595527e-05,0.0
1807,1.605682703598177e-05,0.0
1808,1.1976201392371877e-05,0.0
1809,1.5478876889574167e-05,0.0
1810,1.35657149655799e-05,0.0
1811,1.350060801996733e-05,0.0
1812,1.3490739291910359e-05,0.0
1813,1.6552768556721276e-05,0.0
1814,2.266236811010458e-05,0.0
1815,1.8637815514921385e-05,0.0
1816,1.4262534136832983e-05,0.0
1817,1.5514243159486796e-05,0.0
1818,1.7846002947408124e-05,4.768470951432846e-09
1819,1.2478190541287404e-05,5.175524897538253e-09
1820,1.8903304408013355e-05,0.0
1821,1.5439145670370635e-05,0.0
1822,1.7077633458484343e-05,1.0025615893027862e-09
1823,2.0854445153872803e-05,9.882686891060644e-10
1824,1.6881804981494497e-05,8.421112696055388e-10
1825,1.7957821398795204e-05,3.522177216552791e-09
1826,1.859629810496699e-05,8.807984341885344e-10
1827,1.638185909769163e-05,9.217273166939322e-09
1828,1.4965527043386828e-05,4.586150570418113e-09
1829,1.5288544886971067e-05,1.714635211591542e-09
1830,1.6875319715836667e-05,1.5655253093882493e-08
1831,1.623200500944222e-05,3.274153215215847e-08
1832,1.6506561962614796e-05,1.488296597074168e-08
1833,1.950683059703806e-05,1.1583628500844156e-09
1834,1.9818142618532875e-05,0.0
1835,1.7809558812587056e-05,0.0
1836,1.6008827401492454e-05,4.704525213838906e-09
1837,1.6787302797638404e-05,0.0
1838,1.6327670095961366e-05,8.2058102535143e-09
1839,1.4533878527345223e-05,0.0
1840,1.57770817850178e-05,0.0
1841,1.6832751498441212e-05,0.0
1842,1.653318929584202e-05,1.341653010911159e-09
1843,1.4146461069231009e-05,0.0
1844,1.2907998439004587e-05,4.9397050894128824e-09
1845,1.376753846216161e-05,1.674068439427856e-09
1846,1.6126809669003705e-05,0.0
1847,1.4196043593983632e-05,1.0786447290911383e-08
1848,1.668176776092878e-05,0.0
1849,1.756828169163782e-05,5.02764896381791e-09
1850,1.6575334427670896e-05,2.0366988096043315e-09
1851,1.5814668586244807e-05,6.449438760824933e-10
1852,1.5501608686463442e-05,1.7578472011337e-08
1853,1.6080023897302453e-05,2.388772735173461e-09
1854,1.5527762627698394e-05,0.0
1855,1.5755765559788415e-05,1.5920811335945473e-09
1856,1.5193497290511004e-05,0.0
1857,1.7757952946340083e-05,9.274867096564776e-09
1858,1.6777478322183015e-05,1.468102750479261e-09
