year,bons_ADJ airs_NOUN,bons_ADJ pères_NOUN
1800,9.432493897065797e-09,2.5153316451920205e-07
1801,7.143547975374531e-09,3.809892170636431e-07
1802,4.475680270843441e-09,4.4533018694892235e-07
1803,7.801356893821776e-09,3.744651380088726e-07
1804,2.9662210465630778e-08,4.99313891566544e-07
1805,8.528632911009026e-09,7.078765555945665e-07
1806,1.4408345627714425e-08,6.483755328190455e-07
1807,4.555128185756985e-08,5.80778838354945e-07
1808,9.290903335568146e-08,3.08186059783111e-07
1809,4.292158095609011e-08,5.828298696997081e-07
1810,2.106114038724627e-08,5.335489241531377e-07
1811,3.259199843341776e-08,3.5099073869560016e-07
1812,0.0,4.107500757299931e-07
1813,8.627225156487839e-09,3.7384640916293677e-07
1814,2.2026739543434815e-08,3.5872119497071253e-07
1815,0.0,6.284530886802031e-07
1816,0.0,3.383701567827302e-07
1817,2.9580593974287694e-08,4.079008206758772e-07
1818,5.960588467246453e-09,6.675859083316027e-07
1819,7.24573512300708e-09,5.806939089580965e-07
1820,1.3053129244156025e-08,4.948322640530023e-07
1821,1.4792232327920374e-08,7.396115933033798e-07
1822,1.0025615893027862e-08,3.940067188068497e-07
1823,4.941343334508019e-09,7.125417127440414e-07
1824,1.8526447931321854e-08,5.338985218372727e-07
1825,2.7296874094417944e-08,4.5348030397462935e-07
1826,1.4973572604048968e-08,6.544332507019135e-07
1827,2.7651818612639545e-09,7.410687494768808e-07
1828,3.66892045633449e-08,6.796675080522618e-07
1829,2.6576845613135447e-08,9.559091580513268e-07
1830,1.878630406793036e-08,7.065737861466914e-07
1831,6.236482441579483e-09,5.690790274570645e-07
1832,1.0823975493678972e-08,4.843729168868549e-07
1833,4.6334514003376626e-09,5.942401415381937e-07
1834,1.8669061851994684e-09,7.420951959602462e-07
1835,8.31939672707449e-09,7.222749189850219e-07
1836,5.376600054063374e-09,6.841723489969809e-07
1837,2.0873671680021744e-09,5.823754420930527e-07
1838,3.787297142565649e-09,6.059675285996491e-07
1839,5.5931801412612e-09,5.614154368061008e-07
1840,5.095750932326837e-09,5.528889559514027e-07
1841,3.852329122366882e-09,4.969504630025767e-07
1842,6.708265054555795e-10,5.413569965639908e-07
1843,1.1813822142769936e-09,5.912817897524292e-07
1844,6.037417232818143e-09,7.063778468818782e-07
1845,2.0646844234306627e-08,5.970843943714499e-07
1846,1.7563504428608212e-08,8.723207258753973e-07
1847,0.0,4.5087348610195477e-07
1848,0.0,5.245484686611235e-07
1849,1.005529792763582e-08,6.259423130927644e-07
1850,6.788996032014438e-09,5.356517931431881e-07
1851,0.0,5.107955445282641e-07
1852,5.859490670445666e-09,4.388107583963574e-07
1853,6.569124799682413e-09,6.043594993343504e-07
1854,2.5978321716024766e-09,6.032166695035812e-07
1855,3.1841622671890946e-09,6.554067439878963e-07
1856,6.212626857404757e-09,5.948590597881775e-07
1857,2.7336451324799782e-08,6.521696320760384e-07
1858,6.8511463169329545e-09,6.40582186406391e-07
1859,2.34239969643113e-08,6.15643756418649e-07
1860,2.746310290291376e-09,5.808446417177038e-07
1861,2.8295783494058924e-09,5.65915641459469e-07
1862,4.066187830886747e-09,5.466763326467117e-07
1863,5.9935452156878455e-09,5.2643304115918e-07
1864,6.712618905169165e-09,7.661975303108193e-07
1865,1.0825742080555756e-08,7.643915296284831e-07
1866,6.3252967308358166e-09,5.439755170755234e-07
1867,7.76449837758264e-09,4.2704742497789994e-07
1868,1.4819621974027086e-08,5.058431042925804e-07
1869,7.325278605918584e-09,5.269317142619911e-07
1870,1.7202146374017957e-09,4.0310362692252966e-07
1871,9.559059321873065e-09,2.294174308303809e-07
1872,1.2094678591978436e-09,4.5959778560700215e-07
1873,5.986004469882289e-10,3.771182903733461e-07
