year,suis_VERB heureux_ADJ,suis_VERB peureux_ADJ
1800,6.225445758900605e-07,0.0
1801,4.5956824124004925e-07,0.0
1802,5.639357141262735e-07,0.0
1803,4.485780209506629e-07,0.0
1804,6.79759011745773e-07,0.0
1805,7.164051680774719e-07,0.0
1806,5.965055152046261e-07,2.881669125542885e-09
1807,3.98573718030093e-07,0.0
1808,4.554808867851534e-07,0.0
1809,5.941250265095732e-07,0.0
1810,6.692762326565571e-07,0.0
1811,5.515568659575365e-07,5.0141535368197765e-09
1812,6.561332384080742e-07,0.0
1813,3.824736438673426e-07,0.0
1814,5.066150379207102e-07,0.0
1815,4.5852800667489646e-07,0.0
1816,6.048946374903608e-07,0.0
1817,5.402350780059351e-07,0.0
1818,6.926204036972194e-07,0.0
1819,4.430249305187317e-07,1.035105001712111e-09
1820,5.600979307018861e-07,0.0
1821,9.21063019632129e-07,6.903041693817613e-09
1822,7.529237677772471e-07,0.0
1823,6.996942261139338e-07,0.0
1824,6.189517876009631e-07,0.0
1825,5.820397745992523e-07,0.0
1826,4.826775352739787e-07,0.0
1827,5.272279963719484e-07,0.0
1828,7.402047117466282e-07,0.0
1829,5.949784167569305e-07,1.714635211591542e-09
1830,8.913057740755903e-07,2.0873671680021744e-09
1831,9.853641813606373e-07,0.0
1832,1.1716953167706379e-06,0.0
1833,1.1884802688655327e-06,3.4750886612755494e-09
1834,1.4328504676086595e-06,7.467624740797874e-09
1835,1.1503457244543824e-06,0.0
1836,9.093174639929202e-07,2.016224964762614e-09
1837,1.2621613905139384e-06,2.0873671680021744e-09
1838,1.2416022627803613e-06,6.312161904276081e-10
1839,1.1046530516978237e-06,2.7965900706306e-09
1840,1.1707487601597677e-06,1.9109065441114126e-09
1841,1.3367582596401917e-06,1.2841097074556274e-09
1842,1.2437122904884745e-06,0.0
1843,1.379263721901225e-06,1.1813822142769936e-09
1844,1.3254875739221461e-06,0.0
1845,1.4514172335111653e-06,0.0
1846,1.6228677850449458e-06,5.854501328173001e-10
1847,1.5268216202457552e-06,5.3932236454556914e-09
1848,1.9976284875156125e-06,8.045221711050488e-10
1849,2.1644029857270652e-06,0.0
1850,1.7821114397520432e-06,1.3577992064028876e-09
1851,1.6781439171609236e-06,3.2247193804124663e-09
1852,1.921261855386547e-06,9.765818376195057e-09
1853,2.0967452201148262e-06,5.971931837933653e-10
1854,1.923954641824821e-06,1.0391328908454511e-09
1855,2.1572700461547356e-06,1.0613874223963649e-09
1856,2.3235224944073707e-06,2.0708756931497874e-09
1857,2.200096105298144e-06,6.345961978126979e-09
1858,2.3939862785482546e-06,1.9574704079872163e-09
1859,2.312355945832678e-06,1.5276520048956854e-09
1860,2.5911438115144847e-06,9.154367819341758e-10
1861,2.5320009626739193e-06,9.431927461278633e-10
1862,2.318178758287104e-06,1.3553959066214816e-09
1863,2.510795866328408e-06,1.4983863039219614e-09
1864,2.9583470677607693e-06,9.109982990196386e-09
1865,2.7445610157883493e-06,4.706844358715045e-10
1866,2.697982381505426e-06,3.8924903300596725e-09
1867,2.718059704420739e-06,9.7056229719783e-10
1868,2.661110102053499e-06,0.0
1869,2.7704204512701835e-06,1.4650557433881772e-09
1870,2.5889230528264306e-06,5.734048791339319e-10
1871,3.305310428913799e-06,0.0
1872,3.237745431761141e-06,6.047339295989218e-10
1873,2.6637719656719128e-06,1.1972008939764578e-09
1874,2.7859603051183512e-06,0.0
1875,3.2521161301701795e-06,5.721527140956084e-10
1876,2.833767211996019e-06,6.04601479992084e-10
1877,2.790588951029349e-06,0.0
1878,2.736310989348567e-06,0.0
1879,2.9324760362214874e-06,8.55305515301552e-09
1880,3.0195967610779917e-06,6.417846254436199e-10
1881,3.412345222386648e-06,1.3945015142624584e-09
1882,3.153321586069069e-06,6.655385131892899e-10
1883,2.962506187031977e-06,1.2638677882037541e-09
1884,3.2704806471883785e-06,1.3203393933736152e-09
1885,3.061677034565946e-06,3.2228177904158883e-09
1886,3.044744289582013e-06,0.0
1887,3.30494162881223e-06,0.0
1888,3.0656872240797384e-06,2.53624587998047e-09
1889,3.4195115858892677e-06,6.265136742733546e-10
1890,3.283092155470513e-06,6.554386478008212e-10
1891,3.1189058518066304e-06,6.374220040683554e-10
1892,3.1756283078721026e-06,0.0
1893,3.2775092222436797e-06,6.158416554491453e-10
1894,3.271759169365396e-06,6.301539290376468e-10
1895,3.4763518215186195e-06,6.018614495673091e-10
1896,3.424404667384806e-06,0.0
1897,3.3439509934396483e-06,0.0
1898,3.622478743636748e-06,1.13167097914868e-09
1899,3.3568983326404123e-06,5.527578395003729e-10
1900,3.3212359085155185e-06,0.0
1901,3.4448987662472064e-06,1.1177477832191585e-09
1902,3.052232386835385e-06,0.0
1903,3.49286256096093e-06,0.0
1904,3.4327731555094942e-06,0.0
1905,3.377200755494414e-06,2.0643036169332163e-09
1906,3.534054712872603e-06,0.0
1907,3.466276439212379e-06,0.0
1908,3.505749418764026e-06,7.367083831866239e-09
1909,3.397957470951951e-06,0.0
1910,3.396742158656707e-06,1.068830135508847e-09
1911,3.5141072203259682e-06,0.0
1912,3.5684536214830587e-06,0.0
1913,3.162172788506723e-06,5.30298971401777e-10
1914,3.1963556921255076e-06,0.0
1915,3.10540895043232e-06,1.1780761921542648e-09
1916,3.448964434937807e-06,0.0
1917,3.8097357446531532e-06,0.0
1918,3.6607082165573956e-06,0.0
1919,3.4262404824403347e-06,2.762354567309444e-09
1920,2.953927605631179e-06,7.572231730534895e-09
1921,2.9594295938295545e-06,1.5145495524393482e-08
1922,3.3658141092018923e-06,8.115729421831475e-09
