year,mauvais_ADJ airs_NOUN,mauvais_ADJ pères_NOUN
1800,0.0,1.5720821977538435e-08
1801,0.0,5.9529565277216534e-08
1802,1.7902721083373763e-08,2.9091921760482364e-08
1803,0.0,2.5354410126965377e-08
1804,0.0,2.4718509905596875e-08
1805,8.528632911009026e-09,1.7057265822018053e-08
1806,5.76333825108577e-09,1.152667650217154e-08
1807,0.0,1.1387820464392462e-08
1808,3.3991110370834576e-08,2.7192887941396293e-08
1809,2.4849335034105025e-08,4.518061036407062e-09
1810,1.4040760554223652e-08,4.680253340438867e-08
1811,0.0,1.7549536934780008e-08
1812,2.6672082320544632e-09,5.3344164641089264e-09
1813,5.751483289628823e-09,3.163315653864629e-08
1814,1.2586708564299443e-08,3.4613449884091096e-08
1815,5.394447111228828e-09,1.8880564667256294e-08
1816,0.0,9.270415546325239e-09
1817,1.5568733857662664e-08,1.401186100480345e-08
1818,1.1921177378582115e-09,1.9073883805731384e-08
1819,8.280840013696888e-09,4.243930362690662e-08
1820,1.1866481131050932e-09,3.322614716694261e-08
1821,1.676452932031225e-08,1.7750679148775816e-08
1822,1.4035862250239006e-08,4.0102463572111446e-08
1823,6.917880934764753e-09,1.7788837070042973e-08
1824,8.421112696055388e-10,3.789500624407083e-08
1825,9.68598712347557e-09,1.8491430608946757e-08
1826,7.0463874735082754e-09,2.2019960965735663e-08
1827,5.530363722527909e-09,3.133872894522938e-08
1828,5.503380862137419e-09,1.9261833017480967e-08
1829,8.573175946935407e-09,9.430493719264632e-09
1830,6.262101504006523e-09,1.2524203008013046e-08
1831,0.0,1.4032085715598441e-08
1832,0.0,1.6235963684607668e-08
1833,1.7375443306377747e-08,8.108539617524002e-09
1834,3.733812370398937e-09,2.14694217959277e-08
1835,2.2689263801112247e-09,4.9916380362446944e-08
1836,6.720750067579218e-10,9.409050427677812e-09
1837,1.3915781860163179e-09,1.7394727436226276e-08
1838,5.680945491803868e-09,9.468243078458727e-09
1839,5.5931801412612e-09,9.088918062616358e-09
1840,2.0383003729307347e-08,2.1019973317493168e-08
1841,4.494383976094696e-09,2.5682194149112547e-08
1842,3.3541325272778977e-09,4.695785538189057e-09
1843,2.3627644285539873e-09,1.8902115428431898e-08
1844,1.097712254427563e-09,1.3172547497219966e-08
1845,2.2320911785556063e-09,9.48638767539478e-09
1846,5.854501328173001e-10,1.6392604607062822e-08
1847,2.6966118227278457e-09,1.88762818709165e-08
1848,3.218088684420195e-09,4.746680914990975e-08
1849,8.379414939696517e-10,3.351765798242923e-08
1850,6.788996032014438e-09,8.146795238417326e-09
1851,0.0,1.3543821175687754e-08
1852,0.0,1.1718981340891332e-08
1853,3.5831591027601917e-09,2.8068079416243563e-08
1854,2.0782657816909023e-09,2.1302223984775992e-08
1855,0.0,3.237231638308913e-08
