year,ayez_VERB assez_ADV,ayez_VERB passé_VERB
1800,2.829748035892976e-08,3.144164484325529e-09
1801,9.524730160137551e-08,1.4287095950749062e-08
1802,4.0281122437590966e-08,0.0
1803,2.9255087241608635e-08,0.0
1804,9.88740351814954e-08,4.943701892301533e-09
1805,5.401467717547348e-08,8.528632911009026e-09
1806,6.916005901302924e-08,6.051504897186533e-08
1807,3.131650672116848e-08,2.8469551160981155e-09
1808,7.478044494746428e-08,2.2660739951163578e-09
1809,4.292157917973327e-08,2.259030518203531e-09
1810,1.2402671734079718e-07,9.360507036149102e-09
1811,3.008492077682945e-08,1.504245972228091e-08
1812,6.934741625386209e-08,0.0
1813,6.901780125190271e-08,2.8757416448144113e-09
1814,5.349351184236184e-08,0.0
1815,2.966945888971395e-08,1.8880564667256294e-08
1816,1.8540831092650478e-08,6.952811659743929e-09
1817,6.538868468908277e-08,4.670620334934483e-09
1818,5.48374146092101e-08,4.768470951432846e-09
1819,3.829888406414739e-08,8.280840013696888e-09
1820,4.746592452420373e-08,1.4239777357261119e-08
1821,6.015507958423427e-08,0.0
1822,6.416394171537831e-08,2.90742860897808e-08
1823,3.755421185136498e-08,3.162459805139406e-08
1824,5.4737231636181605e-08,2.189489300974401e-08
1825,3.962449346417429e-08,3.522177216552791e-09
1826,4.844391454650321e-08,2.554315514657901e-08
1827,3.9634275195155055e-08,3.6869092223668076e-09
1828,3.668920545152332e-08,4.586150570418113e-09
1829,3.0863434308248117e-08,1.5431716349212365e-08
1830,3.339787335576716e-08,1.2524203008013046e-08
1831,2.0268567268999504e-08,1.2472964883158966e-08
1832,2.5706941575442954e-08,5.411987746839486e-09
1833,4.517614948795767e-08,2.3167257001688313e-09
1834,3.547121707470069e-08,2.8003592777992026e-09
1835,4.0084366048631637e-08,6.806779140333674e-09
1836,2.8899225401612938e-08,1.4113575197427508e-08
1837,3.131051051763478e-08,3.478945576063097e-09
1838,4.1029050823482294e-08,2.5248647617104325e-09
1839,2.586845804231075e-08,3.4957374772659477e-09
1840,3.3759350426265655e-08,8.280594876453051e-09
1841,2.5682194149112547e-08,1.733548060656176e-08
1842,6.037438682326979e-08,5.366612043644636e-09
1843,5.493427224223524e-08,1.1813821920725331e-08
1844,3.84199286829201e-08,1.2074834465636286e-08
1845,3.515543700594037e-08,1.9530798311961917e-08
1846,2.1661654248106288e-08,1.1709002656346001e-08
1847,2.8584086209093584e-08,1.1325769655456952e-08
1848,3.861706282526356e-08,1.126331028444838e-08
1849,3.184177610471295e-08,8.379414495607307e-09
1850,1.8330288398260564e-08,4.752297222410107e-09
1851,2.0638204478728994e-08,4.514607354622058e-09
1852,4.948014353800545e-08,9.114764054629632e-09
1853,4.837264722112877e-08,1.1943863675867306e-08
1854,3.273268522896444e-08,7.27393034694046e-09
1855,3.6087172361476405e-08,1.2205955357558196e-08
1856,2.5885946719483854e-08,1.65670055451983e-08
1857,3.2706109154290175e-08,9.274867096564776e-09
1858,4.306434919776336e-08,5.872411001917044e-09
1859,3.1571474323754956e-08,1.0693564256314403e-08
1860,4.3940966421018857e-08,1.2816115280145368e-08
1861,2.2165029811560544e-08,1.5091083938045813e-08
1862,4.563166244864192e-08,1.626475132354699e-08
1863,4.994620922404991e-08,9.489779628779615e-09
1864,3.78783506782554e-08,1.821996598039277e-08
1865,4.612707549256356e-08,1.0825742080555756e-08
1866,2.3354941536268825e-08,6.811858188626729e-09
1867,2.329349513274792e-08,1.067618526917613e-08
1868,1.7783547412442147e-08,2.5193358510477992e-08
1869,3.857980246380066e-08,1.3185501579471293e-08
1870,2.3509600488580418e-08,1.7202146374017957e-09
1871,2.442870794538976e-08,4.248470908407853e-09
1872,1.3304146229131675e-08,6.047339518033823e-09
1873,2.6338419889526676e-08,2.9930022904522957e-09
1874,2.0313671078575624e-08,9.559374625212058e-09
1875,2.7463329388410784e-08,1.1443054503956773e-08
1876,2.478866001354163e-08,8.464420275799966e-09
1877,2.8450153788384114e-08,8.658742167710898e-09
1878,2.777980856460971e-08,4.22736201599605e-09
1879,2.3826368433788048e-08,9.163987790827832e-09
1880,2.1820677931216892e-08,7.701415505323439e-09
1881,1.8128519130300447e-08,9.064259565150223e-09
1882,2.5956001570293097e-08,3.9932310791357395e-09
1883,1.64302811356265e-08,8.847074184359371e-09
1884,7.2618666635548834e-09,9.902545450302114e-09
1885,2.1915161685370776e-08,7.090199094506033e-09
1886,2.0005738787798322e-08,7.744156427236248e-09
1887,2.415702216040927e-08,4.570247291724172e-09
1888,1.0144983297877275e-08,5.07249175996094e-09
1889,1.0650732462647028e-08,8.771191772893872e-09
1890,1.0487018031746231e-08,3.2771931834929546e-09
1891,1.8485238895138423e-08,9.561330394092238e-09
1892,2.4447197599641868e-08,6.8953633913793055e-09
1893,1.3548516530903498e-08,9.853466487186324e-09
1894,1.071261657159539e-08,5.041231432301174e-09
1895,9.629782971032341e-09,5.416753268150387e-09
1896,7.076434549446731e-09,1.179405795248556e-09
1897,1.981082575763793e-08,7.574727511894253e-09
1898,1.640922953072277e-08,7.355861253444118e-09
1899,1.492446166651007e-08,5.527578395003729e-09
1900,2.1283317774845045e-08,3.633737311048435e-09
1901,6.147612696683069e-09,1.676621730339889e-09
1902,2.209627647520307e-08,9.329538919189417e-09
1903,1.5120616980723867e-08,7.560307935250421e-09
1904,8.599400302955473e-09,3.7622376325430196e-09
1905,1.548227701597682e-08,6.708986699521802e-09
1906,1.800464577428329e-08,5.658602919567102e-09
1907,1.59428139578921e-08,9.257117739025489e-09
