year,quelques_DET arts_NOUN,quelques_DET parts_NOUN
1800,6.759953361523685e-07,3.144164484325529e-09
1801,5.381472782950425e-07,0.0
1802,2.618272958443413e-07,0.0
1803,2.632958018278231e-07,3.90067853572873e-08
1804,3.4358727729610905e-07,4.943701892301533e-09
1805,2.672305021711452e-07,0.0
1806,1.671368083933089e-07,2.305335300434308e-08
1807,4.953701684407008e-07,0.0
1808,3.7616828940656433e-07,4.5321479902327155e-09
1809,4.992457434127573e-07,2.259030518203531e-09
1810,2.3167255225331473e-07,7.020380277111826e-09
1811,2.206227520673565e-07,5.0141535368197765e-09
1812,2.453831555726538e-07,1.3336041604361526e-08
1813,2.760711899085777e-07,0.0
1814,3.8074792207964947e-07,0.0
1815,8.631115377966125e-08,1.0788894222457657e-08
1816,1.4832664874120383e-07,2.3176038865813098e-08
1817,1.588010860587019e-07,1.401186100480345e-08
1818,1.4186200480992284e-07,8.344824387052086e-09
1819,1.697572156178495e-07,9.315945348475907e-09
1820,2.4326286052200885e-07,7.119888678630559e-09
1821,1.3313008950799343e-07,1.1833785507064931e-08
1822,1.373509377344817e-07,1.604098542884458e-08
1823,1.7097048399250525e-07,2.9648061783404955e-09
1824,2.366332712000485e-07,8.421112696055388e-09
1825,1.7258668361108676e-07,1.0566531649658373e-08
1826,1.4885493593297383e-07,2.1139161532346407e-08
1827,2.6822263876624675e-07,1.474763688946723e-08
1828,2.1371461400576663e-07,3.668920500743411e-09
1829,2.0318427251808657e-07,1.1145129263923081e-08
1830,1.868193655329975e-07,1.5655253093882493e-08
1831,1.34084368497156e-07,0.0
1832,1.975375509832844e-07,5.411987746839486e-09
1833,1.2394482951094687e-07,5.791814139399776e-09
1834,2.0722659233030072e-07,2.8003592777992026e-09
1835,2.01934447829899e-07,1.285724948729694e-08
1836,9.946710344266307e-08,3.5619976301859424e-08
1837,1.2037151164712157e-07,2.0873671680021744e-09
1838,1.1740621319589195e-07,2.5879863585487328e-08
1839,1.202533725930266e-07,1.3982950353153e-09
1840,1.1401742766592449e-07,1.2102408408765086e-08
1841,9.951850543643559e-08,2.5682194149112547e-09
1842,7.110761002238064e-08,3.3541325272778977e-09
1843,1.0337094646928335e-07,4.134837805480629e-09
1844,1.1855292081364155e-07,4.390849017710252e-09
1845,6.752075681903946e-08,3.348136878855712e-09
1846,1.0186832199998719e-07,6.439951683034906e-09
1847,7.712309546548113e-08,1.294373674909366e-08
1848,5.068489528081699e-08,1.206783295515379e-08
1849,7.625267928190738e-08,9.217356655710773e-09
1850,5.838536676350259e-08,1.0183494048021657e-08
1851,4.708090317606661e-08,4.514607354622058e-09
1852,1.0156450658271865e-07,9.114764054629632e-09
1853,7.285756886687977e-08,1.0152284346531815e-08
1854,4.676098053213451e-08,1.0391328519876453e-08
1855,3.980202833986368e-08,2.653468555990912e-09
1856,7.299837062602066e-08,6.212626857404757e-09
1857,2.782460128969433e-08,3.905207268672939e-09
1858,3.474509924217273e-08,9.787352039936081e-10
1859,5.652312506931878e-08,6.619825576592575e-09
1860,3.478659782452098e-08,1.830873536112776e-09
1861,2.923897596263103e-08,8.960330921681248e-09
1862,3.3884898442693157e-08,4.066187830886747e-09
1863,2.1476870060155306e-08,3.496234635136375e-09
1864,5.8495679411407764e-08,1.4384183844029508e-09
1865,3.43599646512871e-08,2.3534221238463715e-09
1866,2.6274309505858184e-08,7.298419202328432e-09
1867,3.34843974769683e-08,4.85281148598915e-09
1868,1.9265508632848594e-08,5.433861360870651e-09
1869,3.125452263663675e-08,6.8369265804335555e-09
1870,3.325748254567884e-08,5.734048791339319e-09
1871,3.080141297573391e-08,5.310588635509816e-09
1872,2.1770421909650395e-08,1.7537283625301825e-08
1873,4.3099231017418305e-08,4.788803575905831e-09
1874,4.480956716790274e-08,7.766991494406739e-09
1875,3.089624556196213e-08,4.577221712764867e-09
1876,3.929909553335165e-08,6.04601479992084e-10
