year,rêves_NOUN heureux_ADJ
1800,6.288328968651058e-09
1801,0.0
1802,8.951360541686881e-09
1803,1.950339223455444e-09
1804,1.730295728918918e-08
1805,2.842877711017877e-09
1806,3.7461699520235925e-08
1807,0.0
1808,9.064295980465431e-09
1809,0.0
1810,0.0
1811,3.5099073869560016e-08
1812,1.600324850414836e-08
1813,2.8757416448144113e-09
1814,2.8320094713762956e-08
1815,0.0
1816,0.0
1817,0.0
1818,1.0729059418679299e-08
1819,0.0
1820,0.0
1821,2.9584463767662328e-09
1822,5.012807946513931e-09
1823,9.882686891060644e-10
1824,4.210556348027694e-09
1825,2.641632912414593e-09
1826,5.284790383086602e-09
1827,4.608636583469661e-09
1828,0.0
1829,6.858540846366168e-09
1830,3.1310507520032616e-09
1831,2.8064171431196883e-08
1832,3.111892965534935e-08
1833,4.2859426230279496e-08
1834,1.4001796166951408e-08
1835,1.4369867074037757e-08
1836,1.142527511488467e-08
1837,1.2524203896191466e-08
1838,2.019891809368346e-08
1839,4.194885327990505e-09
1840,1.273937771939515e-08
1841,1.6051371343195342e-08
1842,2.2808102073668124e-08
1843,1.5357969174178976e-08
1844,1.2623690537338916e-08
1845,9.486387342327873e-09
1846,9.367202569166011e-09
1847,1.294373674909366e-08
1848,1.528592186161859e-08
1849,4.1897072478036534e-09
1850,9.504594444820214e-09
1851,7.094382858952031e-09
1852,9.114764054629632e-09
1853,1.3138249599364826e-08
1854,1.0391328686409906e-08
1855,1.6982198758341838e-08
1856,2.019103817474388e-08
1857,1.2691923956253959e-08
1858,2.0553439838977283e-08
1859,7.129042689513199e-09
1860,2.197048232233101e-08
1861,1.4147891080895647e-08
1862,1.4909354667524966e-08
1863,4.994620717013731e-09
1864,4.315255264231155e-09
1865,2.0710114512212385e-08
1866,1.6543083347642096e-08
1867,1.0190904120577216e-08
1868,9.87974857480367e-09
1869,2.9301114423674335e-08
1870,2.064257564882155e-08
1871,2.2304472935275044e-08
1872,9.071008721939222e-09
1873,7.781805422268917e-09
1874,1.1949218670093131e-08
1875,1.0870901512305409e-08
1876,5.441413319928756e-09
1877,1.608052180301911e-08
1878,7.2469061862534545e-09
1879,1.221865097988939e-08
1880,2.5029599726167362e-08
1881,1.1156012114099667e-08
1882,1.1979693681496428e-08
1883,1.1374810426900694e-08
1884,3.9610181801208455e-09
1885,7.7347630522695e-09
1886,1.871504551331782e-08
1887,1.1752064210668323e-08
1888,1.1413106904001324e-08
1889,1.4409814674820609e-08
1890,1.7041405009354804e-08
1891,1.529812720946211e-08
1892,1.3163875989263829e-08
1893,1.23168328869383e-08
1894,1.071261657159539e-08
1895,1.444467478961542e-08
1896,1.0614652268259306e-08
1897,4.661370844871726e-09
1898,1.6975064909274806e-08
1899,1.492446166651007e-08
1900,8.824790675987515e-09
1901,2.794369402536745e-09
1902,6.874397495693074e-09
1903,8.100330184390714e-09
1904,1.5048950530172078e-08
1905,1.651442849137652e-08
1906,1.3889298322578014e-08
1907,2.6228500871194882e-08
1908,9.822778146428846e-09
1909,3.13556076103616e-08
1910,1.4963622230190765e-08
1911,4.25629931299909e-09
1912,7.293189607793238e-09
1913,8.484783542428431e-09
1914,2.5447626228469744e-08
1915,3.534228465440492e-09
1916,2.197492410260793e-09
1917,2.1932848870420685e-09
1918,3.101321510712296e-08
1919,1.1970202606903513e-08
1920,1.2872794385998532e-08
1921,5.300923255902035e-09
1922,1.0329110011753073e-08
1923,6.369568872344189e-09
1924,1.804827398643738e-08
1925,6.598906754362588e-09
1926,1.671920735191179e-08
1927,1.0034302277972529e-08
1928,6.8556245125250825e-09
1929,1.5596569369336066e-08
1930,1.6805765667982087e-08
1931,1.0264820993199919e-08
1932,8.767629289252454e-09
1933,5.735331320977366e-09
1934,5.990790086229936e-09
1935,1.0771455727365264e-08
1936,3.6374143697059935e-09
1937,1.1332006444320086e-08
1938,1.9447821131279852e-08
1939,1.8352860564618823e-08
1940,2.5357829169792012e-09
1941,5.9030051957620344e-09
1942,6.068423541449874e-09
1943,1.1612940831184915e-08
1944,1.927911696952833e-08
1945,1.3071024262956144e-08
1946,8.352662561605939e-09
1947,9.536696765621855e-09
1948,1.0871888278529696e-08
1949,9.817008539414473e-09
1950,4.2541445921528975e-09
1951,5.330700769690111e-09
1952,1.1599284199803606e-08
1953,7.54167928107563e-09
1954,7.818028890937967e-09
1955,6.569925492527773e-09
1956,1.4825940475304833e-08
1957,3.534015080575159e-09
1958,9.926692356998501e-09
1959,1.5501495198577686e-08
1960,1.1073333361366622e-08
1961,8.33779090214648e-09
1962,5.7077609305622445e-09
1963,2.0044765847160306e-08
1964,8.517555549758526e-09
1965,6.5664522708175355e-09
1966,1.9386762417639147e-08
1967,8.874604162656397e-09
1968,1.8414805680322388e-08
1969,9.991866889436096e-09
1970,5.058597540852361e-09
1971,7.707596449968435e-09
1972,1.487742551375959e-08
1973,1.3231689521830958e-08
1974,3.3753431161187564e-09
1975,7.996072248772634e-09
1976,5.713526984862938e-09
1977,5.876781727920388e-09
1978,7.128709622605811e-09
1979,9.948355028654987e-09
1980,1.3644361418485573e-08
1981,1.0120879245789638e-08
1982,9.9320033308814e-09
1983,1.3893695083311286e-08
1984,3.479405208395292e-09
1985,1.8046674155058895e-09
1986,9.591176741707841e-09
1987,6.110816741511371e-09
1988,8.994830658082265e-09
1989,3.841685636274406e-09
1990,1.0352436741190019e-08
1991,4.10302547493302e-09
1992,4.958949695321735e-09
1993,1.2740176913439427e-08
1994,5.274926717646622e-09
1995,5.4224509327127635e-09
1996,4.270473752399084e-09
1997,6.233362825902589e-09
1998,5.72175506974304e-09
1999,8.226361813967742e-09
2000,3.97622823555821e-09
2001,7.0099388516098315e-09
2002,9.200564754507923e-09
2003,7.91715359937939e-09
