year,mariages_NOUN heureux_ADJ
1800,4.7162465932615305e-08
1801,7.381665767525192e-08
1802,1.1189200677108602e-08
1803,3.315576790896557e-08
1804,4.69651695311768e-08
1805,7.960057502032214e-08
1806,3.458002950651462e-08
1807,1.4234775136401367e-08
1808,9.064295980465431e-09
1809,4.0662548883574345e-08
1810,3.042164919975221e-08
1811,1.0028307073639553e-08
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,8.091670444798638e-09
1816,9.270415546325239e-09
1817,3.580808893843823e-08
1818,3.099506074022429e-08
1819,1.7596784473994376e-08
1820,2.610625848831205e-08
1821,4.339054981983281e-08
1822,4.110502516141423e-08
1823,1.581229902569703e-08
1824,1.9368560089105813e-08
1825,2.0252519661312363e-08
1826,3.787433300317389e-08
1827,3.3182182335167454e-08
1828,1.6510142586412258e-08
1829,2.0575622983187714e-08
1830,1.2524203008013046e-08
1831,2.0268567268999504e-08
1832,1.7588959622116818e-08
1833,2.4325620628928846e-08
1834,1.6802156110884425e-08
1835,1.5126175867408165e-08
1836,2.8899226123257904e-08
1837,1.1132625488130543e-08
1838,2.1461350030449466e-08
1839,1.11863602825224e-08
1840,2.4841785517537573e-08
1841,3.0818632978935057e-08
1842,1.341653010911159e-08
1843,2.3036953678001737e-08
1844,2.030767731753258e-08
1845,1.0602432709561072e-08
1846,2.1661655580373917e-08
1847,2.1033571329098777e-08
1848,4.022610855525244e-09
1849,1.5920887719289567e-08
1850,1.9009188889640427e-08
1851,5.8044946626978344e-09
1852,1.3021090872200602e-08
1853,1.6721408258035808e-08
1854,1.5586992863081406e-08
1855,3.555647865027822e-08
1856,2.3815070804289462e-08
1857,1.513267733344037e-08
1858,6.361778659424999e-09
1859,2.8516170758052795e-08
1860,1.1900677776566226e-08
1861,1.5562680033553988e-08
1862,7.2287781316404676e-09
1863,1.1487627737949424e-08
1864,2.7809422320501653e-08
1865,1.8827377434860182e-08
1866,3.795177905274727e-08
1867,1.844068364675877e-08
1868,2.222943251695142e-08
1869,1.0255390314739543e-08
1870,2.3509600044491208e-08
1871,7.434824311758348e-09
1872,1.269941218851045e-08
1873,4.190203295451056e-09
1874,1.6131444624534197e-08
1875,2.631902401573072e-08
1876,9.069022421925865e-09
1877,2.3502300550148902e-08
1878,9.058632954861423e-09
1879,2.443730195977878e-08
1880,1.5402831010646878e-08
1881,7.669758161910067e-09
1882,1.1979693681496428e-08
1883,3.791603475633565e-09
1884,1.9144920315739e-08
1885,2.127059778311846e-08
1886,1.2261581083805595e-08
1887,1.697520485288706e-08
1888,5.706553452000662e-09
1889,1.0650732740202784e-08
1890,5.898947663673937e-09
1891,6.3742202627281586e-09
1892,3.1342561879199593e-09
1893,1.6627724974682678e-08
1894,1.3863386882917439e-08
1895,6.6204757231957956e-09
1896,1.8280790214930676e-08
1897,1.1070755867592652e-08
1898,2.8291773368493978e-09
1899,2.04520400615138e-08
1900,8.824790231898305e-09
1901,6.147612641171918e-09
1902,2.0623192042990013e-08
1903,2.1060859722865644e-08
1904,9.674325340824907e-09
1905,9.805441791854719e-09
1906,8.745113966313056e-09
1907,5.65712765521198e-09
1908,1.2278472683036057e-08
1909,2.0353638774395222e-08
1910,1.4963621453034648e-08
1911,1.5429085564733214e-08
1912,1.6670147928721235e-08
1913,1.0605979428035539e-08
1914,1.2054139020278853e-08
1915,1.1780762143587253e-08
1916,4.394984820521586e-09
1917,1.4256351654751143e-08
1918,3.44591288836682e-09
1919,2.762354567309444e-09
1920,1.817335615328375e-08
1921,8.330022005509363e-09
1922,5.164555005876537e-09
1923,1.5923921736771263e-08
1924,1.5469948877466777e-08
1925,2.1996356736053713e-08
1926,1.671920735191179e-08
1927,3.6792442870137165e-08
1928,1.2568645679778001e-08
1929,1.7824650200282122e-08
1930,1.68057662230936e-08
1931,1.1405356659111021e-08
1932,0.0
1933,8.02946331646126e-09
1934,7.188948103475923e-09
1935,1.0771455727365264e-08
1936,1.091224355320719e-08
1937,7.55467088886519e-09
1938,5.186085783037697e-09
1939,3.058810094103137e-09
1940,1.7750480196809804e-08
1941,1.7709016475464523e-08
1942,3.034211815133858e-08
1943,2.3225881884414434e-08
1944,1.927911696952833e-08
1945,8.714016175304096e-09
1946,9.744772988540262e-09
1947,1.0728784083369192e-08
1948,1.0871887834440486e-08
1949,2.2579119796084512e-08
1950,3.19060831088791e-08
1951,2.2388944032059044e-08
1952,2.4253049346611988e-08
1953,8.619061908632375e-09
1954,3.224936762080688e-08
1955,1.1262729415761896e-08
1956,1.4825940475304833e-08
1957,6.184526224473075e-09
1958,7.445019267748876e-09
1959,1.3951345856355601e-08
1960,2.0070416439921246e-08
1961,1.181187059273725e-08
1962,2.2831043722248978e-08
1963,1.4871922360271128e-08
1964,1.0951143103454797e-08
1965,1.860494691641179e-08
1966,2.3818021332999706e-08
1967,1.5777073869571723e-08
1968,1.3474247440026232e-08
1969,9.991866889436096e-09
1970,1.5175793066646293e-08
1971,1.8498230613950284e-08
1972,1.2825367434743384e-08
1973,1.1026407342740185e-08
1974,1.1813700240281833e-08
1975,2.227477224892027e-08
1976,2.1140049710766107e-08
1977,1.3516598507123945e-08
1978,1.544553818177974e-08
1979,9.948355028654987e-09
1980,1.2507331170752423e-08
1981,1.3916208629893845e-08
1982,1.3656505259973528e-08
1983,1.894594880980094e-08
1984,2.4935736142595033e-08
