year,certaines_DET îles_NOUN,certaines_DET iles_NOUN,certaines_DET piles_NOUN
1800,5.973912209356058e-08,3.144164484325529e-09,0.0
1801,2.8574191901498125e-08,0.0,0.0
1802,8.727576528144709e-08,0.0,0.0
1803,5.265916058760922e-08,1.755305234496518e-08,0.0
1804,5.438072037122765e-08,2.4718509461507665e-09,0.0
1805,1.9900143755080535e-08,5.685755422035754e-09,0.0
1806,6.339671898558663e-08,1.4408345627714425e-08,0.0
1807,1.7081731584767113e-08,0.0,0.0
1808,1.3596443970698147e-08,2.2660739951163578e-09,0.0
1809,4.292158095609011e-08,0.0,0.0
1810,1.1700633351097167e-08,9.360507036149102e-09,2.3401267590372754e-09
1811,2.5070767684098882e-09,0.0,0.0
1812,3.200649700829672e-08,0.0,0.0
1813,2.8757416448144113e-09,0.0,0.0
1814,4.72001566720337e-08,0.0,6.293354282149721e-09
1815,6.74305908887618e-08,0.0,0.0
1816,8.1116134253989e-08,0.0,4.6352077731626196e-08
1817,3.7364962679475866e-08,0.0,1.0898113522728181e-08
1818,6.914282835168706e-08,2.384235475716423e-09,0.0
1819,4.0369094733705424e-08,3.105315005136333e-09,0.0
1820,5.3399165977907614e-08,2.3732962262101864e-09,0.0
1821,4.930744035291923e-08,1.97229765852569e-09,0.0
1822,3.308453244699194e-08,0.0,0.0
1823,2.470671811583003e-08,0.0,7.906149512848515e-09
1824,2.3579115548955087e-08,1.6842225392110777e-09,0.0
1825,8.805442908155214e-08,8.805443041381977e-10,0.0
1826,9.512623133645093e-08,1.145037931138404e-08,0.0
1827,3.871254738996299e-08,2.7651818612639545e-09,0.0
1828,7.888178754633657e-08,7.337841001486822e-09,9.172301251858528e-10
1829,4.9724420136953995e-08,1.714635211591542e-09,0.0
1830,6.470838087579978e-08,3.1310507520032616e-09,4.174734336004349e-09
1831,1.1381580211633491e-07,1.0913843828674885e-08,0.0
1832,5.8178868167502173e-08,2.705993873419743e-09,0.0
1833,1.5522062835060524e-07,9.266902800675325e-09,0.0
1834,4.107193762870054e-08,2.8003592777992026e-09,0.0
1835,5.596685070941021e-08,5.294161553592858e-09,0.0
1836,7.594447648529012e-08,1.0753200108126748e-08,0.0
1837,3.200629961064294e-08,7.653680245134353e-09,0.0
1838,5.112851209077007e-08,3.787297142565649e-09,6.312161904276081e-10
1839,4.75420309786756e-08,2.0974426639952526e-09,0.0
1840,6.497082266632148e-08,1.7198159785181133e-08,0.0
1841,6.998397994451011e-08,1.926164561183441e-08,0.0
1842,8.049918243102638e-08,4.695785538189057e-09,0.0
1843,8.801297557425869e-08,1.2995204246024628e-08,5.906911071384968e-10
1844,3.402907822191992e-08,6.586273748609983e-09,2.195424508855126e-09
1845,5.8034370198356555e-08,6.138250907561371e-09,1.0044410636567136e-08
1846,6.73267648299003e-08,8.781752214304106e-09,1.5807152919933287e-08
1847,5.824681537092147e-08,2.1572893693644346e-08,2.1572894581822766e-09
1848,9.895622898881129e-08,2.3331143461646775e-08,0.0
1849,6.116972883773997e-08,1.3407063903514427e-08,4.1897072478036534e-09
1850,3.6660580349234806e-08,5.431196825611551e-09,0.0
1851,6.062472412970976e-08,9.029214265154906e-09,6.449438760824933e-10
1852,4.622487126404451e-08,7.812654523320361e-09,6.510545436100301e-09
1853,4.59838740418661e-08,2.9859659189668264e-09,2.9859659189668264e-09
1854,7.273930258122618e-08,1.0391328963965663e-08,0.0
1855,1.448793831571038e-07,9.021793090369101e-09,5.837630823180007e-09
1856,4.0899794662152544e-08,2.5885946719483854e-09,9.836659486950339e-09
1857,8.981976851174522e-08,8.786716465536415e-09,3.4170564155999728e-09
1858,3.3766365703513657e-08,4.404308417971237e-09,1.468102750479261e-09
1859,7.078121200265741e-08,3.5645213447565993e-09,2.036869339860914e-09
1860,9.017052082782584e-08,6.408057279250201e-09,1.373155145145688e-09
