year,aurons_VERB assez_ADV,aurons_VERB passé_VERB
1800,1.1633408547595536e-07,4.087413785214267e-08
1801,5.000483582762172e-08,1.904946067554647e-08
1802,8.503792514602537e-08,1.3427040812530322e-08
1803,6.826187615160961e-08,7.801356893821776e-09
1804,2.4718509905596875e-08,1.730295728918918e-08
1805,2.55858996212055e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,5.124519120158766e-08,2.8469551160981155e-09
1808,2.2660739062985158e-08,9.064295980465431e-09
1809,3.162642769893864e-08,1.8072244145628247e-08
1810,4.680253340438867e-08,9.360507036149102e-09
1811,4.262030373070047e-08,5.0141535368197765e-09
1812,4.267533171287141e-08,8.00162425207418e-09
1813,6.901780125190271e-08,2.0130190847567064e-08
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,4.5852800667489646e-08,1.8880564667256294e-08
1816,4.1716869958463576e-08,2.3176038865813098e-09
1817,8.251429051142622e-08,1.0898113522728181e-08
1818,6.795070817133819e-08,5.960588467246453e-09
1819,8.177329391401145e-08,1.9666995143552413e-08
1820,6.526564533260171e-08,1.779972080839798e-08
1821,6.114122896860863e-08,7.494730880353018e-08
1822,5.714601059025881e-08,7.017931125119503e-09
1823,3.063632902922109e-08,3.162459805139406e-08
1824,7.747424035642325e-08,1.431589158329416e-08
1825,1.3032055790063168e-07,1.4088708866211164e-08
1826,4.227832306469281e-08,2.290075862276808e-08
1827,4.424290978022327e-08,1.935627302884768e-08
1828,6.512333783348367e-08,5.503380862137419e-09
1829,3.943661042171698e-08,2.6576845613135447e-08
1830,5.0096812032052185e-08,1.7742621594152297e-08
1831,5.456922025359745e-08,1.091384405071949e-08
1832,6.088486514954639e-08,3.111892965534935e-08
1833,3.938433579264711e-08,3.4750886612755494e-08
1834,6.72086244435377e-08,8.401078055442213e-09
1835,8.470658485748572e-08,1.3613558280667348e-08
1836,6.922372364215335e-08,3.1587525484155776e-08
1837,7.375364674544471e-08,1.7394727436226276e-08
1838,4.797243136067664e-08,1.5149188570262595e-08
1839,4.61437359433603e-08,1.8177836125232716e-08
1840,6.497082694068013e-08,1.0828470564661075e-08
1841,6.613164771351876e-08,2.760835826620678e-08
1842,4.360372329870188e-08,6.037438549100216e-09
1843,7.088293330070883e-08,1.594865928211675e-08
1844,4.610391357573462e-08,3.0187088384536764e-08
1845,5.524425716885162e-08,3.124927516751086e-08
1846,7.903576459966644e-08,1.5807152919933287e-08
1847,5.123562374365065e-08,2.588747349818732e-08
1848,4.98803736093123e-08,4.183515400768556e-08
1849,3.016589289472904e-08,1.1731181359664333e-08
1850,3.326607966869233e-08,1.6972489191857676e-08
1851,4.450112811582585e-08,9.029214709244116e-09
1852,4.948014620254071e-08,2.9948509450150596e-08
1853,5.3747385209135246e-08,1.970737528722566e-08
1854,7.481757080540774e-08,2.961528799971802e-08
1855,6.102978034050466e-08,1.2736649068756378e-08
1856,2.7439103433835044e-08,2.019103817474388e-08
1857,3.270611159678083e-08,3.417056504417815e-08
1858,6.312841804856362e-08,3.7191938417890924e-08
1859,3.513599722282379e-08,1.884104072757964e-08
1860,5.858795404378725e-08,3.524431591017674e-08
1861,1.046943935989475e-07,1.9335450573976232e-08
1862,6.731799828685325e-08,3.252950264709398e-08
1863,6.692791743034832e-08,3.5461809488879226e-08
1864,7.240038968348017e-08,3.7398876884253696e-08
1865,5.036323358353911e-08,2.023943146411966e-08
1866,3.405929049904444e-08,2.7247432754506917e-08
1867,3.591080499631971e-08,4.755755256269367e-08
1868,3.902500367303219e-08,4.00129813726835e-08
1869,3.369628132077196e-08,3.320792885119772e-08
1870,4.931282049369656e-08,3.841812556970581e-08
1871,6.372706451429622e-08,2.8677177965619194e-08
1872,6.591599799321557e-08,4.051717183983783e-08
1873,3.352162636360845e-08,2.7535620006347017e-08
1874,4.062734149101743e-08,2.6885741633009275e-08
1875,3.776207790906483e-08,3.718992758194872e-08
1876,3.4462285469771814e-08,3.869449471949338e-08
1877,3.896434108696667e-08,1.7317484335421796e-08
1878,3.200716847118201e-08,2.5968081018845623e-08
1879,4.581993806596074e-08,3.848874996492668e-08
1880,4.685027832351807e-08,3.7223507831640745e-08
1881,4.811030152040985e-08,4.044054335849978e-08
1882,3.4608003574021495e-08,3.1945848633085916e-08
1883,5.8769852984141835e-08,2.6541224329434954e-08
1884,4.7532218161450146e-08,3.234831424947515e-08
1885,2.2559724754955823e-08,2.513797880965285e-08
1886,4.130216879616455e-08,4.001147502208369e-08
1887,4.83140425444617e-08,3.9173546184656516e-08
1888,2.53624587998047e-08,3.043495055976564e-08
1889,4.573549716724301e-08,5.889228660294066e-08
1890,5.505684796958121e-08,2.5562107097698572e-08
1891,3.1871099537283953e-08,3.824532157636895e-08
1892,6.017771880806322e-08,5.2655504845233736e-08
1893,3.571881634911733e-08,2.5249507373814595e-08
1894,2.9617234886814003e-08,3.0247388593807045e-08
1895,5.236194766666813e-08,3.310238128051424e-08
1896,3.4202766840962795e-08,1.8280790214930676e-08
1897,2.3889525024856084e-08,2.7385553380554484e-08
1898,4.413516663248629e-08,2.1501747937691107e-08
1899,2.432134493801641e-08,2.8743407654019393e-08
1900,3.5818267463127995e-08,6.436906119233754e-08
1901,4.079779358789892e-08,2.3472702892490815e-08
1902,3.2407871941586563e-08,2.455141867585553e-08
1903,4.482182802689749e-08,2.4841012802312434e-08
1904,3.708491291831706e-08,3.547252447333449e-08
1905,3.560923644840841e-08,2.5287718585786934e-08
1906,3.2922780945909835e-08,3.600929332492342e-08
