year,ses_DET eaux_NOUN,ses_DET peaux_NOUN
1800,7.29131750176748e-06,9.118077315406481e-08
1801,6.350613830363727e-06,1.04772034603684e-07
1802,9.786074770090636e-06,1.320325679898815e-07
1803,7.477600348693159e-06,7.021220937986072e-08
1804,9.55370396127364e-06,4.943701981119375e-08
1805,6.604005093890919e-06,5.685755422035754e-09
1806,6.0025169261734845e-06,1.2679343797117326e-07
1807,7.222724946132075e-06,5.4092147649953404e-08
1808,6.415255626279759e-06,6.798222074166915e-08
1809,6.250737442314858e-06,7.228897658251299e-08
1810,6.056247940477988e-06,1.8721014072298203e-08
1811,6.232593023014488e-06,3.008491944456182e-08
1812,7.428174882306848e-06,8.00162425207418e-09
1813,6.306501518338337e-06,8.627225156487839e-09
1814,5.210897285223837e-06,1.2586708564299443e-08
1815,4.34252993386508e-06,3.236668177919455e-08
1816,5.0037069598829476e-06,2.5493642752394408e-08
1817,4.376371066427964e-06,9.185553295765203e-08
1818,5.666135464821309e-06,3.814776761146277e-08
1819,4.332949657737117e-06,2.4842520929269085e-08
1820,5.325676738721086e-06,6.526564533260171e-08
1821,4.665470214604284e-06,2.2681422962023134e-08
1822,5.791798173504503e-06,2.2056354964661296e-08
1823,4.699217583947757e-06,2.668325471688604e-08
1824,4.559190628583565e-06,5.9789897477458e-08
1825,5.242760593660023e-06,3.434122675116669e-08
1826,6.053727787502794e-06,3.082794464148719e-08
1827,4.123807855194173e-06,1.2904182611350734e-08
1828,4.8539817782966566e-06,2.4765213879618386e-08
1829,5.31022510585899e-06,3.3435387791769244e-08
1830,5.133879398044883e-06,2.0873670791843324e-08
1831,5.466277002597053e-06,7.795603274018958e-09
1832,5.0480313689149625e-06,5.0060886991332154e-08
1833,7.221234170629032e-06,4.749287541017111e-08
1834,5.709932622721681e-06,3.360431222176885e-08
1835,5.971057817077963e-06,5.672315950278062e-08
1836,5.223366983386768e-06,3.293167694096155e-08
1837,5.070911015536694e-06,5.0096815584765864e-08
1838,5.344507485460781e-06,3.7241754569095065e-08
1839,4.167618499195669e-06,3.845311458139378e-08
1840,4.895742691246596e-06,3.630722389402763e-08
1841,4.443019719246877e-06,3.5955071808757566e-08
1842,4.607236263609593e-06,4.427455024824667e-08
1843,4.280147635427056e-06,4.016699506337318e-08
1844,3.849127978128308e-06,3.732221642849254e-08
1845,4.2560396451563065e-06,2.9017185099178278e-08
1846,4.042533049641861e-06,4.6836010625384006e-08
1847,3.7757957898065797e-06,1.4561703842730367e-08
1848,4.015369981402728e-06,5.309846429213394e-08
1849,3.980222174959636e-06,9.217356655710773e-09
1850,3.942370099707659e-06,2.9192683825840504e-08
1851,4.119901419130656e-06,3.031236062156495e-08
1852,4.3275595658087695e-06,2.604218196644581e-08
1853,4.1289937087185535e-06,3.2248433257109355e-08
1854,4.1461400144271465e-06,2.597832238215858e-08
1855,4.2359970109373535e-06,4.0332722051061864e-08
1856,4.155729655508367e-06,1.863788101630348e-08
1857,4.142448688071454e-06,4.246912954641857e-08
1858,3.978558709150093e-06,4.5511185930990905e-08
1859,4.140446108635842e-06,2.64793023063703e-08
1860,3.826067924705967e-06,3.1582569226529245e-08
1861,4.2778507634011476e-06,6.130753149591328e-08
1862,4.4524755082875345e-06,4.156547461775517e-08
1863,3.770439263917069e-06,2.5472565834405714e-08
1864,4.161344378417198e-06,3.404256787575832e-08
1865,3.77018224639869e-06,1.6003271596787272e-08
1866,3.763064995609966e-06,2.3354942868536455e-08
1867,3.5808896683420244e-06,3.591080499631971e-08
1868,3.7473885186045663e-06,3.210918109175509e-08
1869,3.711474647616342e-06,2.539429910797253e-08
1870,3.5453623326020534e-06,2.5803219561026935e-08
1871,3.5092370609390855e-06,1.1683295220166201e-08
1872,3.4149324648069523e-06,3.507456869389358e-08
1873,3.577834775114752e-06,1.975381413998889e-08
1874,3.416281614931904e-06,3.2262889249068394e-08
1875,3.694962131817192e-06,2.574687130163511e-08
1876,4.102220998447592e-06,2.5997863417615008e-08
1877,4.404207629704615e-06,3.463496867084359e-08
1878,3.4531508958934864e-06,2.8987624745013818e-08
1879,3.714469713145263e-06,3.054662733870117e-08
1880,3.897558059406947e-06,3.658172431642015e-08
1881,4.195357604430683e-06,2.4403776333059568e-08
1882,3.5526445998357303e-06,2.3959387362992857e-08
1883,3.6816469730638346e-06,2.780509184008295e-08
1884,3.677145201663734e-06,2.2445769687351458e-08
1885,3.5670148719191275e-06,1.740321664556177e-08
1886,3.4713181236156743e-06,3.936613118815657e-08
1887,3.410710263551664e-06,5.484296550228862e-08
1888,3.1373361650821607e-06,3.297119732792453e-08
1889,3.5454407765200813e-06,4.698852418272281e-08
1890,3.3938612631345677e-06,2.4251230357208442e-08
1891,2.7708734151588033e-06,3.824532157636895e-08
1892,3.497203081792577e-06,2.193979398157353e-08
1893,3.103226063672082e-06,2.3401982629511764e-08
1894,3.398420233224897e-06,4.159015887239548e-08
1895,3.113429173140503e-06,3.9120994221875094e-08
1896,3.1112725480397785e-06,2.889544248318998e-08
1897,2.7851690589386635e-06,1.5149455023788505e-08
1898,2.899906910158734e-06,2.093591255913907e-08
1899,2.7765027112991447e-06,2.8743407654019393e-08
1900,2.951113614813039e-06,2.387884379118077e-08
1901,2.8262253195521225e-06,1.620734302321125e-08
1902,2.4242071816615862e-06,1.4730851649602528e-08
1903,3.0840658098441054e-06,3.7801541452608944e-08
1904,2.8206032425259764e-06,3.493506284257819e-08
1905,2.8337727684402125e-06,2.373949170575429e-08
1906,2.9260121863217137e-06,3.600929199265579e-08
1907,2.5642215888410647e-06,2.3657079295524852e-08
1908,2.8972284695782946e-06,1.9154417607580854e-08
1909,2.320314870019047e-06,2.8055016532135824e-08
1910,2.7249824228192665e-06,2.1376603487333057e-08
1911,2.569208696456826e-06,2.979409430281521e-08
1912,2.618776001384049e-06,4.2717254955526585e-08
1913,2.3577093415383388e-06,4.666630815108874e-08
1914,2.5983365787851653e-06,4.0850137772441286e-08
1915,2.2100709529127016e-06,2.4739600590351074e-08
1916,2.2831945756252026e-06,4.0653610255958483e-08
1917,2.443319353062634e-06,3.5092558192673096e-08
1918,2.103155537724888e-06,3.101321510712296e-08
1919,2.2982788436820556e-06,4.235610262526279e-08
1920,2.448859746095877e-06,3.407504234331782e-08
1921,2.3513379758810515e-06,2.7261890134244737e-08
1922,2.1145162705238363e-06,2.951174238319254e-08
1923,2.1221280803729314e-06,3.3971033985835675e-08
1924,2.1902869633549926e-06,6.059063606400628e-08
1925,2.725348473120448e-06,4.2892892793133797e-08
1926,1.9550327365891462e-06,3.6782257240020044e-08
1927,2.1863631118890225e-06,4.9056590900597996e-08
1928,2.4554561974809985e-06,3.427812322875923e-08
1929,2.4709420358703937e-06,4.567566480595531e-08
1930,2.214159593449949e-06,4.516549678701409e-08
1931,2.197812243309727e-06,3.307553431142196e-08
1932,2.552476132677839e-06,2.6302888755935783e-08
1933,1.956894983834445e-06,4.244145057619164e-08
1934,2.2213849817376286e-06,3.714289675826876e-08
1935,2.008278102039185e-06,4.906996498021954e-08
1936,2.0769636392969915e-06,3.15242587589637e-08
1937,1.9440685932181623e-06,3.021868266728234e-08
1938,2.1094404232258057e-06,6.352954784460962e-08
1939,1.858227179241112e-06,4.129393715857077e-08
1940,2.0260905699842624e-06,5.5787225505810056e-08
1941,1.7000654892740386e-06,4.132103725851266e-08
1942,1.8387323379442932e-06,3.944475324146879e-08
1943,1.6577472834455875e-06,7.258088174921795e-08
1944,1.783318339221296e-06,7.390327994016843e-08
