year,leurs_DET artisans_NOUN,leurs_DET partisans_NOUN
1800,5.0306631749208464e-08,1.1601966782848194e-06
1801,1.1905913144261149e-08,1.276313859932543e-06
1802,3.5805442166747525e-08,9.667469385021832e-07
1803,1.755305234496518e-08,1.0024743524184032e-06
1804,0.0,7.069493666023163e-07
1805,1.9900143755080535e-08,1.248023330902015e-06
1806,1.152667650217154e-08,1.0460458472749679e-06
1807,1.4234775136401367e-08,1.6797034825266621e-06
1808,1.3596443970698147e-08,1.015201195997406e-06
1809,1.581321384946932e-08,1.7281583630790465e-06
1810,2.3401267590372754e-09,8.775475173194991e-07
1811,2.2563691359778204e-08,1.1131421189247703e-06
1812,1.3336041604361526e-08,9.735309838276862e-07
1813,2.8757416448144113e-09,1.34009564334292e-06
1814,0.0,1.4883783059360667e-06
1815,1.3486117556027466e-08,1.739709162507097e-06
1816,6.952811659743929e-09,1.0012049180829763e-06
1817,1.71256075987003e-08,1.3373542344652378e-06
1818,3.457141417584353e-08,1.798905618244362e-06
1819,2.070210003424222e-09,1.8673293915583145e-06
1820,1.1866481131050932e-09,1.959156037401044e-06
1821,6.903041693817613e-09,1.8164861934621968e-06
1822,1.7043547018147365e-08,1.4777757968431615e-06
1823,3.9530747564242574e-09,2.071411062232187e-06
1824,5.052667617633233e-09,1.9915931233072115e-06
1825,1.4088708866211164e-08,1.5251027249973959e-06
1826,2.7304752237000685e-08,1.995008350519356e-06
1827,8.295545583791863e-09,1.5263804442611217e-06
1828,2.7516904310687096e-09,1.1465376985597686e-06
1829,1.714635211591542e-09,1.265400840111397e-06
1830,2.0873671680021744e-09,1.2106730054028958e-06
1831,7.795603051974354e-09,8.918169882576876e-07
1832,9.470978667991403e-09,7.752672521732507e-07
1833,0.0,1.040209873792719e-06
1834,1.8669061851994684e-09,1.1182768169248902e-06
1835,1.739510224751939e-08,1.2713550532339468e-06
1836,1.3441500135158435e-09,1.5410680234140273e-06
1837,1.3915782304252389e-08,1.341481414840473e-06
1838,2.1461350030449466e-08,1.635481140738193e-06
1839,1.957613093850341e-08,1.2270038602935074e-06
1840,1.8472096741106725e-08,1.471398029195825e-06
1841,1.2841097074556274e-08,8.629217287392521e-07
1842,1.341653010911159e-08,1.3429946861265307e-06
1843,1.2995204023980023e-08,1.1412152502998651e-06
1844,8.781698035420504e-09,1.5867430462890297e-06
1845,8.370341586516616e-09,1.0613593879327254e-06
1846,3.5127007969038004e-09,9.560400950903158e-07
1847,1.294373674909366e-08,1.2852051831657718e-06
1848,6.43617736884039e-09,9.541633199106059e-07
1849,1.1731181359664333e-08,8.278861844956964e-07
1850,2.7155984128057753e-09,1.0000191608128262e-06
1851,1.87033721843477e-08,9.590315750429568e-07
1852,2.4740073101270355e-08,8.99757367278653e-07
1853,5.971931837933653e-10,9.358017223348725e-07
1854,2.0782657816909023e-09,9.372978437838242e-07
1855,4.2986190607052777e-08,9.223456807205821e-07
1856,1.1907535402144731e-08,9.733115575727425e-07
1857,7.322263684272912e-09,9.543350074636692e-07
1858,1.6149130033227266e-08,8.896702832217329e-07
1859,1.3748867822016564e-08,8.8349205729088e-07
1860,1.4646988955036022e-08,9.580046000934317e-07
1861,2.1221836732365773e-08,8.215208726625178e-07
1862,9.939570055905733e-09,9.804030600690794e-07
1863,1.6981710260211003e-08,9.020285425265229e-07
1864,3.835782358407869e-09,7.671564681288601e-07
1865,8.47231973466478e-09,1.0430367538560859e-06
1866,4.379051787850585e-09,8.505091360078154e-07
1867,1.455843445796745e-08,7.618914033002966e-07
1868,8.89177353968762e-09,7.394991659026573e-07
1869,7.325278605918584e-09,9.298220664533119e-07
1870,1.7202146374017957e-09,7.98752979314088e-07
1871,9.559059321873065e-09,6.117798321270129e-07
1872,1.8142017887967654e-09,8.496511423317088e-07
1873,8.97900703789034e-09,7.476519758853328e-07
1874,1.7923826867161097e-09,8.161316200627766e-07
1875,8.010138330405425e-09,6.877275833261365e-07
1876,2.418405919968336e-09,6.995239392182384e-07
1877,1.0514186854493346e-08,7.316637402610127e-07
1878,1.9928992234241605e-08,8.062183471935214e-07
1879,1.1607717897987868e-08,6.262058618311528e-07
1880,2.759673911612026e-08,7.02112373573982e-07
1881,1.1853263259808955e-08,8.081136098070374e-07
1882,2.6621540527571597e-09,7.307612595042201e-07
1883,2.5277355764075082e-09,6.654264090855122e-07
1884,5.941527270181268e-09,8.370951505298763e-07
1885,6.445635802876382e-09,7.638078320937325e-07
1886,1.4197620190614657e-08,8.163631726176845e-07
1887,3.2644623670918804e-09,6.444048556986104e-07
1888,1.141310668195672e-08,7.938449879674181e-07
1889,4.385595886446936e-09,8.927819834525508e-07
1890,1.2453334363726754e-08,7.177053236162578e-07
1891,1.9122660788184476e-08,6.342348690679955e-07
1892,1.1283322720601063e-08,6.143141870751379e-07
1893,9.853466542697475e-09,7.870456233405321e-07
1894,1.9534772022211655e-08,6.074684080203951e-07
1895,9.629783193076946e-09,8.155222541716967e-07
1896,7.66613750258216e-09,8.102517696784162e-07
1897,1.8645483379486905e-08,7.551420804219333e-07
1898,1.0185039034382726e-08,6.722125815983304e-07
1899,1.0502398950507086e-08,6.970276302808998e-07
1900,1.661137005726232e-08,6.68088539157452e-07
1901,6.706486588292648e-09,7.298892779061816e-07
1902,1.0311596021495006e-08,5.808865903844662e-07
