year,certains_DET yeux_NOUN,certains_DET pieux_NOUN
1800,3.144164395507687e-08,0.0
1801,9.524730337773235e-09,0.0
1802,6.042168365638645e-08,0.0
1803,5.460949736857401e-08,0.0
1804,2.7190360185613827e-08,4.943701892301533e-09
1805,7.675769686521505e-08,2.842877711017877e-09
1806,2.305335300434308e-08,0.0
1807,5.693910232196231e-09,0.0
1808,1.5862518409903714e-08,0.0
1809,3.840352036377226e-08,4.518061036407062e-09
1810,1.1700633351097167e-08,0.0
1811,3.259199843341776e-08,0.0
1812,2.400487453257938e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,6.293354282149721e-09,0.0
1815,5.394447111228828e-09,0.0
1816,2.0858434979231788e-08,0.0
1817,1.0898113522728181e-08,1.556873407970727e-09
1818,4.410835652279843e-08,0.0
1819,5.6930773539853874e-08,0.0
1820,4.153268395867826e-08,0.0
1821,2.070912508145284e-08,3.94459531705138e-09
1822,1.0025615893027862e-08,0.0
1823,4.5460360809101985e-08,0.0
1824,4.0421340941065864e-08,0.0
1825,7.044354433105582e-09,0.0
1826,1.145037975547325e-08,0.0
1827,1.3825909306319772e-08,0.0
1828,2.293075357373553e-08,1.559291185060374e-08
1829,3.0006116702452346e-08,3.429270423183084e-09
1830,1.982998831806526e-08,0.0
1831,7.795603274018958e-09,0.0
1832,2.705993829010822e-08,2.705993873419743e-09
1833,1.7375443306377747e-08,2.3167257001688313e-09
1834,2.0535967593104942e-08,0.0
1835,2.7227116561334697e-08,0.0
1836,2.688300071440608e-08,0.0
1837,2.7831564386460172e-08,0.0
1838,1.830526974444524e-08,0.0
1839,1.677954131196202e-08,6.9914751765765e-10
1840,1.5287253019025115e-08,0.0
1841,1.0272877659645019e-08,0.0
1842,1.9453969102301016e-08,0.0
1843,1.2404512972352677e-08,0.0
1844,3.732221598440333e-08,0.0
1845,3.0691253538606134e-08,1.1160455892778032e-09
1846,2.868705717418152e-08,5.269050973311096e-09
1847,2.2112216946368335e-08,0.0
1848,4.666228647920434e-08,0.0
1849,2.5976186535103807e-08,0.0
1850,2.0366988096043315e-08,6.788996032014438e-10
1851,3.5471913406581734e-08,0.0
1852,2.6042180856222785e-08,6.510545436100301e-10
1853,3.702597650701023e-08,2.388772735173461e-09
1854,2.3900057044556888e-08,1.0391328908454511e-09
1855,4.9354515141430966e-08,1.0613874223963649e-09
1856,4.4523828179876546e-08,0.0
1857,3.514686497396724e-08,0.0
1858,4.942612719105455e-08,0.0
1859,5.041251660564683e-08,5.092173349652285e-10
1860,4.119465657481669e-08,5.034902272882391e-09
1861,3.112536212102057e-08,9.903524222920623e-09
1862,2.5752521892741242e-08,1.3553959066214816e-09
1863,3.1466110828048954e-08,6.493007020935693e-09
1864,2.7809422320501653e-08,2.8768367688059016e-09
1865,4.000817765970055e-08,2.3534221238463715e-09
1866,2.4814625021463144e-08,1.4596839292835284e-09
1867,3.833720896295745e-08,0.0
1868,2.173544610961642e-08,1.4819622196071691e-09
1869,4.150991372853241e-08,9.767038289254515e-10
1870,2.5229815125982213e-08,0.0
1871,3.717412155879174e-08,3.18635318130589e-09
1872,4.837871592222598e-08,6.047339295989218e-10
1873,2.7535620339413924e-08,0.0
1874,3.5847656565390906e-08,0.0
1875,7.49520032705675e-08,0.0
1876,2.720706704373299e-08,0.0
1877,6.246664119302636e-08,0.0
1878,4.710489148740393e-08,6.039088673581716e-10
1879,5.6205791576502406e-08,2.443730107160036e-09
1880,3.401458670282409e-08,1.9253538763308597e-09
1881,2.998178416646624e-08,0.0
1882,3.194584929921973e-08,0.0
1883,4.297150574261721e-08,0.0
1884,3.1688145440966764e-08,6.601696966868076e-10
1885,5.027595945117369e-08,1.2891271383708158e-09
1886,4.646494122795275e-08,1.2906927748801422e-09
1887,3.9173548849191775e-08,7.834709769838355e-09
1888,3.36052567995182e-08,6.340614699951175e-10
1889,3.884384947028252e-08,4.385595886446936e-09
1890,3.342737198153145e-08,6.554386478008212e-10
1891,4.908149509041948e-08,0.0
1892,3.447681962143179e-08,1.2537024751679837e-09
1893,3.202376586131095e-08,6.158416554491453e-10
1894,3.528861869384059e-08,1.2603078580752936e-09
1895,3.7315410761351586e-08,0.0
1896,3.7740985669998395e-08,0.0
1897,2.6220211779559577e-08,4.078699600285063e-09
1898,4.074015658162011e-08,0.0
1899,2.819064981451902e-08,5.527578395003729e-10
1900,4.256663455048937e-08,2.07642125715779e-09
1901,3.8003424518429085e-08,6.147612641171918e-09
1902,4.9593867235131484e-08,5.892340837476695e-09
1903,3.2401319849384436e-08,2.1600881083827517e-09
1904,3.9772227289347484e-08,5.374625189347171e-09
1905,4.5930754311029887e-08,4.64468330463319e-09
1906,6.070137636982054e-08,1.0288369045596824e-09
1907,4.4228454398886896e-08,3.0857059130084963e-09
1908,4.9605029861510275e-08,2.4556945366072114e-09
1909,4.510806483892793e-08,6.60118004702781e-09
1910,4.0615543372979346e-08,0.0
1911,6.810078856389623e-08,2.6601870706244313e-09
1912,5.46989227245831e-08,5.2094213387476884e-09
