year,ayez_VERB été_VERB,ayez_VERB eté_VERB
1800,1.320549074534938e-07,0.0
1801,1.3334621939975477e-07,0.0
1802,1.0294064622939914e-07,0.0
1803,1.560271414291492e-07,0.0
1804,2.6201618652521574e-07,0.0
1805,2.1605870870189392e-07,5.685755422035754e-09
1806,2.4782355012575863e-07,5.76333825108577e-09
1807,2.419911879769643e-07,2.8469551160981155e-09
1808,1.5862518409903714e-07,0.0
1809,2.01053723003497e-07,0.0
1810,2.386929338626942e-07,0.0
1811,1.0028307428910921e-07,0.0
1812,1.3069320914382843e-07,0.0
1813,1.2940837734731758e-07,0.0
1814,1.3530711839848664e-07,0.0
1815,7.552225866902518e-08,0.0
1816,1.2978581764855335e-07,0.0
1817,2.1484852652520203e-07,0.0
1818,1.645122438276303e-07,1.1921177378582115e-09
1819,1.9977527188075328e-07,0.0
1820,1.9935689010708302e-07,0.0
1821,3.984041256899218e-07,0.0
1822,1.9850719468195166e-07,0.0
1823,2.1050122711585573e-07,0.0
1824,1.7347491620967048e-07,0.0
1825,1.8579484617475828e-07,0.0
1826,1.5766292449370667e-07,0.0
1827,2.0646692178161175e-07,0.0
1828,1.4217066279798019e-07,0.0
1829,2.4690746158739785e-07,0.0
1830,1.8577567573174747e-07,0.0
1831,2.1204040479005926e-07,0.0
1832,1.6235962618793565e-07,0.0
1833,1.4247862623051333e-07,0.0
1834,1.23215812664057e-07,0.0
1835,2.1781693249067757e-07,1.5126175867408165e-09
1836,1.7406742358616611e-07,0.0
1837,2.066493607344455e-07,0.0
1838,1.7674052799065976e-07,0.0
1839,1.8387579814316268e-07,0.0
1840,1.3694830158783589e-07,0.0
1841,1.110754865862873e-07,0.0
1842,1.2946951244430238e-07,0.0
1843,1.4176586660141766e-07,5.906911071384968e-10
1844,1.7508510552488588e-07,0.0
1845,1.2220699829867954e-07,0.0
1846,1.2762812673372537e-07,0.0
1847,9.492073616002017e-08,0.0
1848,9.654266364123032e-08,0.0
1849,9.21735647807509e-08,0.0
1850,1.1812853273340806e-07,0.0
1851,1.1093034402165358e-07,6.449438760824933e-10
1852,1.458362248740741e-07,0.0
1853,1.2421618578173366e-07,0.0
1854,1.5638950401353213e-07,0.0
1855,1.294892655323565e-07,5.306937111981824e-10
1856,1.0354378332522174e-07,0.0
1857,1.732935714926498e-07,0.0
1858,1.8644905708242732e-07,0.0
1859,1.629495471888731e-07,0.0
1860,1.2495712553572957e-07,0.0
1861,1.8203620300027978e-07,0.0
1862,2.281582993646225e-07,0.0
1863,1.3235745655038045e-07,0.0
1864,1.706923171695962e-07,0.0
1865,1.440294425947286e-07,0.0
1866,1.5132056319089315e-07,0.0
1867,1.0336488287521206e-07,0.0
1868,1.2349684652690485e-07,0.0
1869,1.5578426371121168e-07,0.0
1870,1.3016290267842123e-07,0.0
1871,1.8268424639700243e-07,1.0621177271019633e-09
1872,1.669065596843211e-07,0.0
1873,1.3468509507674753e-07,0.0
1874,1.0694550667267322e-07,0.0
1875,1.647799763304647e-07,0.0
