year,sans_ADP unir_VERB,sans_ADP punir_VERB
1800,2.2009151834367913e-08,4.0874140072588716e-08
1801,7.143547975374531e-09,2.1430642593855964e-08
1802,1.3427040812530322e-08,4.4756802708434407e-08
1803,1.950339223455444e-09,5.851017448321727e-09
1804,1.2359254508709228e-08,4.2021465418429216e-08
1805,0.0,3.695740957709859e-08
1806,0.0,1.729001475325731e-08
1807,8.540865792383556e-09,3.9857372513552036e-08
1808,1.1330369531492579e-08,3.3991110370834576e-08
1809,0.0,1.581321384946932e-08
1810,4.680253518074551e-09,3.042164919975221e-08
1811,0.0,1.0028307073639553e-08
1812,0.0,1.8670457180292033e-08
1813,0.0,4.601186631703058e-08
1814,1.8880061958270744e-08,3.1466771410748606e-09
1815,0.0,3.776112933451259e-08
1816,1.1588019432906549e-08,5.5622493277951435e-08
1817,4.670620334934483e-09,3.113746738225842e-08
1818,1.4305412854298538e-08,5.6029534789558966e-08
1819,1.035105001712111e-09,6.107119610021527e-08
1820,5.933240565525466e-09,4.9839221638592335e-08
1821,5.9168927535324656e-09,3.648750634965836e-08
1822,1.9048670196752937e-08,4.8122956286533736e-08
1823,9.882686891060644e-10,3.4589405117912975e-08
1824,1.6842225392110777e-09,3.1158117863583357e-08
1825,6.163809906922779e-09,4.0505038434446305e-08
1826,7.0463874735082754e-09,3.170874407487645e-08
1827,3.6869092223668076e-09,2.488663675137559e-08
1828,1.4675682002973645e-08,6.420610976221042e-08
1829,1.0287811491593857e-08,1.971830521085849e-08
1830,8.349468672008697e-09,3.235418977176607e-08
1831,7.795603274018958e-09,1.4032085493553836e-08
1832,3.111892965534935e-08,2.0294954161670375e-08
1833,1.3900354201012988e-08,2.89590715851773e-08
1834,7.467624740797874e-09,3.173740559248017e-08
1835,7.563087933704082e-09,1.4369867074037757e-08
1836,1.4785650037651976e-08,2.889922501303488e-08
1837,4.174734336004349e-09,3.27020885926288e-08
1838,8.837027110075724e-09,3.1560809077291196e-08
1839,3.4957374772659477e-09,1.6080392573059044e-08
1840,1.3376346252869098e-08,2.6752692505738196e-08
1841,9.630822361827995e-09,1.4125206782011901e-08
1842,6.037438549100216e-09,2.4820580257767233e-08
1843,1.7720733769266417e-09,2.717179026223704e-08
