year,moins_ADV été_VERB,moins_ADV eté_VERB
1800,6.728511721121322e-07,0.0
1801,8.429386184616305e-07,0.0
1802,7.742926868559152e-07,0.0
1803,6.280092179622443e-07,0.0
1804,5.611101414615405e-07,2.4718509461507665e-09
1805,9.296210237152991e-07,1.1371510844071508e-08
1806,5.993871923237748e-07,0.0
1807,8.199230592254025e-07,0.0
1808,8.88301030954608e-07,6.798221985349073e-09
1809,6.709320814479725e-07,4.518061036407062e-09
1810,9.290303069064976e-07,7.020380277111826e-09
1811,6.744036227246397e-07,0.0
1812,1.0002030421674135e-06,2.6672082320544632e-09
1813,1.112912059397786e-06,2.8757416448144113e-09
1814,8.653362328914227e-07,0.0
1815,9.57514316723973e-07,0.0
1816,8.204317509807879e-07,2.3176038865813098e-09
1817,8.469391445942165e-07,4.670620334934483e-09
1818,8.642853686069429e-07,1.1921177378582115e-09
1819,9.398753491041134e-07,0.0
1820,8.365869348381239e-07,8.306536791735653e-09
1821,7.958221317494463e-07,0.0
1822,8.61200419421948e-07,0.0
1823,7.342836170209921e-07,9.882686891060644e-10
1824,9.229539728039526e-07,0.0
1825,7.739984653198917e-07,0.0
1826,8.411624889959057e-07,5.284790383086602e-09
1827,1.0258825113851344e-06,8.295545583791863e-09
1828,1.0713247320381925e-06,6.420610709767516e-09
1829,1.1462336715339916e-06,1.1145129263923081e-08
1830,1.0144603947992437e-06,2.0873671680021744e-09
1831,8.668710620440834e-07,1.5591206103948707e-09
1832,1.170342329714913e-06,2.705993873419743e-09
1833,8.374963158530591e-07,1.1583628500844156e-09
1834,7.897012892499333e-07,0.0
1835,9.158899274552823e-07,0.0
1836,8.710092060937313e-07,0.0
1837,8.592995186518237e-07,0.0
1838,7.39785377845692e-07,1.2624323808552163e-09
1839,8.375787388104072e-07,0.0
1840,8.560861601836223e-07,0.0
1841,7.518462439293216e-07,0.0
1842,7.962710810716089e-07,1.341653010911159e-09
1843,7.50768379020883e-07,1.1813822142769936e-09
1844,8.688392654221389e-07,0.0
1845,7.109210287126189e-07,5.580227946389016e-10
1846,7.786486548866378e-07,5.854501328173001e-10
1847,8.467360999020457e-07,5.393223645455691e-10
1848,8.769291639509902e-07,1.6090443422100975e-09
1849,9.116803312281263e-07,2.513824481908955e-09
1850,8.011015211195627e-07,3.394498016007219e-09
1851,8.680944461048057e-07,0.0
1852,8.743662647248129e-07,6.510545436100301e-10
1853,6.796058187319431e-07,1.7915795513800958e-09
1854,7.29471310023655e-07,1.0391328908454511e-09
1855,6.851255989204219e-07,1.0613874223963649e-09
1856,7.962516974657774e-07,0.0
