year,coups_NOUN heureux_ADJ
1800,9.432493897065797e-09
1801,1.6668277424969347e-08
1802,0.0
1803,2.3404069793286908e-08
1804,7.4155526164076946e-09
1805,2.842877711017877e-09
1806,0.0
1807,1.9928686256776018e-08
1808,2.945896149242344e-08
1809,2.25903047379461e-08
1810,7.020380277111826e-09
1811,2.5070767684098882e-09
1812,5.3344164641089264e-09
1813,2.8757416448144113e-09
1814,1.2586708564299443e-08
1815,5.394447111228828e-09
1816,2.3176038865813098e-09
1817,3.113746815941454e-09
1818,4.768470951432846e-09
1819,7.24573512300708e-09
1820,1.1866481131050932e-09
1821,1.0847637454958203e-08
1822,4.411270992932259e-08
1823,0.0
1824,1.0947446504872005e-08
1825,1.0566531649658373e-08
1826,2.642395191543301e-09
1827,9.217273166939322e-09
1828,8.255071293206129e-09
1829,1.8860987438529264e-08
1830,1.878630406793036e-08
1831,3.1182412207897414e-09
1832,6.764984572527055e-09
1833,2.0850531967653296e-08
1834,2.8003592777992026e-09
1835,1.8907719834260206e-08
1836,1.5457725766054864e-08
1837,6.262101948095733e-09
1838,1.009945904684173e-08
1839,1.4682098203877558e-08
1840,8.917564464638872e-09
1841,1.4767261191650505e-08
1842,2.817471411731276e-08
1843,1.0041748765843295e-08
1844,2.085653250105679e-08
1845,1.0044410636567136e-08
1846,8.781752214304106e-09
1847,1.1865092020002521e-08
1848,7.24069959545659e-09
1849,1.1731181359664333e-08
1850,1.425689166723032e-08
1851,1.1608989325395669e-08
1852,7.812654523320361e-09
1853,1.5527023222716707e-08
1854,8.313063126763609e-09
1855,1.1675261646360013e-08
1856,1.7084724746041502e-08
1857,2.0990489346672803e-08
1858,3.8170671956549995e-08
1859,5.550468884507609e-08
1860,4.622955884769908e-08
1861,9.903524222920623e-09
1862,1.2650361647104091e-08
1863,1.6981710260211003e-08
1864,8.63051052846231e-09
1865,1.0825742080555756e-08
1866,1.9949013108089275e-08
1867,1.4073153309368536e-08
1868,1.432563490055827e-08
1869,1.70923168951731e-08
1870,1.2614907340946502e-08
1871,2.2304472935275044e-08
1872,2.1770421909650395e-08
1873,2.2746817762708815e-08
1874,2.5093358502203955e-08
1875,9.154443425529735e-09
1876,1.269663130187837e-08
1877,3.3398006138440905e-08
1878,2.4760263173106978e-08
1879,1.7717043832021773e-08
1880,2.2462462112571302e-08
1881,2.8587281875047665e-08
1882,1.8635077481121698e-08
1883,2.5909288936531993e-08
1884,4.093052297093891e-08
1885,2.1915161241281567e-08
1886,5.0337018109303244e-08
1887,2.9380160526670807e-08
1888,3.106901047544852e-08
1889,3.5084767091575486e-08
1890,3.5393686204088226e-08
1891,2.932141285327816e-08
1892,2.193979398157353e-08
1893,1.1085149687062312e-08
1894,1.5753848003896564e-08
1895,1.6852119699706236e-08
1896,4.422771837653272e-08
1897,2.680288169187861e-08
1898,1.9238406423482957e-08
1899,2.7085134135518274e-08
1900,2.28406342728249e-08
1901,2.459045056468767e-08
