year,vos_DET artisans_NOUN,vos_DET partisans_NOUN
1800,6.288328968651058e-09,6.288328968651058e-08
1801,4.7623651688866175e-09,8.096020565062645e-08
1802,4.475680270843441e-09,5.594600338554301e-08
1803,3.900678446910888e-09,3.705644591178725e-08
1804,0.0,2.026917798048089e-07
1805,1.7057266266107263e-08,4.8328921309348516e-08
1806,1.152667650217154e-08,3.1698359492793315e-08
1807,1.1387820464392462e-08,4.839823830593559e-08
1808,2.2660739951163578e-09,7.251436784372345e-08
1809,1.1295152591017654e-08,4.9698672066611493e-08
1810,1.4040760554223652e-08,4.680253518074551e-08
1811,1.0028307073639553e-08,4.26203050629681e-08
1812,1.600324983641599e-08,1.8670457180292033e-08
1813,2.8757416448144113e-09,6.326631774022928e-08
1814,1.5733385705374303e-08,1.4789382873914292e-07
1815,2.1577788444915313e-08,1.591361922237411e-07
1816,2.3176038865813098e-09,9.270415368689555e-08
1817,0.0,6.07180652423267e-08
1818,9.536942124910297e-09,7.74876554032744e-08
1819,2.070210003424222e-09,7.970308768534551e-08
1820,1.1866481131050932e-09,1.3290458866777044e-07
1821,1.3806083387635226e-08,1.1439326375040082e-07
1822,9.023054303725075e-09,7.118187284049782e-08
1823,1.9765373782121287e-09,6.028438837013539e-08
1824,1.1789557774477544e-08,6.821101283804865e-08
1825,1.4969253392393966e-08,2.6416328235967512e-08
1826,1.7615968683770689e-09,8.367585024871005e-08
1827,2.7651818612639545e-09,5.2538457140371975e-08
1828,4.586150570418113e-09,1.0364700564480245e-07
1829,5.143905745796928e-09,4.800978425922864e-08
1830,6.262101281961918e-09,4.696576283436116e-08
1831,6.236482441579483e-09,7.327867024287116e-08
1832,5.411987746839486e-09,9.606278439378002e-08
1833,4.6334514003376626e-09,5.6759781430493206e-08
1834,3.733812370398937e-09,7.654315270499978e-08
1835,1.4369867074037757e-08,8.848812882433776e-08
1836,3.3603749782784575e-09,2.1506400216253496e-08
1837,5.566312633042969e-09,7.166627913335333e-08
1838,6.943378316748294e-09,5.617824117010173e-08
1839,4.894032845648155e-09,5.733009533770428e-08
1840,1.3376346030824493e-08,7.261444778805526e-08
1841,5.778493683550323e-09,7.76886395215115e-08
1842,1.341653010911159e-09,5.56785999528131e-08
1843,8.860366440543999e-09,5.3162201085754646e-08
1844,8.232842185762479e-09,3.512679214168202e-08
1845,1.1160456225844939e-08,2.7901140287056592e-08
1846,2.2832555846008518e-08,4.0981508853121795e-08
1847,2.1572894581822766e-09,6.148274867001646e-08
1848,9.654266053260585e-09,3.298540768303937e-08
1849,3.3517659758786067e-09,8.128032380483319e-08
1850,4.752297222410107e-09,1.2899092460827433e-08
1851,1.0319102239364497e-08,1.7413484210138108e-08
1852,4.557382027314816e-09,2.0182690407821724e-08
1853,1.1943863675867306e-08,5.1358613362140204e-08
1854,4.1565315633818045e-09,3.3252252507054436e-08
1855,5.306937111981824e-10,4.2986190607052777e-08
1856,5.694908100650764e-09,3.31340110903966e-08
1857,2.440754598431738e-09,3.17298100016572e-08
1858,3.914940760463281e-09,3.963877570622998e-08
1859,6.110608019582742e-09,3.1571474323754956e-08
1860,2.288591982591015e-09,3.661747305372387e-08
1861,3.3011746669586728e-09,2.8767378368321772e-08
1862,3.162590411776023e-09,4.3824467638176046e-08
1863,4.495158911765884e-09,4.994620850240494e-08
1864,5.753673759656408e-09,4.1234660574929194e-08
1865,5.177528850097701e-09,4.565639166731472e-08
1866,7.298419424373037e-09,2.578774882522339e-08
1867,5.82337378318698e-09,2.1837651686951176e-08
1868,0.0,3.2603169497491535e-08
1869,1.4650557433881772e-09,4.834683953180985e-08
1870,4.013834153937523e-09,5.734048613703635e-08
1871,1.0621177271019633e-09,2.0180236148803488e-08
1872,1.8142017887967654e-09,1.2155151885018256e-07
1873,5.986004469882289e-10,1.9753815250211915e-08
1874,5.974609140757536e-10,2.0313670745508716e-08
1875,2.2886108008712824e-09,3.1468399441791917e-08
1876,3.627608879952504e-09,3.1439278513900604e-08
1877,3.0924081073635534e-09,4.2056747417973384e-08
1878,3.019544281279707e-09,3.8046258366009056e-08
1879,4.27652757650776e-09,3.787781643893595e-08
1880,6.417846254436199e-10,4.87756308675813e-08
1881,2.7890030285249168e-09,5.368830713337047e-08
1882,1.9966155395678697e-09,3.7270154962243396e-08
1883,3.159669414998234e-09,5.497824773215143e-08
1884,7.2618666635548834e-09,2.178559999066465e-08
1885,6.445635691854079e-10,1.8692343672910283e-08
1886,0.0,2.0005738787798322e-08
1887,5.876032105334161e-09,2.2851235348397836e-08
1888,4.4384300679212174e-09,1.3949351895803375e-08
1889,5.012109394186837e-09,3.8217333020451605e-08
1890,3.277193239004106e-09,2.0318598359381213e-08
1891,2.5496880162734215e-09,2.4859458491732767e-08
1892,1.8805537127519756e-09,3.5103667528346705e-08
1893,1.2316833108982905e-09,1.1700991287000306e-08
1894,6.301539290376468e-10,2.7726773765834878e-08
1895,6.018614495673091e-10,1.2037228991346183e-08
1896,1.179405795248556e-09,1.533227589334274e-08
1897,0.0,1.9228155068162778e-08
1898,1.6975064687230201e-09,2.4896762096382474e-08
1899,2.2110313580014918e-09,2.266307141951529e-08
1900,3.633737311048435e-09,4.100932027295556e-08
1901,0.0,2.2913829056392387e-08
1902,3.4371988033576883e-09,1.3257766107166447e-08
1903,5.400220270956879e-10,1.1880484596105134e-08
1904,0.0,2.7948051872783708e-08
1905,1.1353670004154992e-08,3.251278291038773e-08
1906,5.144184522798412e-10,9.773950537805831e-09
1907,2.0571372938427146e-09,1.542852956504248e-08
1908,1.4734167219643268e-09,2.504808449543816e-08
