year,grandes_ADJ eaux_NOUN,grandes_ADJ peaux_NOUN
1800,3.7729972746092244e-07,3.772997558826319e-08
1801,3.833704056432907e-07,1.904946067554647e-08
1802,4.520437073551875e-07,3.3567602031325805e-08
1803,4.368759789485921e-07,4.095712213825209e-08
1804,7.316678534152743e-07,2.7190360185613827e-08
1805,7.590483619424049e-07,3.1271653710973624e-08
1806,7.809323392393708e-07,1.152667650217154e-08
1807,3.188589801084163e-07,8.540865792383556e-09
1808,4.056272473462741e-07,1.1330369531492579e-08
1809,8.85539975570282e-07,3.840351947559384e-08
1810,5.218482783675427e-07,5.3822915901946544e-08
1811,4.437525831235689e-07,2.2563691359778204e-08
1812,6.881397212055163e-07,8.00162425207418e-09
1813,1.4378707646756084e-07,1.4378708002027452e-08
1814,3.0522767247020965e-07,2.5173417128598885e-08
1815,2.6972236688571627e-07,0.0
1816,5.608601441053906e-07,6.257530316133852e-08
1817,2.3820163619348023e-07,2.6466848268569265e-08
1818,6.485120707111491e-07,1.5497530814201355e-08
1819,3.343389209931047e-07,1.5526575580793178e-08
1820,4.782191922458878e-07,3.9159386844289656e-08
1821,4.062933101067756e-07,8.875339574387908e-09
1822,1.3945631280876114e-06,2.4061478143266868e-08
1823,4.002488083187927e-07,1.8777104315859106e-08
1824,4.092660788046487e-07,1.7684335773537896e-08
1825,4.0328927752852906e-07,3.2580140141291736e-08
1826,3.9635929738324194e-07,2.290075862276808e-08
1827,3.594736597278825e-07,6.452091028119611e-09
1828,4.246775517913193e-07,1.2841221697090788e-08
1829,4.6037956735744956e-07,3.0863433808647756e-08
1830,4.769634074364149e-07,2.191735437584441e-08
1831,3.398882881811005e-07,0.0
1832,6.41320525573974e-07,2.841293600397421e-08
1833,6.069821552046051e-07,2.8959070919043484e-08
1834,5.6380565638392e-07,4.387229446400909e-08
1835,6.042907330083835e-07,4.386591001548368e-08
1836,6.599776725124684e-07,6.855164902397348e-08
1837,6.255144171518623e-07,7.166627891130872e-08
1838,6.779262062828195e-07,2.524864783914893e-08
1839,6.222413162504381e-07,2.726675263353684e-08
1840,6.554409424097685e-07,2.6115722917552375e-08
1841,6.542538812936982e-07,6.86998666843408e-08
1842,5.863023488927865e-07,6.305768884828922e-08
1843,6.556671130475422e-07,4.134837716662787e-08
1844,4.6543000498111553e-07,5.433675648314207e-08
1845,5.50768504581356e-07,5.468623420767926e-08
1846,6.598023105652828e-07,4.039605983052752e-08
1847,6.051196805856307e-07,9.599938177728973e-08
1848,6.613172445213422e-07,1.0539240541396211e-07
1849,6.150490321488178e-07,2.6814127362939644e-08
1850,5.417618922365364e-07,3.394498016007219e-08
1851,6.746112717337382e-07,8.448764776680662e-08
1852,5.781364507129183e-07,5.4037528229855525e-08
1853,5.679307113481968e-07,3.642878287912765e-08
1854,5.211251339898304e-07,2.182179015264296e-08
1855,4.961986057594459e-07,3.131092896069276e-08
1856,6.699282857347555e-07,4.038207551682049e-08
1857,6.033544972527949e-07,3.954022231855703e-08
1858,6.772847391811609e-07,2.5936483183386372e-08
1859,5.540284728766665e-07,5.0412515495423804e-08
1860,5.872527217842816e-07,4.943358467013326e-08
1861,5.960978007313322e-07,2.9710572058139206e-08
1862,5.44417332548619e-07,2.078273753092219e-08
1863,7.456969104424616e-07,2.1476869616066097e-08
1864,6.563982788421185e-07,1.582260189536555e-08
1865,5.935330591455568e-07,1.6473954644879996e-08
1866,6.2815064438837e-07,1.8489329178805747e-08
1867,5.847638000489042e-07,4.124889585455094e-08
1868,6.224241195784685e-07,1.4819621974027086e-08
1869,4.4684200650735306e-07,1.6115612622158437e-08
1870,4.828069108953059e-07,2.0069171213776826e-08
1871,4.4821367839453785e-07,2.7615060904651045e-08
1872,6.02314979891716e-07,1.2699412854644265e-08
1873,5.830368121628737e-07,2.3944018323618366e-08
1874,4.82150954272953e-07,2.5690818361567835e-08
1875,5.424007933907404e-07,6.865832347102696e-09
1876,4.6312472967713347e-07,1.934724735974669e-08
1877,5.31894196242888e-07,2.5357746458176678e-08
1878,5.652586834159479e-07,2.113681096815867e-08
1879,4.863022695644759e-07,1.2829582951567886e-08
1880,5.808150711494875e-07,5.070098563209058e-08
1881,6.888837527085911e-07,2.0917522214336515e-08
1882,4.132994066985418e-07,1.1979693237407218e-08
1883,5.750598286446973e-07,1.516641345844505e-08
1884,4.918264169262443e-07,1.7824582698722224e-08
1885,4.731096459043016e-07,1.740321664556177e-08
1886,3.6010328891000754e-07,7.744156427236248e-09
