year,vos_DET arts_NOUN,vos_DET parts_NOUN
1800,2.6096566330124915e-07,0.0
1801,6.90542969472574e-08,1.6668277424969347e-08
1802,1.0070280609397742e-07,0.0
1803,8.971560561121805e-08,0.0
1804,7.415552971679062e-08,0.0
1805,8.24434565060983e-08,0.0
1806,5.763338073450086e-08,2.881669125542885e-09
1807,4.839823830593559e-08,0.0
1808,1.4729481279118772e-07,0.0
1809,7.454800510231507e-08,0.0
1810,2.106114038724627e-08,0.0
1811,3.7606150637969904e-08,2.5070767684098882e-09
1812,2.6672082320544632e-09,0.0
1813,6.901780125190271e-08,0.0
1814,3.776012391654149e-08,0.0
1815,8.091670622434322e-08,2.697223555614414e-09
1816,2.7811246638975717e-08,2.3176038865813098e-09
1817,1.0586739129792022e-07,4.670620334934483e-09
1818,4.768470773797162e-08,1.1921177378582115e-09
1819,6.624672188593195e-08,1.035105001712111e-09
1820,1.1985146208814967e-07,3.5599443393152796e-09
1821,7.987805772380341e-08,1.0847637454958203e-08
1822,5.413832582235045e-08,1.0025615893027862e-09
1823,5.0401702367253165e-08,8.894418535021487e-09
1824,6.400045649002095e-08,1.8526447931321854e-08
1825,1.0742640288441407e-07,1.4088708866211164e-08
1826,7.927185663447744e-08,8.807984341885344e-10
1827,4.424290933613406e-08,2.7651818612639545e-09
1828,3.118582486694166e-08,3.668920500743411e-09
1829,1.971830476676928e-08,3.429270423183084e-09
1830,4.5922078140137046e-08,5.218417697960831e-09
1831,5.4569221807909685e-08,1.5591206548037917e-08
1832,5.547287351692631e-08,6.764984572527055e-09
1833,7.297686277496496e-08,2.4325620628928846e-08
1834,5.694063798244997e-08,2.8003592777992026e-09
1835,3.554651328840919e-08,0.0
1836,1.9490175695580092e-08,1.2769425516978572e-08
1837,3.5485244076483013e-08,4.87052354003481e-09
1838,2.3354998823776896e-08,1.2624323808552163e-09
1839,2.0974424863595686e-08,2.7965900706306e-09
1840,2.5478755105723394e-08,1.2739377330817092e-09
1841,2.8892468417751616e-08,1.4125206782011901e-08
1842,3.5553803456878086e-08,6.708265054555795e-10
1843,2.7171791094904307e-08,5.906910960362666e-09
1844,1.9758821467874554e-08,1.097712254427563e-09
1845,1.3392547515422848e-08,9.486387342327873e-09
1846,5.034871253251083e-08,4.0981509297211005e-09
1847,3.5055954583640414e-08,5.9325460100012606e-09
1848,1.3676876908785829e-08,8.045221711050488e-10
1849,4.524883934209356e-08,8.379414939696517e-10
1850,2.647708541303473e-08,6.1100964288129944e-09
1851,2.4507866847045534e-08,7.739326512989919e-09
1852,2.929745379631754e-08,3.906327261660181e-09
1853,2.388772823991303e-08,1.194386389791191e-08
1854,1.4028293915391288e-08,0.0
1855,3.343370380548549e-08,1.4859423913549108e-08
1856,3.675804194358534e-08,2.0708756931497874e-09
1857,2.440754554022817e-08,9.763018171682347e-10
1858,3.327699604760426e-08,2.4468380654951716e-09
1859,3.6154431004575827e-08,2.5460866748261424e-09
1860,2.0139608647440355e-08,4.577183909670879e-10
1861,2.5937799741360124e-08,5.187560159214399e-09
1862,3.298130135664934e-08,2.2589932147099034e-09
1863,2.547256655605068e-08,3.496234690647526e-09
1864,3.164520590015485e-08,4.794727948009836e-10
1865,3.718407193264994e-08,1.4120533631256649e-09
1866,1.751620670731313e-08,4.865612912574591e-10
1867,1.5043715606566366e-08,4.85281148598915e-10
1868,2.3217407663089773e-08,0.0
1869,2.6859355184427613e-08,2.9301114867763545e-09
1870,1.204150246181257e-08,5.734048791339319e-10
1871,6.37270636261178e-09,0.0
1872,1.2699412965666568e-08,3.628403577593531e-09
1873,2.1549615758509333e-08,1.2570609442263958e-08
1874,7.169530746864439e-09,1.7923826867161097e-09
1875,1.8308887461682133e-08,2.2886108563824337e-09
1876,1.6928841217733748e-08,7.255217759905008e-09
