year,aux_ADP yeux_NOUN,aux_ADP pieux_NOUN
1800,3.5525915563994204e-05,1.0690159513160324e-07
1801,3.640590210807204e-05,7.381665767525192e-08
1802,3.013923094385973e-05,4.4756802708434407e-08
1803,3.072759488986776e-05,6.826187615160961e-08
1804,3.60321719199419e-05,6.426812282356309e-08
1805,3.384161607300484e-05,4.548604315424143e-08
1806,3.091166399826761e-05,1.0950342499427279e-07
1807,2.8720083264488494e-05,5.124519342203371e-08
1808,3.115625190730498e-05,1.5182695278781466e-07
1809,3.07928455072215e-05,6.325285539787728e-08
1810,3.9059055211509985e-05,8.658469141664682e-08
1811,2.7114034764963435e-05,1.0028306984821711e-07
1812,2.7826983568957075e-05,1.2002436733382638e-07
1813,3.295887449894508e-05,2.2143210642866507e-07
1814,3.4383739489385334e-05,8.810695639738242e-08
1815,3.430598565046239e-05,1.6183340889597275e-08
1816,3.066421697894839e-05,3.476405829871965e-08
1817,3.429013736422348e-05,5.293369653713853e-08
1818,3.4840833279758954e-05,7.510341970551337e-08
1819,3.736832661616063e-05,4.968504185853817e-08
1820,3.428701131724665e-05,5.3399166866086034e-08
1821,3.6753767972186324e-05,9.861488159401688e-08
1822,3.3558745712980453e-05,8.120748873352568e-08
1823,3.2219534261912486e-05,5.435477845594505e-08
1824,3.3167395031341584e-05,5.726356722135506e-08
1825,3.443544648007446e-05,6.427973309186541e-08
1826,3.087462789608253e-05,5.460950447400137e-08
1827,2.995337223410388e-05,3.4103909640759156e-08
1828,3.177927248998458e-05,9.722639016107593e-08
1829,3.303587550362863e-05,1.2088178635849545e-07
1830,3.366296937201696e-05,1.3463517811729275e-07
1831,3.0487044341498404e-05,3.2741533706470705e-08
1832,3.404005167340074e-05,1.3394669473587584e-07
1833,3.230326478842471e-05,1.0656938254083315e-07
1834,3.1475105288336636e-05,4.947301257551828e-08
1835,3.2047827744463575e-05,1.096647750387092e-07
1836,3.0221868428270682e-05,1.3441500568145415e-07
1837,2.9352557874062768e-05,1.0158520935554805e-07
1838,2.8857941060778103e-05,9.026391500910336e-08
1839,3.083310468809941e-05,1.2095251866739432e-07
1840,3.2254192888103717e-05,1.3822224359527624e-07
1841,3.1049772587721236e-05,1.5730343427833304e-07
1842,3.257868797845731e-05,1.1605298411154763e-07
1843,3.359850995821034e-05,1.435379448633256e-07
1844,3.509111695620959e-05,1.6849883738290217e-07
1845,3.355725880282989e-05,9.98860789636069e-08
1846,3.277408450230723e-05,9.777017462297977e-08
1847,3.189930146163533e-05,1.121790482727647e-07
1848,2.969813203890226e-05,5.792559620854121e-08
1849,3.090998552579549e-05,1.1479798223135163e-07
1850,3.0018224606465083e-05,8.55413491152035e-08
1851,3.083154251726228e-05,1.173797867792814e-07
1852,3.1054000487529265e-05,1.484404377194437e-07
1853,3.189130984537769e-05,1.2541056615411605e-07
1854,3.408355723877321e-05,1.1066765459588623e-07
1855,3.365500174368208e-05,8.968723719249283e-08
1856,3.329295111598185e-05,1.4081955224121145e-07
1857,3.0984402314970794e-05,1.2935998766616663e-07
1858,3.1430612693839066e-05,8.466059175926688e-08
1859,3.4402213714201935e-05,1.4105320089718987e-07
1860,3.416867741634633e-05,1.3685779753913607e-07
1861,3.418696246626496e-05,1.490244487811765e-07
1862,3.222227701371594e-05,1.2469642118873026e-07
1863,3.261437313994975e-05,1.1637466867941981e-07
1864,3.349500900640123e-05,1.5103393147253286e-07
1865,3.231248490465077e-05,1.5673791264880776e-07
1866,3.251591886055394e-05,1.2261344883857106e-07
1867,2.998940465204214e-05,1.0336488642792574e-07
1868,2.976718781155796e-05,1.165810310510551e-07
1869,3.214967148323922e-05,1.367385404904553e-07
1870,2.900625997881434e-05,1.158277833646082e-07
1871,2.6847150365938433e-05,8.178306698525262e-08
1872,2.9111286039551487e-05,1.1913258168849694e-07
1873,2.6478492372916662e-05,1.1493128437845002e-07
1874,2.5575509198461077e-05,9.619120699966288e-08
1875,2.7142352791997837e-05,8.81115178597014e-08
1876,2.5868478019219765e-05,9.129482236858166e-08
1877,2.692497741918487e-05,9.95755383703667e-08
1878,2.6181865450780606e-05,1.02060600415399e-07
1879,2.7359391879144823e-05,8.430869202769031e-08
1880,2.5916546860571543e-05,7.701415594141281e-08
1881,2.607787621400348e-05,1.1644087649642643e-07
1882,2.627812250466377e-05,7.986461958431335e-08
1883,2.46334145685978e-05,9.099848413685052e-08
1884,2.525479249015916e-05,1.010059653694384e-07
1885,2.283366404753906e-05,8.508238835691628e-08
1886,2.4327623350473004e-05,9.357522667841067e-08
1887,2.3269739472198125e-05,7.573552812667472e-08
1888,2.353192382997804e-05,8.115986971368727e-08
1889,2.4507335410817177e-05,7.330210188838393e-08
1890,2.3258240844370448e-05,8.979509608098013e-08
1891,2.3143518092183513e-05,7.266610546619034e-08
1892,2.3080663027030823e-05,7.459529505204898e-08
1893,2.2561358377970464e-05,6.404753088995463e-08
