year,leurs_DET autos_NOUN,leurs_DET poteaux_NOUN
1800,0.0,0.0
1801,0.0,1.4287095950749062e-08
1802,0.0,6.713520406265161e-09
1803,0.0,0.0
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,2.881669125542885e-09
1807,0.0,2.8469551160981155e-09
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,1.1700633351097167e-08
1811,0.0,0.0
1812,3.467370746079723e-08,1.0668832928217853e-08
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,5.394447111228828e-09
1816,0.0,0.0
1817,9.341240669868967e-09,1.556873407970727e-09
1818,0.0,5.960588467246453e-09
1819,3.1053151161586356e-09,4.140420006848444e-09
1820,0.0,1.1866481131050932e-09
1821,8.875339574387908e-09,9.86148829262845e-10
1822,7.017931125119503e-09,1.0025615893027862e-09
1823,9.882686891060644e-10,1.9765373782121287e-09
1824,0.0,7.57900142644985e-09
1825,8.805443041381977e-10,3.169959583715354e-08
1826,7.0463874735082754e-09,5.284790383086602e-09
1827,9.217273055917019e-10,3.6869092223668076e-09
1828,0.0,3.66892045633449e-08
1829,6.001223074036943e-09,3.5150023336427694e-08
1830,0.0,4.174734336004349e-09
1831,0.0,1.5591206103948707e-09
1832,2.0294953273491956e-08,9.470978667991403e-09
1833,0.0,2.3167257001688313e-09
1834,0.0,5.600718555598405e-09
1835,0.0,1.2100940693926532e-08
1836,0.0,9.409049983588602e-09
1837,3.478945576063097e-09,1.043683617307778e-08
1838,6.312161904276081e-10,5.680945935893078e-09
1839,0.0,1.0487212875887053e-08
1840,0.0,5.732719632334238e-09
1841,0.0,1.5409316489467528e-08
1842,1.341653010911159e-09,3.3541325272778977e-09
1843,0.0,1.0632439872981791e-08
1844,0.0,1.3721403568922597e-08
1845,0.0,1.0044410470033682e-08
1846,1.1709002656346001e-09,5.269050973311096e-09
1847,0.0,2.480882788091776e-08
1848,0.0,1.045878850192139e-08
1849,0.0,0.0
1850,0.0,1.0862393651223101e-08
1851,0.0,1.3543821175687754e-08
1852,0.0,3.906327261660181e-09
1853,0.0,1.3735443005202796e-08
1854,0.0,7.27393034694046e-09
1855,5.306937111981824e-10,1.8574279891936385e-08
1856,0.0,9.836659486950339e-09
1857,0.0,1.0251168802710708e-08
1858,4.893676019968041e-10,9.297984604472731e-09
1859,0.0,1.1202780925145817e-08
1860,5.034902272882391e-09,6.865775947773045e-09
1861,1.4147891747029462e-09,9.903524222920623e-09
1862,0.0,8.132375661773494e-09
1863,0.0,8.490855130105501e-09
1864,9.589455896019672e-10,7.671564716815737e-09
1865,0.0,1.9298061815220535e-08
1866,4.865612912574591e-10,1.8489329178805747e-08
1867,0.0,1.1161466417775046e-08
1868,3.951899252285784e-09,1.531360993567432e-08
1869,4.883519144627257e-10,2.6859355628516823e-08
1870,1.0321287824410774e-08,3.4404292748035914e-09
1871,0.0,1.4869648623516696e-08
1872,0.0,1.3304146229131675e-08
1873,5.986004469882289e-10,1.1373408881354408e-08
1874,0.0,6.572069999322139e-09
1875,0.0,2.1741803024610817e-08
1876,1.209202959984168e-09,4.836811839936672e-09
1877,1.8554447978047506e-09,9.27722432209066e-09
1878,0.0,1.4493812372506909e-08
1879,5.498392852132383e-09,1.832797580370027e-09
1880,5.134277003548959e-09,1.7969970400599777e-08
1881,0.0,5.5780060570498335e-09
1882,0.0,8.652000893505374e-09
1883,0.0,8.21514056781325e-09
1884,0.0,3.9610181801208455e-09
