year,ses_DET artisans_NOUN,ses_DET partisans_NOUN
1800,4.4018303668735825e-08,3.166173712543241e-06
1801,5.0004833385131064e-08,4.140876569636021e-06
1802,5.594600338554301e-08,3.638728031774008e-06
1803,5.265916058760922e-08,3.832416538784855e-06
1804,1.9774807569206132e-08,2.9340870497662763e-06
1805,8.528632911009026e-09,4.6111478013699525e-06
1806,4.034336598124355e-08,3.8038033522980186e-06
1807,3.9857372513552036e-08,4.421321136760525e-06
1808,2.945896149242344e-08,4.767819859807787e-06
1809,1.3554183553310395e-08,6.234924001091713e-06
1810,2.106114038724627e-08,4.457941514601771e-06
1811,2.2563691359778204e-08,4.312172080744858e-06
1812,5.3344166417446104e-08,3.6194015535784274e-06
1813,1.7254450312975678e-08,4.914642488529353e-06
1814,1.5733386149463513e-08,5.132230512572278e-06
1815,5.1247248222807684e-08,7.255531187411179e-06
1816,3.244645441213834e-08,4.5726323207873065e-06
1817,2.0239355080775567e-08,4.830977971437278e-06
1818,3.814776872168579e-08,6.102450754497113e-06
1819,4.34744116262209e-08,6.738533585348705e-06
1820,3.44127952800477e-08,6.416206417725334e-06
1821,2.7612166775270452e-08,6.418842588118423e-06
1822,1.804610860745015e-08,5.24941263790879e-06
1823,4.348382276475604e-08,4.99866312964059e-06
1824,1.3473780313688621e-08,6.210570575149177e-06
1825,1.584979791857677e-08,6.250984199596132e-06
1826,2.2019960965735663e-08,7.378448401595961e-06
1827,4.608636583469661e-09,4.9644231552292695e-06
1828,1.4675682002973645e-08,5.093378746323651e-06
1829,1.1145129263923081e-08,4.525779786490602e-06
1830,1.6698937344017395e-08,4.699707233157824e-06
1831,4.677361609140007e-09,4.0100581486512965e-06
1832,2.570694235259907e-08,3.869571230552538e-06
1833,3.243415847009601e-08,4.372819617515233e-06
1834,1.8669062740173104e-08,4.600990322956022e-06
1835,2.7227116561334697e-08,4.8343258072236495e-06
1836,1.4785650037651976e-08,5.945175587385165e-06
1837,3.6181031504156635e-08,5.5941442838047806e-06
1838,2.1461350030449466e-08,5.681577050609121e-06
1839,2.2372720676067104e-08,5.619048380367531e-06
1840,2.165694112932215e-08,6.08050476103017e-06
1841,2.439808488574613e-08,4.521350206232455e-06
1842,5.1653640031901205e-08,5.237142516989479e-06
1843,2.1855571574747046e-08,5.104161857616418e-06
1844,2.5796238145581185e-08,7.1301899140507885e-06
1845,3.069125203980505e-08,4.95970677150126e-06
1846,2.2832555401919308e-08,4.74975712450032e-06
1847,1.7258315665458213e-08,5.067473011877155e-06
1848,1.850401026848303e-08,4.114326500825882e-06
1849,1.005529748354661e-08,3.7715745833111214e-06
1850,1.5614691761811628e-08,4.082902393065524e-06
1851,3.031236195383258e-08,3.959310362233737e-06
1852,1.5625309046640723e-08,4.242271501198047e-06
1853,7.166318205520383e-09,3.997611116801636e-06
1854,2.0782657372819813e-08,4.549323847413689e-06
1855,2.0697054736729115e-08,4.255632859440084e-06
1856,2.070875682047557e-08,4.03768974877039e-06
1857,1.0739319655783675e-08,3.544951979961297e-06
1858,2.7893952869728622e-08,4.09992155425698e-06
1859,4.786642904264227e-08,3.988190087511612e-06
1860,2.471679313997832e-08,4.178969092549778e-06
1861,2.0278644541349422e-08,4.2552141792384646e-06
1862,2.2589931703009825e-08,4.1457040538261936e-06
1863,1.6981710260211003e-08,3.711003301987148e-06
1864,1.1986819536957682e-08,3.6233760170034657e-06
1865,1.7415323905201063e-08,4.126961329120604e-06
1866,1.751620626322392e-08,4.294389867709469e-06
1867,2.426405742994575e-08,3.2348841614293633e-06
1868,1.877152122631287e-08,3.4939729687266663e-06
1869,1.4162205630441349e-08,3.7036608233620427e-06
1870,2.9243648391741317e-08,3.9117679904165925e-06
1871,1.0621176826930423e-08,2.966494719203183e-06
1872,2.4189356739867662e-08,3.416142064338601e-06
1873,1.0774807712721213e-08,3.3042744718159156e-06
1874,2.2703515512034755e-08,3.1964159177277907e-06
1875,2.6319025181464895e-08,3.1989058442150053e-06
1876,3.325308095547541e-08,2.7533550337466295e-06
1877,2.4120781816350245e-08,2.9495386968392268e-06
1878,4.891661914419032e-08,3.251445335195058e-06
1879,3.9710613464194466e-08,2.991125739981726e-06
1880,4.55667077403632e-08,3.4149359464663576e-06
1881,2.4403776777148778e-08,3.0686006056157566e-06
1882,6.189508083842554e-08,3.291753401413189e-06
1883,1.7062214752172622e-08,2.954291019818811e-06
1884,2.9047467542397953e-08,3.307450171519122e-06
1885,4.5764011691318274e-08,3.2556905864566943e-06
1886,5.485444276587259e-08,3.5416609307503677e-06
1887,4.439668632727489e-08,2.838776389069153e-06
1888,2.2192152115962926e-08,3.441685748839518e-06
1889,3.759081879106674e-08,3.497825801446197e-06
1890,3.8015441017336116e-08,2.9232562894776493e-06
1891,3.633305456496316e-08,2.9850471747749907e-06
1892,4.4506439422775657e-08,2.7418472541285155e-06
1893,2.894455708446486e-08,3.0397943788784687e-06
1894,2.520615716150587e-08,2.9024891077256143e-06
1895,2.6481904447095417e-08,3.011714596823367e-06
1896,3.066455178668548e-08,2.9461555755005975e-06
1897,2.7968224403096542e-08,2.961135791679226e-06
1898,1.8672571266975524e-08,3.062867449443729e-06
1899,2.5979618456517528e-08,2.799165585543051e-06
1900,6.644548244949533e-08,2.674949698189266e-06
1901,3.8562298354527513e-08,3.162108413334863e-06
1902,2.8479646030366013e-08,2.406039129709825e-06
1903,3.888158683906795e-08,2.7136107121350506e-06
1904,4.407192566446838e-08,2.709348592588867e-06
1905,6.141303288131894e-08,2.764618642459027e-06
1906,7.098974919017564e-08,2.8046093234479486e-06
1907,5.6056993713582415e-08,2.907249367467557e-06
1908,7.317969585862727e-08,2.9311170237633632e-06
1909,6.931239171503734e-08,3.0062874714076315e-06
