year,avions_VERB eu_VERB,avions_VERB pu_VERB
1800,8.740777275306755e-07,1.2576657582030748e-07
1801,6.905429472681135e-07,1.6430159632818686e-07
1802,5.706492629542481e-07,9.175144555229053e-08
1803,3.5106106111015833e-07,9.55666195068261e-08
1804,4.6470796633002465e-07,1.1123329102247226e-07
1805,4.065315124535118e-07,1.847870549909203e-07
1806,5.129371061229904e-07,1.6425514104412287e-07
1807,8.085352760645037e-07,2.0782772480743006e-07
1808,4.282879899619729e-07,8.384473915157287e-08
1809,3.411136049180641e-07,9.262025457701384e-08
1810,7.230991627693584e-07,1.591286178381779e-07
1811,3.334412213007454e-07,1.0780430415024966e-07
1812,3.4673706750254496e-07,8.801787032552966e-08
1813,6.642962944169994e-07,6.039057609541487e-08
1814,6.041619826646638e-07,2.3285410577500443e-07
1815,4.531335662250058e-07,3.209696046724275e-07
1816,7.416332437060191e-07,1.6454987417091615e-07
1817,5.417919624051137e-07,1.323342360137758e-07
1818,5.507583864527987e-07,2.3723143272036396e-07
1819,3.7988354506524047e-07,1.790731687378866e-07
1820,6.372300163093314e-07,1.6731738128328288e-07
1821,5.404095304584189e-07,1.922990264802138e-07
1822,4.962680009157339e-07,1.5038423839541792e-07
1823,6.670813377240847e-07,2.2433698632084997e-07
1824,6.374782515194966e-07,2.408438319889683e-07
1825,7.167630542426195e-07,1.831532188134588e-07
1826,4.765119570038223e-07,2.1227242541499436e-07
1827,5.880619937670417e-07,2.820485462962097e-07
1828,4.586150623708818e-07,2.1921799486790405e-07
1829,5.315368980518542e-07,2.0918550092119403e-07
1830,5.604580906037882e-07,2.2752301731543412e-07
1831,5.659607609231898e-07,2.3230897738812928e-07
1832,6.169665880406683e-07,2.232444984429094e-07
1833,9.151066251433804e-07,2.5599820219213143e-07
1834,7.056905246827228e-07,2.800359197863145e-07
1835,7.033671636236249e-07,2.427751155664737e-07
1836,4.334883669798728e-07,1.928855226651649e-07
1837,5.879417699361511e-07,2.692703731099755e-07
1838,4.797242922904843e-07,2.0703890868389863e-07
1839,5.495299433277978e-07,2.188331791330711e-07
1840,4.560696993394231e-07,1.4713981499880902e-07
1841,6.542538812936982e-07,2.2664536913907796e-07
1842,5.70202530525421e-07,2.9046788085906883e-07
1843,4.979526124770928e-07,2.492716362212377e-07
1844,4.956170869263588e-07,2.2283558109847945e-07
1845,4.386059231364925e-07,2.2320911341466854e-07
1846,5.456395228975452e-07,2.224710442533251e-07
1847,4.713677412837569e-07,2.119536901545871e-07
1848,5.736243338105851e-07,2.413566448922211e-07
1849,7.223055717986426e-07,2.9411745572360815e-07
1850,7.114867912605405e-07,2.41009360024691e-07
1851,5.604562147709657e-07,2.302449644275839e-07
1852,4.0495592656952795e-07,2.298222483432255e-07
1853,5.111973564453365e-07,2.137951611302924e-07
1854,5.793165769318875e-07,2.3328533416133723e-07
1855,4.70194635227017e-07,2.1015470963448024e-07
1856,4.56110370805618e-07,2.1537107386393473e-07
1857,5.696721245840308e-07,2.543266361954011e-07
1858,5.72560111322673e-07,2.490881172434456e-07
1859,6.181898584145529e-07,2.66829886186315e-07
1860,6.124271862972819e-07,2.5540686010572244e-07
1861,5.960978342045564e-07,3.584132457490341e-07
1862,5.792058459519467e-07,2.4894103489714325e-07
1863,5.598969892162131e-07,2.786998436477006e-07
1864,5.015285182707885e-07,2.93437352638648e-07
1865,5.507008040694927e-07,3.177119936026429e-07
1866,5.37163657554629e-07,2.7879963226951077e-07
1867,5.216772365201905e-07,2.465228305936762e-07
1868,5.532659201890056e-07,2.795968612190336e-07
1869,5.938359208812471e-07,2.773838900793635e-07
1870,6.433602948163752e-07,3.22826934961995e-07
1871,1.3403926004684763e-06,5.523012305275188e-07
1872,1.041956579683756e-06,5.327705707713903e-07
1873,7.278981684066821e-07,3.052862211916363e-07
1874,6.77520688441291e-07,4.2180741388619936e-07
1875,7.352162469942414e-07,3.4672453352868615e-07
1876,6.052060825822991e-07,3.966185602166661e-07
1877,5.87557508424652e-07,2.93778754212326e-07
1878,5.084912686470489e-07,2.578690896370972e-07
1879,6.060450914446847e-07,2.7919617195948376e-07
1880,6.109789865149651e-07,2.483706396105845e-07
1881,5.78718129418121e-07,3.660566392227338e-07
1882,5.537280571843439e-07,3.088098594616895e-07
1883,6.136078241070209e-07,3.342930199323746e-07
1884,6.337629088193353e-07,3.4196790466012317e-07
1885,5.839746108904365e-07,3.3968498769354483e-07
1886,6.524451805489662e-07,3.336440954626596e-07
1887,5.732395607083163e-07,3.238346550915594e-07
1888,5.960177986708004e-07,3.436613269514055e-07
1889,6.290197234193329e-07,2.8506372018455295e-07
1890,5.892393346584868e-07,2.7397334179113386e-07
1891,5.85153372867353e-07,2.683546540538373e-07
1892,5.804642455586873e-07,3.3411171784791804e-07
1893,6.792733415750263e-07,3.2947528438853624e-07
1894,5.784813197351468e-07,3.3650221098469046e-07
1895,6.548252713400871e-07,3.906080792148714e-07
1896,6.091630666560377e-07,3.7917897088846075e-07
1897,6.26371729595121e-07,3.7116166140549467e-07
1898,5.912980896027875e-07,3.5421302868599014e-07
1899,5.422554636425048e-07,3.0291130315163173e-07
1900,5.227390715845104e-07,2.64224610191377e-07
1901,5.583150368693168e-07,3.4482519595258054e-07
1902,4.7580650175405026e-07,2.3618464695118746e-07
1903,5.3030163371659e-07,2.5975060680138995e-07
1904,4.971528255737212e-07,3.181777969984978e-07
1905,5.042061843596457e-07,3.674460344882391e-07
1906,5.411682195699541e-07,3.168817670484714e-07
1907,5.281700055093097e-07,3.090848963438475e-07
1908,4.6019715682632523e-07,3.1629346608497144e-07
1909,5.038900781073608e-07,3.4931244385916216e-07
1910,4.7402616587532975e-07,3.4202565757368575e-07
1911,5.09691858496808e-07,2.87300196077922e-07
1912,5.110442202749255e-07,3.1204433525999775e-07
1913,4.931780495098792e-07,3.404519475225243e-07
1914,5.277033778838813e-07,3.9108982718971674e-07
1915,9.082967267204367e-07,5.053946665611875e-07
1916,8.086772140813991e-07,4.55979687785657e-07
1917,8.466079748359334e-07,3.9369464843730384e-07
1918,8.201272407859506e-07,5.065492132416693e-07
1919,7.053212129903841e-07,4.769665338244522e-07
1920,6.201657924975734e-07,4.369177588614548e-07
1921,5.270632073006709e-07,4.2786024323504535e-07
1922,5.031752152717672e-07,3.3938502497221634e-07
1923,5.382285621635674e-07,3.5669586395670194e-07
1924,4.873033958574524e-07,3.635438190485729e-07
1925,4.564243738514051e-07,3.167475313148316e-07
1926,5.0046162414219e-07,3.5444719514998724e-07
1927,5.017151352149085e-07,3.456259776157822e-07
1928,4.718955040061701e-07,3.599203068915813e-07
1929,5.703888064090279e-07,3.720895733749785e-07
1930,5.1572692427726e-07,3.4031674545076385e-07
1931,5.63424634947296e-07,3.7181462175794877e-07
1932,5.523606319002283e-07,3.4741731269605225e-07
1933,4.852090000895259e-07,3.831201240700466e-07
1934,4.804613809028524e-07,4.025810937946517e-07
1935,4.954869723405864e-07,3.566548798517033e-07
1936,4.328523175445298e-07,3.734411961886508e-07
1937,4.923127221445611e-07,3.3996019510595943e-07
1938,4.460033835584909e-07,3.500607874684647e-07
