year,âges_NOUN heureux_ADJ
1800,3.144164484325529e-09
1801,0.0
1802,2.2378401354217203e-09
1803,9.751696339321825e-09
1804,4.943701892301533e-09
1805,2.842877711017877e-09
1806,0.0
1807,1.7081731584767113e-08
1808,2.2660739951163578e-09
1809,0.0
1810,4.680253518074551e-09
1811,0.0
1812,1.0668832928217853e-08
1813,8.627225156487839e-09
1814,1.2586708564299443e-08
1815,2.697223555614414e-09
1816,0.0
1817,1.2454987263765815e-08
1818,4.768470951432846e-09
1819,7.24573512300708e-09
1820,7.119888678630559e-09
1821,2.9584463767662328e-09
1822,4.010246357211145e-09
1823,1.9765373782121287e-09
1824,4.210556348027694e-09
1825,6.163809906922779e-09
1826,1.7615968683770689e-09
1827,1.8434546111834038e-09
1828,0.0
1829,4.286587973467704e-09
1830,1.1480519646056564e-08
1831,0.0
1832,2.705993873419743e-09
1833,0.0
1834,1.8669061851994684e-09
1835,9.075705520444899e-09
1836,3.36037508930076e-09
1837,3.478945576063097e-09
1838,6.943378316748294e-09
1839,0.0
1840,1.2739377330817092e-09
1841,1.2841097074556274e-08
1842,6.708265054555795e-10
1843,2.3627644285539873e-09
1844,5.488561272137815e-10
1845,2.7901139176833567e-09
1846,1.7563503984519002e-09
1847,1.0786447290911383e-09
1848,1.287235473768078e-08
1849,7.54147322368226e-09
1850,0.0
1851,9.029214709244116e-09
1852,8.463708844885787e-09
1853,2.9859659189668264e-09
1854,2.5978321716024766e-09
1855,3.714855978387277e-09
1856,5.177189343896771e-09
1857,3.4170564155999728e-09
1858,2.936205500958522e-09
1859,5.601390462572908e-09
1860,9.154367819341758e-10
1861,1.4147891747029462e-09
1862,4.517986262886353e-10
1863,9.989241656072068e-10
1864,1.9178911792039344e-09
1865,1.4120533631256649e-09
1866,1.0217787504984699e-08
1867,2.426405742994575e-09
1868,7.409810987013543e-09
1869,5.371870948067681e-09
1870,8.601073631098188e-09
1871,7.434824311758348e-09
1872,1.2094678591978436e-09
1873,6.584604861359367e-09
1874,4.182226565063729e-09
1875,1.1443054281912168e-09
1876,3.02300739996042e-09
1877,1.8554447978047506e-09
1878,7.850815109122777e-09
1879,6.10932526790009e-10
1880,1.0268554007097919e-08
1881,3.4862537301449947e-09
1882,5.989846840748214e-09
1883,6.319338829996468e-09
1884,3.9610181801208455e-09
1885,1.2891271383708158e-09
1886,4.5174246565693466e-09
1887,6.528924512139156e-09
1888,6.340614699951175e-10
1889,8.771191772893872e-09
1890,1.9663159989136147e-09
1891,1.6572972327821844e-08
1892,1.4417578242387208e-08
1893,1.847525021858587e-09
1894,6.9316934414587195e-09
1895,7.824199066419624e-09
1896,5.307326134129653e-09
1897,2.9133566670225264e-09
1898,6.224190496340043e-09
1899,8.844125432005967e-09
1900,8.824790675987515e-09
1901,5.029864968975062e-09
1902,8.347482705062248e-09
1903,5.400220270956879e-10
1904,1.6123875568041512e-09
1905,4.64468330463319e-09
1906,6.173021205313489e-09
1907,1.5428529565042481e-09
1908,6.875944702500192e-09
1909,2.7504918342913243e-09
1910,2.67207544979442e-09
1911,9.576673676292558e-09
1912,7.814131564032323e-09
1913,4.772690687104841e-09
1914,3.3483718020477227e-09
1915,1.1780761921542648e-09
1916,0.0
1917,7.676496771580332e-09
1918,2.2972752589112133e-09
1919,5.524709134618888e-09
1920,5.300562211374427e-09
1921,4.543648568500203e-09
1922,0.0
1923,7.431163684401554e-09
1924,3.867487219366694e-09
