year,aurions_VERB été_VERB,aurions_VERB eté_VERB
1800,4.62192190298083e-07,0.0
1801,4.667117821099964e-07,0.0
1802,4.207139454592834e-07,0.0
1803,2.515937467251206e-07,0.0
1804,3.707776556893805e-07,0.0
1805,3.5251684948889306e-07,0.0
1806,3.0257524485932663e-07,0.0
1807,2.4768510797912313e-07,0.0
1808,3.036539055756293e-07,0.0
1809,3.7048101830805535e-07,0.0
1810,5.873718009752338e-07,0.0
1811,3.08370431412186e-07,2.5070767684098882e-09
1812,2.9339290108509886e-07,0.0
1813,4.3711273178814736e-07,0.0
1814,4.782949076798104e-07,0.0
1815,3.7221684578980785e-07,2.697223555614414e-09
1816,4.009454812603508e-07,0.0
1817,4.0011647683968476e-07,0.0
1818,3.8624614262516843e-07,0.0
1819,3.498655019029684e-07,0.0
1820,4.912723170491518e-07,0.0
1821,5.14769681103644e-07,0.0
1822,4.862423566009966e-07,1.0025615893027862e-09
1823,5.05993568822305e-07,0.0
1824,4.311609700380359e-07,0.0
1825,3.1611540407538996e-07,0.0
1826,3.1884903251011565e-07,0.0
1827,3.032482709386386e-07,0.0
1828,4.7695965577077e-07,0.0
1829,4.6209419224396697e-07,0.0
1830,5.354096970222599e-07,0.0
1831,4.895638880952902e-07,0.0
1832,4.0725208805270086e-07,0.0
1833,5.34005266672466e-07,0.0
1834,4.032517324503715e-07,0.0
1835,5.392481625676737e-07,0.0
1836,4.7179665330077114e-07,0.0
1837,3.5137350096192677e-07,0.0
1838,3.7683605569327483e-07,0.0
1839,4.467552514597628e-07,0.0
1840,3.923728115751146e-07,0.0
1841,3.833067410141666e-07,0.0
1842,3.6425879557100416e-07,0.0
1843,4.394741779378819e-07,0.0
1844,3.627939122452517e-07,0.0
1845,4.4083799366489984e-07,0.0
1846,4.1274233808508143e-07,0.0
1847,3.289866299382993e-07,0.0
1848,4.2076510453625815e-07,0.0
1849,4.206466428513522e-07,0.0
1850,3.754314832349337e-07,0.0
1851,3.018337224602874e-07,0.0
1852,3.6263739389141847e-07,0.0
1853,3.6189908314554486e-07,0.0
1854,3.82920461561298e-07,0.0
1855,2.8710530841635773e-07,0.0
1856,3.567083410871419e-07,0.0
1857,4.237149937580398e-07,0.0
1858,4.032389142594184e-07,0.0
1859,3.76311618310865e-07,0.0
1860,3.858565946757153e-07,0.0
1861,4.1877757439579e-07,0.0
1862,4.798101258529641e-07,4.517986262886353e-10
1863,4.5900566192358383e-07,0.0
1864,4.809112397197168e-07,0.0
1865,4.4573815216608637e-07,4.706844358715045e-10
1866,4.160098967531667e-07,0.0
1867,3.4794658176906523e-07,0.0
1868,3.6456270890994347e-07,0.0
1869,4.5270223836268997e-07,0.0
1870,3.864748805426643e-07,0.0
1871,6.9568710614476e-07,4.248470908407853e-09
1872,4.922534344586893e-07,0.0
1873,4.998314011572802e-07,0.0
1874,5.598208758783585e-07,0.0
1875,4.439905012532108e-07,0.0
1876,4.5224192035675514e-07,0.0
1877,3.9706517895865545e-07,0.0
1878,3.8167041793712997e-07,0.0
1879,4.6675245357619133e-07,0.0
1880,3.799364947099093e-07,0.0
1881,3.4513911373323936e-07,0.0
1882,3.9333326640189625e-07,0.0
1883,3.8863933582433674e-07,0.0
1884,4.350518167939299e-07,0.0
1885,3.886718218382157e-07,1.2891271383708158e-09
1886,3.278359770320094e-07,0.0
1887,3.5647929053084226e-07,0.0
1888,4.007268614714121e-07,0.0
1889,3.6463094943428587e-07,0.0
1890,3.683565239498421e-07,0.0
1891,4.3280954287183704e-07,0.0
1892,4.0933386458164023e-07,0.0
1893,3.8059013718338974e-07,8.621783287310336e-09
1894,3.686400589231198e-07,0.0
1895,4.2250673004673445e-07,0.0
1896,4.1927876281988574e-07,5.89702897624278e-10
1897,3.4843748153434717e-07,1.1653427112179315e-09
1898,3.9325567513515125e-07,0.0
1899,3.753225712443964e-07,0.0
1900,3.8725255535609904e-07,5.191053142894475e-10
1901,3.2917671433096984e-07,0.0
1902,3.3684545996948145e-07,0.0
1903,3.55334492496695e-07,0.0
1904,3.278521489846753e-07,0.0
1905,3.3544932875884115e-07,0.0
1906,3.451747829785745e-07,1.0288369045596824e-09
1907,3.270848480951827e-07,0.0
1908,3.821060658992792e-07,4.911389073214423e-10
1909,4.04872395165512e-07,0.0
1910,3.746249603864271e-07,0.0
1911,2.750633427694993e-07,0.0
1912,2.974579444980918e-07,1.5628263128064646e-09
1913,3.2030058605414524e-07,0.0
1914,3.743479624063184e-07,0.0
1915,5.36024685970915e-07,0.0
1916,5.559655846809619e-07,0.0
1917,5.505145281858859e-07,0.0
1918,4.2269863342880853e-07,0.0
1919,4.3184809328522533e-07,0.0
1920,4.28588322165524e-07,0.0
1921,3.3622998785176605e-07,0.0
1922,3.069221179430315e-07,0.0
1923,3.057393200833758e-07,0.0
1924,2.93929048211794e-07,0.0
1925,3.046495180569764e-07,0.0
1926,3.2546725492466066e-07,0.0
1927,3.099484615631809e-07,0.0
1928,3.0850310395180713e-07,0.0
1929,3.2418583373328147e-07,0.0
1930,2.8779874128304073e-07,0.0
1931,3.0452301302830165e-07,0.0
