year,les_DET heures_NOUN,les_DET peurs_NOUN
1800,5.1501412201560015e-06,6.288328968651058e-09
1801,5.2433641855031965e-06,1.6668277424969347e-08
1802,7.490050990099917e-06,2.0140561218795483e-08
1803,5.041627026969309e-06,5.851017448321727e-09
1804,6.172211939770023e-06,2.4718509461507665e-09
1805,6.117873017075226e-06,3.41145314219915e-08
1806,6.04286017846789e-06,5.4751712497136396e-08
1807,5.118825498584556e-06,8.540865792383556e-09
1808,5.384191780422043e-06,9.064295980465431e-09
1809,6.0135394477356385e-06,1.8072244145628247e-08
1810,6.7606260074626334e-06,7.020380277111826e-09
1811,4.989082860618055e-06,7.521229861140455e-09
1812,5.577132249356964e-06,2.400487453257938e-08
1813,5.167707683995104e-06,2.013019195779009e-08
1814,6.183220641275966e-06,1.2586708564299443e-08
1815,4.6715912409567295e-06,5.394447111228828e-09
1816,5.091775763688133e-06,0.0
1817,5.6545644300243225e-06,1.556873407970727e-09
1818,5.135643203146856e-06,1.4305412854298538e-08
1819,5.5709349355836935e-06,2.587762470973587e-08
1820,5.208198512463014e-06,2.0173018810965004e-08
1821,5.0145666570244884e-06,6.903041582795311e-09
1822,4.783221143611627e-06,5.1130641054442094e-08
1823,5.33368610788898e-06,4.941343445530322e-09
1824,5.114983927967387e-06,2.5263338088166165e-09
1825,5.429436296111589e-06,1.7610886082763955e-09
1826,5.362300903755113e-06,1.76159691278599e-08
1827,5.213289428596113e-06,1.751281847317543e-08
1828,4.772348323633935e-06,3.8523666034961934e-08
1829,4.902999499734051e-06,5.229637523029851e-08
1830,6.070063641061552e-06,8.349468672008697e-09
1831,5.42418045768045e-06,2.6505050598757407e-08
1832,6.09119202721331e-06,5.5472872739770196e-08
1833,6.690703763467809e-06,5.907650602043901e-08
1834,6.1253192100707565e-06,8.401077833397608e-09
1835,7.16375685527737e-06,2.4958190181223472e-08
1836,5.873935373656991e-06,4.8389401818837996e-08
1837,6.097895472123582e-06,3.2006298833486824e-08
1838,6.224422747891367e-06,3.597932307641827e-08
1839,6.165083050291287e-06,3.845311458139378e-08
1840,6.0435606989983626e-06,3.3759350426265655e-08
1841,6.27223388960374e-06,2.439808488574613e-08
1842,6.101837698224699e-06,3.5553806565502555e-08
1843,6.986694494059975e-06,5.493427179814603e-08
1844,6.675188458871162e-06,6.25695986133934e-08
1845,6.876515069365041e-06,2.5669049108500985e-08
1846,6.685255044658334e-06,2.810160659727501e-08
1847,6.348363658759126e-06,3.020205152637345e-08
1848,7.173119708880904e-06,3.781254320767147e-08
1849,8.210988589496537e-06,5.865590324560799e-08
1850,6.918665839350524e-06,1.1609183481198215e-07
1851,6.4391195166990656e-06,3.3537082666512674e-08
1852,7.386864815828176e-06,5.8594909146947316e-08
1853,7.470289396849239e-06,3.344281940265148e-08
1854,7.495785226296903e-06,3.377181895247716e-08
1855,7.290139492965864e-06,3.714855978387277e-08
1856,6.76813934319398e-06,3.831119865793653e-08
1857,7.710831667395723e-06,3.3194262005764585e-08
1858,6.957339408586449e-06,5.627727261980908e-08
1859,7.661684136905933e-06,2.3933214965410343e-08
1860,7.932717643654996e-06,4.394096464466202e-08
1861,7.15883297530695e-06,2.0278644541349422e-08
1862,7.215223874368348e-06,7.183598429993943e-08
1863,7.513907753775584e-06,4.2953740675422125e-08
1864,7.314357304721852e-06,5.897515364949868e-08
1865,7.418457268926204e-06,3.9066808454890634e-08
1866,6.775365889666318e-06,4.622332205883595e-08
1867,7.470903426565201e-06,4.0278337110066786e-08
1868,6.9780660716389775e-06,4.100095551962113e-08
1869,7.115287253611768e-06,6.202069613436834e-08
1870,6.620532566614656e-06,3.4404294524392753e-08
1871,7.398712003947594e-06,2.5490826116580934e-08
1872,7.273739637270182e-06,7.438227145328824e-08
1873,7.0491186647814175e-06,4.968383748860106e-08
1874,7.238238847406819e-06,6.751308490038355e-08
1875,6.710779302920855e-06,3.94785359958405e-08
1876,6.504302810128593e-06,6.711076494525514e-08
1877,7.648762025525002e-06,2.9687117431009824e-08
1878,7.24509447991295e-06,3.683844229662725e-08
1879,6.827170832224283e-06,3.909968249171669e-08
