year,ses_DET heureux_ADJ
1800,4.0559720559940615e-07
1801,4.595682483454766e-07
1802,5.460330214646092e-07
1803,5.343929450063456e-07
1804,4.89426515315472e-07
1805,6.453332375144782e-07
1806,3.8902533106011106e-07
1807,4.782884559517697e-07
1808,4.849398229644919e-07
1809,3.0948718121592833e-07
1810,4.6100498396484113e-07
1811,4.437526008871373e-07
1812,3.3340104010903815e-07
1813,4.6011865073580793e-07
1814,4.751482509668392e-07
1815,4.234640869071882e-07
1816,3.2909975544725967e-07
1817,4.857444935169042e-07
1818,4.2916239006984824e-07
1819,5.465354249167831e-07
1820,5.458581249229155e-07
1821,4.003764253468489e-07
1822,3.559093642024891e-07
1823,4.6250974250483523e-07
1824,4.749507471757397e-07
1825,4.5964413253329894e-07
1826,3.857897006298572e-07
1827,3.981861986801505e-07
1828,2.7333457319755894e-07
1829,3.03490431008413e-07
1830,3.757260813586072e-07
1831,2.510184238246893e-07
1832,3.0307131559936806e-07
1833,3.4171703333640835e-07
1834,2.725683079241037e-07
1835,3.3050694980829576e-07
1836,2.3858663000808633e-07
1837,2.950145656654968e-07
1838,2.4996160874479756e-07
1839,2.3631185896988427e-07
1840,2.560614955626761e-07
1841,3.036919338228472e-07
1842,2.7369720889680593e-07
1843,2.7467136032299777e-07
1844,2.8595405265896545e-07
1845,1.9307588594585923e-07
1846,1.9729669120671645e-07
1847,2.788296749045571e-07
1848,2.9445512383929895e-07
1849,2.564100869406616e-07
1850,2.1928457627495845e-07
1851,2.2702024882192973e-07
1852,2.447965155027987e-07
1853,2.3589131359358362e-07
1854,3.081029023022097e-07
1855,2.5632505540329475e-07
1856,2.5471769671270295e-07
1857,2.6408965059232514e-07
1858,2.466412647450511e-07
1859,2.0928832977773482e-07
1860,2.288591884891389e-07
1861,2.1646273884456946e-07
1862,2.4306767487658476e-07
1863,2.1676653894076026e-07
1864,2.3014694194856133e-07
1865,2.047477281053034e-07
1866,2.0873479655847405e-07
1867,2.0575921055865365e-07
1868,1.8277534508115423e-07
1869,2.1780495806922318e-07
1870,2.184672611704741e-07
1871,1.550691948182248e-07
1872,1.6146396575322797e-07
1873,1.7060112744715639e-07
1874,1.744585936824805e-07
1875,1.453267894357957e-07
1876,1.6868380736667632e-07
1877,2.4862959691063224e-07
1878,1.509772169505652e-07
1879,1.8694535830476866e-07
1880,2.07938225305071e-07
1881,1.6455117535230102e-07
1882,1.8036094040496664e-07
1883,1.5924733975936078e-07
1884,1.5976106748638585e-07
1885,1.5856264395930353e-07
1886,1.6198194430216972e-07
1887,1.5016527132871715e-07
