year,plusieurs_DET airs_NOUN,plusieurs_DET paires_NOUN
1800,1.7292904752608251e-07,1.9808236828566805e-07
1801,1.5477686554632442e-07,1.833510641091607e-07
1802,8.503792514602537e-08,1.4545960880241182e-07
1803,6.436119459607426e-08,1.5797748176282767e-07
1804,3.213406074564773e-08,1.6314216111368296e-07
1805,5.970043259750923e-08,3.9800287332525386e-07
1806,7.492339904047185e-08,1.9019016406218725e-07
1807,1.5088861937684328e-07,1.395007984683616e-07
1808,5.4385776326881796e-08,4.305540457494317e-08
1809,9.26202483597649e-08,1.197286110254936e-07
1810,1.7082924808065059e-07,1.0764583358024993e-07
1811,1.3287506828163487e-07,1.1031137603367824e-07
1812,1.0135391326215881e-07,1.0668832706173248e-07
1813,3.3358602280486593e-07,2.3005932492381476e-08
1814,1.0069366851439554e-07,4.72001566720337e-08
1815,4.315557666778602e-08,9.979727444431319e-08
1816,3.476405652236281e-08,2.2248996955909206e-07
1817,7.784366895524641e-08,1.3544798282971726e-07
1818,9.65615398751396e-08,2.074284815023475e-07
1819,5.796588153916815e-08,8.591371170041384e-08
1820,1.008650931666466e-07,8.662531403302864e-08
1821,7.001656587846128e-08,6.80442684419802e-08
1822,7.719724237631453e-08,7.719724237631453e-08
1823,6.917880579493385e-08,1.15627439734034e-07
1824,7.747423769188799e-08,9.936913336616726e-08
1825,9.509878795554982e-08,1.9107812065932706e-07
1826,5.6371100232155413e-08,1.5325893343298702e-07
1827,5.438191230666689e-08,1.4194600783667966e-07
1828,7.979901983645732e-08,2.1371461844665873e-07
1829,4.2865879568143583e-08,1.0202079181453882e-07
1830,1.565525344915386e-07,8.975678600364745e-08
1831,8.886987146183856e-08,1.153749238369528e-07
1832,6.088486359523415e-08,7.576782934393123e-08
1833,7.29768601104297e-08,1.3205335958055286e-07
1834,4.480574888887645e-08,1.6148739123700295e-07
1835,8.168134968400409e-08,1.0890846624533879e-07
1836,7.056787687531596e-08,1.2097350410300578e-07
1837,1.0506415115685286e-07,1.468115016223237e-07
1838,6.249040174211018e-08,1.1235648322838188e-07
1839,8.040196608494199e-08,1.2934229154382137e-07
1840,6.624476167615967e-08,8.790170369366024e-08
1841,6.741575875324202e-08,1.2841097696281167e-07
1842,4.494537408916699e-08,1.5630257621523924e-07
1843,4.961805233349992e-08,7.738053670047762e-08
1844,6.421616793872431e-08,1.031849508059679e-07
1845,3.5713458523822794e-08,9.82120108017348e-08
1846,4.156696142842975e-08,1.0128287541988357e-07
1847,2.9662729161827883e-08,1.0786447468547067e-07
1848,4.505324158188273e-08,1.158511917509486e-07
1849,5.195237151589538e-08,1.231773998355834e-07
1850,2.2403686905647646e-08,6.992666090610555e-08
1851,2.3217978650791338e-08,8.900225312302723e-08
1852,3.841221940525941e-08,1.5429992572535411e-07
1853,5.076142151061447e-08,1.1406389766044356e-07
1854,4.0006614743237634e-08,9.300239156573298e-08
1855,4.086341576226005e-08,7.801197554613282e-08
1856,5.539592551340178e-08,8.8012214405353e-08
1857,7.908045018822918e-08,1.0495244234798307e-07
1858,3.083015964744362e-08,1.0325656063514543e-07
1859,3.05530396538245e-08,1.1457389970104259e-07
1860,7.00309170653668e-08,8.330474576823121e-08
1861,8.630213921279051e-08,1.4336529963188127e-07
1862,8.674533980013166e-08,8.132375506342271e-08
1863,6.992469181454908e-08,8.690640029840324e-08
1864,4.650886165080692e-08,8.34282687378618e-08
1865,6.730787305286867e-08,6.401308560999297e-08
1866,3.60055367742973e-08,8.028261372361456e-08
1867,5.5322049163919473e-08,1.0190903765305848e-07
1868,5.433861449688493e-08,1.1658102705425222e-07
1869,4.737013536981749e-08,1.0353060453383023e-07
1870,4.529898367522378e-08,1.0435968622601877e-07
1871,1.1683294554032386e-08,1.8693272041403475e-07
1872,2.9027227954614432e-08,1.2941306604119518e-07
1873,7.961385639632113e-08,1.4965011646550508e-07
1874,3.106796664376077e-08,2.587005676346621e-07
1875,6.40811045893308e-08,7.78127668965567e-08
1876,2.8416269337583344e-08,7.799359091897884e-08
1877,4.391219254884504e-08,1.6513459355493865e-07
1878,1.1293095963926802e-07,1.7573748012367219e-07
1879,5.9260456652943105e-08,8.369775861272188e-08
1880,8.407378393471276e-08,1.3670011944633131e-07
1881,9.064259814950404e-08,1.2201888438534425e-07
1882,3.860123354293421e-08,7.653693101516978e-08
1883,8.973460996486438e-08,1.333380537649198e-07
1884,4.027034972153842e-08,1.4193649011673415e-07
1885,5.4787904435471546e-08,1.3922573316449416e-07
1886,3.420335914494643e-08,1.3229600681619047e-07
