year,six_DET airs_NOUN,six_DET paires_NOUN
1800,0.0,1.0061326083388167e-07
1801,7.143547975374531e-09,2.1906879155153547e-07
1802,2.2378401354217203e-09,2.3721105435470236e-07
1803,1.1702034896643454e-08,1.79431206781544e-07
1804,4.943701892301533e-09,7.415553104905825e-08
1805,5.685755422035754e-09,1.6204402775166216e-07
1806,2.305335211616466e-08,4.2360536767205303e-07
1807,5.693910232196231e-09,4.839823652957875e-08
1808,2.2660739951163578e-09,1.065054773263796e-07
1809,2.259030518203531e-09,1.332827999078745e-07
1810,2.574139479349924e-08,5.3822915901946544e-08
1811,1.0028306629550343e-08,7.52123057168319e-08
1812,2.6672082320544632e-09,2.9339290108509886e-08
1813,4.026038280535715e-08,1.322841143291953e-07
1814,5.349350962191579e-08,4.720015489567686e-08
1815,0.0,1.1598061178119679e-07
1816,6.952811659743929e-09,2.016315452380013e-07
1817,1.556873407970727e-09,2.055072834128424e-07
1818,2.384235475716423e-09,1.0848271614349869e-07
1819,2.070210003424222e-09,1.0454560284145487e-07
1820,2.4919611263385377e-08,1.0917162995838225e-07
1821,9.86148829262845e-10,6.804426977424782e-08
1822,3.107940926838637e-08,7.819980396561732e-08
1823,1.9765373782121287e-09,1.818414414600511e-07
1824,0.0,6.989523537725972e-08
1825,3.522177216552791e-09,2.5976057571597266e-07
1826,1.7615968683770689e-09,1.7175570121708006e-07
1827,6.452091305675367e-09,1.6498918264939988e-07
1828,3.6689205562545624e-09,1.3666729137273848e-07
1829,1.714635211591542e-09,1.4145740578896948e-07
1830,1.5655253093882493e-08,1.1167414371016093e-07
1831,1.5591206103948707e-09,7.01604285779922e-08
1832,1.3529969367098715e-09,8.929779937716376e-08
1833,3.4750886612755494e-09,2.6758182514186046e-07
1834,1.8669061851994684e-09,2.0816004564494506e-07
1835,1.663879345414898e-08,1.467239059138592e-07
1836,5.376600054063374e-09,1.4987272578537159e-07
1837,1.1132625932219753e-08,2.080409333693467e-07
1838,1.2624323808552163e-09,1.6727228713264708e-07
1839,2.7266753299670654e-08,1.398295079724221e-07
1840,3.184844388215424e-08,2.1975426278686427e-07
1841,3.2102742686390684e-09,1.6436604433067714e-07
1842,8.720744570922534e-09,9.65990190060495e-08
1843,4.7255288571079745e-09,1.2817996397629372e-07
1844,9.879410178825765e-09,1.5697284627691488e-07
1845,0.0,5.803436953222274e-08
1846,5.854501328173001e-10,1.211881763829581e-07
1847,4.853901280910122e-09,1.763584078773306e-07
1848,0.0,1.2148284667112819e-07
1849,5.02764896381791e-09,1.4412594051549377e-07
1850,2.0366988096043315e-09,7.739455298860776e-08
1851,1.2898877521649865e-09,1.4317753826986745e-07
1852,7.161599979710331e-09,1.4844044038397897e-07
1853,5.3747388761848924e-09,1.3616004856942254e-07
1854,3.63696517347023e-09,1.730156236057212e-07
1855,2.1227748447927297e-09,1.12507063221301e-07
1856,1.0354378465748937e-09,9.267168410431736e-08
1857,1.025116930231107e-08,1.610897939485767e-07
1858,8.319249067412215e-09,1.5415078946645622e-07
1859,1.5276520048956854e-09,1.6294954408024864e-07
1860,6.408057418028079e-09,1.5974371425642175e-07
1861,5.6591566433006335e-09,1.4713806884003588e-07
1862,4.51798634615308e-09,1.359913932574841e-07
1863,1.598278676073761e-08,7.242199950852068e-08
1864,9.589456118064277e-09,1.2562186668674258e-07
1865,2.3534221793575227e-09,1.0778673864564325e-07
1866,3.8924903300596725e-09,1.1336878102952141e-07
1867,6.308654931785895e-09,1.145263492929871e-07
1868,1.4819622196071691e-09,1.2399083804126576e-07
1869,2.4417595723136287e-09,1.0548401352394876e-07
1870,1.0894693147633916e-08,1.2270864147012617e-07
1871,0.0,1.731251888514862e-07
1872,3.628403577593531e-09,1.0945683825980268e-07
1873,2.3944017879529156e-09,1.3767810747022935e-07
1874,5.974609140757536e-10,1.648992080660605e-07
1875,1.888104017577774e-08,1.0813686479593798e-07
1876,3.627608879952504e-09,9.73408371685025e-08
1877,8.658742389755503e-09,1.9296626163622932e-07
1878,1.9325083977506097e-08,1.4554203175976e-07
1879,6.10932526790009e-10,1.1729904825230619e-07
1880,6.417846254436199e-09,1.7777433480858917e-07
1881,5.5780060570498335e-09,1.499089075096549e-07
1882,1.3310770263785798e-09,1.5307385226037695e-07
1883,1.0742876255243061e-08,1.5924733753891473e-07
1884,1.386356363042296e-08,2.2709837210754813e-07
1885,6.445635691854079e-10,1.4438223261414862e-07
1886,5.162771099520569e-09,1.7295283161189445e-07
1887,9.140494583448344e-09,1.586528641794871e-07
1888,1.268122939990235e-09,1.3632321405054881e-07
1889,5.0121093386756854e-09,1.7479731262426412e-07
1890,3.932631831293776e-09,1.3305404866770232e-07
1891,6.374220040683554e-10,1.5170643452577792e-07
1892,3.1342561879199593e-09,1.1972858615649784e-07
1893,4.926733243593162e-09,2.3956240013944807e-07
1894,3.780923574225881e-09,1.9723818311945251e-07
1895,3.0093072478365457e-09,2.275036301568889e-07
1896,1.7691086373616827e-09,1.5686097576406155e-07
1897,3.4960281336537946e-09,1.6955736903412344e-07
1898,6.2241901632731356e-09,2.472701128297672e-07
1899,7.738609753005221e-09,1.210539686269385e-07
1900,2.595526460424935e-09,1.282190158491403e-07
1901,4.470991132876634e-09,1.643089193592573e-07
1902,3.4371986368242347e-09,1.3306869028895107e-07
1903,2.7001101354784396e-09,1.3230539419595289e-07
1904,9.13686282189019e-09,9.674325696096275e-08
1905,8.773290316455018e-09,1.0940808792270218e-07
