year,aux_ADP eaux_NOUN,aux_ADP peaux_NOUN
1800,3.361111790667337e-06,2.3266817095191072e-07
1801,2.771696440362348e-06,3.047913708087435e-07
1802,3.0389869323244056e-06,1.4993528907325526e-07
1803,3.5242629508047685e-06,2.340407121437238e-07
1804,3.8115940714789076e-06,1.408955085935304e-07
1805,3.5933974196211693e-06,1.3930100806192058e-07
1806,3.942123427691513e-06,5.76333825108577e-08
1807,2.7359237684265736e-06,5.693910054560547e-08
1808,2.984419516849357e-06,9.064295625194063e-08
1809,3.535382673724996e-06,2.9141493129714036e-07
1810,3.3908437382379475e-06,6.786367379163494e-08
1811,2.9458152894790146e-06,1.7549537290051376e-07
1812,3.7740995573187774e-06,4.267533171287141e-08
1813,3.3847480125359652e-06,1.7254450312975678e-08
1814,3.2379308390062533e-06,2.108273662315696e-07
1815,3.1935125974769107e-06,4.8550024445148665e-08
1816,2.6374332460221694e-06,1.4137383175238938e-07
1817,2.7930308359458422e-06,5.293369653713853e-08
1818,3.6979491540023446e-06,7.391130196765516e-08
1819,2.961435393800116e-06,1.0972112818308233e-07
1820,2.535867004382908e-06,1.1747816586193949e-07
1821,3.0827011983092234e-06,2.2681422962023134e-08
1822,3.5129758657603816e-06,5.714601059025881e-08
1823,2.967770878825604e-06,8.894417968807744e-08
1824,2.752019703677888e-06,1.2631669221718766e-07
1825,3.0484444017986334e-06,7.13240879690602e-08
1826,2.805343047640463e-06,4.139752618481651e-08
1827,3.2039241801840035e-06,6.91295483079557e-08
1828,3.0020940897657056e-06,1.2107437896702322e-07
1829,3.2749532152820393e-06,7.03000447299651e-08
1830,3.222894797261233e-06,1.1376150732544943e-07
1831,4.0007034911582195e-06,1.4032085515758297e-07
1832,3.7302125157623323e-06,1.7047761524668914e-07
1833,4.814155886379012e-06,1.158362863407092e-07
1834,3.110265744510343e-06,1.1201436822538824e-07
1835,3.806502121506128e-06,7.033671778344797e-08
1836,2.7373615081316416e-06,6.720750311828283e-08
1837,3.3655317466241286e-06,8.279890462148387e-08
1838,3.2791682169630576e-06,8.142689011947368e-08
1839,2.9154452469981607e-06,1.2584655451064464e-07
1840,2.9867470612288116e-06,8.407988705272373e-08
1841,3.1569836771438986e-06,1.0080260892664228e-07
1842,2.960357287307147e-06,5.3666118660089523e-08
1843,2.984171503683797e-06,4.961805460945712e-08
1844,3.0132201809252024e-06,1.2953005246174598e-07
1845,3.1840780287950565e-06,1.1048851433770324e-07
1846,3.3522874929303725e-06,7.201036744675093e-08
1847,2.8972396854953786e-06,6.256139517546444e-08
1848,2.8616852807417104e-06,7.160247506021733e-08
1849,3.248699144364764e-06,7.541473578953628e-08
1850,2.825580084575563e-06,8.350464941742075e-08
1851,3.3221058104437873e-06,1.1673484423546654e-07
1852,3.4011089322660837e-06,1.0742400036178879e-07
1853,3.696625697102718e-06,9.495371422474363e-08
1854,3.664502229661082e-06,8.728715972239343e-08
1855,3.744044054343476e-06,7.429711956774554e-08
1856,3.5986641719887302e-06,5.5913643048910444e-08
1857,4.2073725019520225e-06,1.0397614413903966e-07
1858,3.873833929191051e-06,9.444794635271592e-08
1859,4.611981612612226e-06,7.230886112097323e-08
1860,4.119007746439252e-06,1.25414837626181e-07
1861,3.6874119793139926e-06,1.0846716413936974e-07
1862,3.82718618041622e-06,8.58417408267087e-08
1863,3.674542448095508e-06,1.0438757591657577e-07
1864,3.6171427453268734e-06,1.0356612634154772e-07
1865,3.7061691671169683e-06,6.87199293025742e-08
1866,3.5197844674428325e-06,8.368854231832756e-08
1867,3.5323615446003487e-06,9.996792016409017e-08
1868,3.5329979581888438e-06,1.230028630061497e-07
1869,3.425300214132676e-06,1.0108884751502956e-07
1870,3.923236146619047e-06,1.0665330663073291e-07
1871,3.2256515467565805e-06,8.92178881883865e-08
1872,3.2159749991933495e-06,7.377753874493465e-08
1873,4.123159801139309e-06,1.0535367778174987e-07
1874,3.550112662509264e-06,1.0216581713962114e-07
1875,3.733296491503779e-06,1.3731664694205392e-07
1876,4.018786015080877e-06,1.426859519426671e-07
1877,3.7486169475187125e-06,1.1689302681361369e-07
1878,3.6820324211817024e-06,8.817069740985062e-08
1879,3.814662775880606e-06,1.4601287290361142e-07
1880,3.3039072224738675e-06,9.370055309432246e-08
1881,3.977118396392143e-06,1.0807386630062865e-07
1882,3.624522761924709e-06,9.583754678743617e-08
1883,3.839630316804232e-06,1.1058843085720582e-07
1884,3.39525268344687e-06,9.506443632290029e-08
1885,3.6933492033597304e-06,1.1215405848474802e-07
1886,3.4371147457079587e-06,1.1874373484488387e-07
1887,3.7286687710746946e-06,1.266611384664884e-07
1888,3.3586235552718335e-06,8.559829911547467e-08
1889,3.472138734750274e-06,1.159050277976803e-07
1890,3.6737336674974586e-06,1.1011369238644875e-07
1891,3.140578314742015e-06,1.3513346530658055e-07
1892,3.5279188104198056e-06,1.3728042347338487e-07
1893,3.449329160076786e-06,9.23762488724833e-08
1894,3.5118477423878858e-06,1.121674024773256e-07
1895,3.2873672566324785e-06,1.1314994807776202e-07
1896,3.3837152635385337e-06,8.904513748575482e-08
1897,3.165653367886989e-06,7.63299468076184e-08
1898,3.2614757063953448e-06,1.1656210929800181e-07
1899,3.372928309985923e-06,9.728537619935196e-08
1900,3.1634277384284815e-06,8.409505980466747e-08
1901,3.0631878296105697e-06,6.650599182478345e-08
1902,2.8243951923911936e-06,9.82056738152437e-08
1903,3.4285998609107082e-06,1.2042490915575854e-07
1904,3.286045743067234e-06,8.545654139879844e-08
1905,3.0236887518242384e-06,1.0011872397797106e-07
1906,3.360181295875009e-06,1.2397484638881906e-07
1907,2.879992280213628e-06,1.0234258240870986e-07
1908,3.0941751774093973e-06,8.889614377949329e-08
1909,3.0101382684222244e-06,7.481337860326676e-08
1910,3.3903293044090788e-06,1.1383040643409004e-07
1911,2.9544037545292667e-06,5.639596789563939e-08
1912,3.0068778951175545e-06,9.741617468250752e-08
1913,2.7899029930722463e-06,1.1189308324333069e-07
1914,2.698787728405705e-06,1.0647822890064162e-07
1915,2.220673532615791e-06,5.890381071793627e-08
1916,2.2172698876943286e-06,7.69122365795738e-08
1917,2.071557680949354e-06,1.3817695077023018e-07
1918,2.064101794374551e-06,1.0567465835720213e-07
1919,2.204358924728922e-06,1.3719694180736042e-07
1920,2.267883445483676e-06,1.2418460215712912e-07
1921,2.3990464246281817e-06,9.314478965904982e-08
1922,2.7563966220611746e-06,1.0993124099911711e-07
1923,2.380095640575064e-06,8.068120394000289e-08
1924,2.5615658660882445e-06,1.3665121834094407e-07
1925,2.5691744021116847e-06,9.018505942037791e-08
1926,2.1980185849201916e-06,1.0923215754132798e-07
1927,2.65909023866584e-06,8.473410595399855e-08
1928,2.3274845055709648e-06,6.969885113505825e-08
1929,2.3829329673930033e-06,1.2143042837919893e-07
1930,2.5124620428584876e-06,6.512233863276151e-08
1931,2.185266243515116e-06,1.1405356481475337e-07
1932,2.266432183262168e-06,1.282265769120272e-07
1933,2.4696335252372137e-06,4.817678256330282e-08
1934,2.4358552295211666e-06,1.2460843379358266e-07
1935,2.161472160366884e-06,1.1489552598220598e-07
1936,2.2600467524114265e-06,1.260970314831411e-07
1937,2.116566883980653e-06,1.5109342044183904e-07
1938,2.1651907946562687e-06,1.5169300837669653e-07
1939,2.2145785747440527e-06,1.1623478179956237e-07
1940,2.426744296180061e-06,1.2171758001500166e-07
1941,2.2815115485741444e-06,7.673906488037119e-08
1942,2.4273693295384646e-06,9.709477932773325e-08
1943,2.4416208086464053e-06,8.129058493011598e-08
1944,1.7351205627846866e-06,8.354284020128944e-08
1945,1.8582639409459034e-06,1.0674669681520754e-07
1946,1.8501147280858277e-06,6.125285878511022e-08
1947,1.80243573399963e-06,6.914105199484766e-08
1948,1.9960786410422315e-06,7.827759418432834e-08
1949,1.848542678928311e-06,5.988374951471087e-08
1950,2.0292270388466704e-06,6.06215611043126e-08
1951,2.0757748222521855e-06,8.742349777435265e-08
1952,2.1015794349210637e-06,8.330394862809953e-08
1953,1.87787811967155e-06,7.218464537217528e-08
1954,2.0688458768347573e-06,8.990733491032188e-08
1955,1.8911999255522005e-06,8.634759396386471e-08
1956,1.823590656258034e-06,4.534993536253751e-08
1957,2.0585638385028915e-06,5.919475132287744e-08
1958,2.0589614422306113e-06,5.707847794411691e-08
1959,1.926835943244498e-06,4.495433891804623e-08
1960,1.8630882969716822e-06,6.0211251984299e-08
1961,1.9711927397025875e-06,8.268309770187443e-08
1962,1.7319882541499965e-06,6.405375962970083e-08
1963,1.8292464885050208e-06,7.047998007436718e-08
1964,1.8750789969601556e-06,6.327327106703251e-08
1965,1.7395626281668797e-06,5.690925064527619e-08
1966,1.699942078658978e-06,6.259154350374274e-08
1967,1.5688328369733995e-06,5.6205823995014725e-08
1968,1.7224580073360585e-06,8.488775904424983e-08
1969,1.5637272010593506e-06,7.085142250673471e-08
1970,1.7167040438081926e-06,8.139743368218433e-08
1971,1.678200632682092e-06,4.984245638439688e-08
1972,1.6442120243098657e-06,8.003029261516303e-08
1973,1.5420430745649583e-06,6.064524171733865e-08
1974,1.4710869749023914e-06,7.59452145615569e-08
1975,1.5980722078978715e-06,4.7976433492635806e-08
1976,1.4443795803842363e-06,7.027637849432722e-08
1977,1.3710532495991856e-06,6.934602669872447e-08
1978,1.448316185648224e-06,8.792075245622755e-08
1979,1.7269173215872513e-06,5.734933949952392e-08
1980,1.5548887062344363e-06,5.855705254020904e-08
1981,1.3789697419497315e-06,5.8827612114953354e-08
1982,1.544426535993182e-06,6.579952493979135e-08
1983,1.343899265648929e-06,8.399370532430339e-08
