year,leurs_DET eaux_NOUN,leurs_DET peaux_NOUN
1800,2.37384421630793e-06,5.250754551155978e-07
1801,2.4002320841987057e-06,7.334042084750081e-07
1802,2.9673759058823634e-06,6.870169215744681e-07
1803,2.1278201174368405e-06,4.095712498042303e-07
1804,3.220821721328093e-06,7.712175005281097e-07
1805,2.1748014358280443e-06,4.150601382590935e-07
1806,1.948008243601862e-06,2.247701864632745e-07
1807,2.334503134804322e-06,2.2206250527290194e-07
1808,2.0893201906346803e-06,3.0138785334088425e-07
1809,2.069272007076961e-06,4.495470753429487e-07
1810,2.2114197371081445e-06,3.814406710489493e-07
1811,1.9028712952007254e-06,3.0084921398554343e-07
1812,2.02974537266698e-06,1.92038985602494e-07
1813,1.9785103546610117e-06,2.6456823221110426e-07
1814,1.9540865867639923e-06,1.9509397830574926e-07
1815,1.801745327156823e-06,2.1308066777692147e-07
1816,1.5921939109375671e-06,4.287567136884718e-07
1817,1.3046598770216633e-06,2.553272526739647e-07
1818,1.6534673044077408e-06,2.6465012936682797e-07
1819,1.3715141626846616e-06,2.1116142789878722e-07
1820,1.664867284034699e-06,3.298881878777138e-07
1821,1.3411623509540505e-06,1.3115779118333393e-07
1822,1.7695212051194176e-06,2.1154049534288788e-07
1823,1.4280482449890997e-06,2.599146782245043e-07
1824,1.7524335866880847e-06,3.3852872771689135e-07
1825,1.8350543555811782e-06,2.430302341593915e-07
1826,1.8408687090243347e-06,1.6647090017585242e-07
1827,1.3263655525008744e-06,1.9540618678703936e-07
1828,1.5528705574752166e-06,1.6418418624652986e-07
1829,1.8449474730175552e-06,1.5774643391530674e-07
1830,1.7147720896559804e-06,3.3502242935412596e-07
1831,1.8849768714801485e-06,2.1515865000765189e-07
1832,1.4341768022063661e-06,1.407116836382727e-07
1833,2.2703911355392847e-06,3.254999647595014e-07
1834,1.9247802338639985e-06,2.286960085751133e-07
1835,1.8537128951834347e-06,2.647080918904976e-07
1836,1.6707784595837438e-06,2.170802240186731e-07
1837,1.6810264291677868e-06,2.2543566835508955e-07
1838,1.8191650958954142e-06,1.8747121388607013e-07
1839,1.5234424424193094e-06,1.992570437536756e-07
