year,premiers_ADJ artisans_NOUN,premiers_ADJ partisans_NOUN
1800,3.458580977167003e-08,2.829747991484055e-08
1801,3.333655484993869e-08,3.333655484993869e-08
1802,0.0,2.0140561218795483e-08
1803,3.900678446910888e-09,1.1702034896643454e-08
1804,1.2359254952798437e-08,2.2246657849223084e-08
1805,5.685755422035754e-09,2.842877755426798e-08
1806,2.881669125542885e-09,1.0085842205853623e-07
1807,5.693910232196231e-09,2.562259560079383e-08
1808,4.078933102391602e-08,6.798221985349073e-09
1809,1.8072244145628247e-08,5.1957702140725814e-08
1810,7.020380277111826e-09,2.3401267590372754e-09
1811,7.521229861140455e-09,3.5099073869560016e-08
1812,2.6672082320544632e-09,1.8670457180292033e-08
1813,5.751483289628823e-09,3.4508900625951355e-08
1814,2.5173417128598885e-08,1.8880061958270744e-08
1815,4.045835311217161e-08,4.315557688983063e-08
1816,3.7081662185300956e-08,3.7081662185300956e-08
1817,1.2454987263765815e-08,1.71256075987003e-08
1818,2.384235475716423e-09,3.457141417584353e-08
1819,1.6561680027393777e-08,2.898294049202832e-08
1820,1.4239777357261119e-08,1.1866481131050932e-08
1821,1.4792232327920374e-08,4.832129363308013e-08
1822,3.308453244699194e-08,1.604098542884458e-08
1823,3.656594316225892e-08,2.8659792761231984e-08
1824,1.2631669044083083e-08,2.3579115548955087e-08
1825,2.1133063299316746e-08,3.0819052199149155e-08
1826,7.0463874735082754e-09,2.9947145208097936e-08
1827,6.452091305675367e-09,1.7512819638909605e-08
1828,1.1006761724274838e-08,2.5682442839070063e-08
1829,7.715858174606183e-09,2.4004892296147773e-08
1830,1.7742621594152297e-08,8.349468672008697e-09
1831,0.0,1.7150327380477393e-08
1832,8.117981842303834e-09,3.6530916958099624e-08
1833,1.50587169400751e-08,8.108539617524002e-09
1834,9.334531370086552e-09,2.8937046536725575e-08
1835,6.806779140333674e-09,1.9664028627630614e-08
1836,1.3441500135158435e-09,4.637317374545091e-08
1837,2.6439986200443855e-08,3.5485243188304594e-08
1838,3.1560809521380406e-09,1.64116205070286e-08
1839,5.5931801412612e-09,1.8876983531868063e-08
1840,9.554533164646273e-09,4.458782143501594e-08
1841,1.2841097074556274e-09,3.017657945747487e-08
1842,1.8783142152756227e-08,3.219967226186782e-08
1843,8.860366662588604e-09,8.269675610961258e-09
1844,8.232841963717874e-09,2.5796238034558883e-08
1845,2.0088821273134272e-08,1.6182660544927785e-08
1846,1.2879903366069811e-08,1.7563504428608212e-08
1847,1.240441438454809e-08,3.55952778363644e-08
1848,1.609044275596716e-08,2.574470947536156e-08
1849,1.75967720394965e-08,2.9327951622803994e-08
1850,1.3577992064028876e-08,3.394497838371535e-08
1851,5.159551008659946e-09,2.4507867735223954e-08
1852,2.0833745395520964e-08,3.450589147746541e-08
1853,7.763511611358354e-09,4.18035241978032e-08
1854,1.454786069388092e-08,2.909572138776184e-08
1855,1.4328730202350926e-08,3.449509122788186e-08
1856,7.765783571755946e-09,4.40061072026765e-08
1857,8.298565390418844e-09,5.857811125054013e-09
1858,6.361778659424999e-09,3.229826006645453e-08
1859,1.782260738991681e-08,3.6154432336843456e-08
1860,1.785101666484934e-08,3.020941363729435e-08
1861,1.9335450573976232e-08,2.4994607272788016e-08
1862,6.325180823552046e-09,1.7168348520613108e-08
1863,1.1487627737949424e-08,3.3963420520422005e-08
1864,1.0548401263577034e-08,1.7740493518658695e-08
1865,8.47231973466478e-09,2.871175119878444e-08
1866,6.3252967308358166e-09,1.0704348518686402e-08
1867,1.5043715606566366e-08,3.299911810472622e-08
1868,1.679557115608077e-08,1.877152122631287e-08
1869,1.12320943657096e-08,4.395167252368992e-08
1870,2.121598008386627e-08,2.2362790730312554e-08
1871,4.248470908407853e-09,1.3807530230280918e-08
1872,1.1489944995446422e-08,1.269941218851045e-08
1873,1.7359413462259e-08,1.5563610844537834e-08
1874,1.1351757756017378e-08,8.364453130127458e-09
1875,3.432916173551348e-09,2.0025344937835143e-08
1876,9.069021977836655e-09,1.3905833817773328e-08
1877,9.27722432209066e-09,3.216104360603822e-08
1878,1.0266450800600069e-08,3.01954443671093e-08
1879,9.774920428640144e-09,9.774920428640144e-09
1880,1.0268554007097919e-08,2.3746030919369332e-08
1881,9.064259565150223e-09,2.719277958362909e-08
1882,5.324308105514319e-09,3.261138559196297e-08
1883,6.951272890631799e-09,1.0742875922176154e-08
1884,1.1883054540362536e-08,3.498899303622238e-08
1885,9.023890079618013e-09,2.3848851782304337e-08
1886,1.7424351739236954e-08,3.355801325710672e-08
1887,1.2404957061562527e-08,2.3504128421336645e-08
1888,1.3949351895803375e-08,4.1848057463766963e-08
1889,6.891650361495749e-09,4.698852507090123e-08
1890,1.8352281472289178e-08,2.94947390955258e-08
1891,1.9122660788184476e-08,1.6572972327821844e-08
1892,1.0656471038927862e-08,3.322311670217459e-08
1893,1.7859408174558666e-08,4.495644034818724e-08
1894,1.3233232287745977e-08,2.142523314319078e-08
1895,1.5046536461227333e-08,1.1435367319734269e-08
1896,1.9460195233023114e-08,2.7126333179694484e-08
1897,3.1464253424928756e-08,3.3212266714599536e-08
1898,2.998928039232851e-08,2.1501747937691107e-08
1899,1.879376654301268e-08,3.814029270188257e-08
1900,3.0627212765921286e-08,2.906989848838748e-08
1901,2.794369535763508e-08,2.9061443029831935e-08
1902,2.995273007400101e-08,2.455141867585553e-08
1903,2.214090244478939e-08,1.9980815224585058e-08
1904,3.117282432185675e-08,3.3860139581065596e-08
1905,3.9221767167418875e-08,4.7478984299687e-08
1906,3.343719967574543e-08,3.035068729673185e-08
1907,4.525702124169584e-08,3.5485619775954547e-08
1908,3.8799974788616964e-08,2.504808449543816e-08
1909,3.850688656825696e-08,3.4106097501762633e-08
1910,4.0615546481603815e-08,5.71824116946118e-08
1911,3.777465806820146e-08,3.085817112946643e-08
1912,4.740573444905749e-08,3.021464323182954e-08
1913,5.46207949980726e-08,5.1438998838193584e-08
1914,3.3483718908655646e-08,6.830678245250965e-08
1915,4.2410743361642744e-08,3.7698438148936475e-08
1916,8.46034566848175e-08,1.9777431248257926e-08
1917,6.799183438488399e-08,8.773139548168274e-09
1918,4.9391417178412667e-08,1.378365155346728e-08
1919,6.169258170984904e-08,2.8544329566670967e-08
1920,5.4520068459851245e-08,4.770506123463747e-08
1921,5.9067428281878165e-08,2.499006690470651e-08
1922,6.64014194740048e-08,3.541408943874558e-08
1923,4.564857647437748e-08,2.653987074552333e-08
1924,4.898817351772777e-08,3.2229060309418855e-08
1925,5.719052609265418e-08,6.048998102414771e-08
1926,3.6782257240020044e-08,3.1209186346359274e-08
1927,5.4631200896437804e-08,1.7838759802657478e-08
1928,5.3702393643106916e-08,2.6279895593006586e-08
1929,4.3447585085232276e-08,3.342121956961819e-08
1930,4.096405348263943e-08,4.7266215830177316e-08
1931,7.641588695150858e-08,4.790249619190945e-08
