year,es_VERB assez_ADV
1800,9.432493897065797e-09
1801,7.143547975374531e-09
1802,4.475680270843441e-09
1803,2.7304748684287006e-08
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,5.693910232196231e-09
1808,0.0
1809,2.259030518203531e-09
1810,4.680253518074551e-09
1811,2.5070767684098882e-09
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,1.0729059418679299e-08
1819,2.070210003424222e-09
1820,1.6613073583471305e-08
1821,5.9168927535324656e-09
1822,5.012807946513931e-09
1823,6.917880934764753e-09
1824,0.0
1825,8.805443041381977e-10
1826,1.4092774947016551e-08
1827,1.8434546111834038e-09
1828,0.0
1829,7.715858174606183e-09
1830,3.1310507520032616e-09
1831,4.677361609140007e-09
1832,0.0
1833,2.3167257001688313e-09
1834,3.733812370398937e-09
1835,8.31939672707449e-09
1836,4.704525213838906e-09
1837,5.5663127440652715e-09
1838,0.0
1839,4.894032734625853e-09
1840,6.369688665408546e-10
1841,0.0
1842,2.683306021822318e-09
1843,5.906911071384968e-10
1844,5.488561161115513e-09
1845,2.2320911785556063e-09
1846,1.7563503984519002e-09
1847,1.6179670936367074e-09
1848,4.82713291560799e-09
1849,1.6758829879393033e-09
1850,2.7155984128057753e-09
1851,2.579775504329973e-09
1852,2.6042181744401205e-09
1853,1.7915795513800958e-09
1854,7.27393034694046e-09
1855,2.653468555990912e-09
1856,2.5885946719483854e-09
1857,6.345961978126979e-09
1858,3.9149408159744326e-09
1859,5.092173349652285e-10
1860,2.288591982591015e-09
1861,2.357981809808507e-09
1862,3.6143890103090826e-09
1863,2.4973103585068657e-09
1864,8.151037178549814e-09
1865,6.118897832863013e-09
1866,7.298419202328432e-09
1867,2.91168689159349e-09
1868,1.432563490055827e-08
1869,2.9301114867763545e-09
1870,1.7202146374017957e-09
1871,1.0621176826930423e-08
1872,5.442605477412599e-09
1873,2.9930022904522957e-09
1874,8.364453130127458e-09
1875,8.58229043387837e-09
1876,1.813804439976252e-09
1877,6.184816214727107e-09
1878,3.0195443923020093e-09
1879,6.720257683667796e-09
1880,6.417846254436199e-10
1881,4.8807553554297556e-09
1882,9.983077475794744e-09
1883,8.847074184359371e-09
1884,1.1222884843675729e-08
1885,4.511945039809007e-09
1886,8.38950331427668e-09
1887,8.48760173255414e-09
1888,6.340614699951175e-09
1889,2.5060546970934183e-09
1890,5.898947996740844e-09
1891,6.3742202627281586e-09
1892,1.8805537127519756e-09
1893,1.847525021858587e-09
1894,1.0082462864602348e-08
1895,9.629783193076946e-09
1896,7.66613794667137e-09
1897,4.661370844871726e-09
1898,6.224190496340043e-09
1899,6.080336234504102e-09
1900,2.07642125715779e-09
1901,1.0618603774048552e-08
1902,5.4013122863239005e-09
1903,8.100330184390714e-09
1904,8.599400302955473e-09
1905,9.805441791854719e-09
1906,2.0576738091193647e-09
1907,3.0857059130084963e-09
1908,4.911389073214423e-09
1909,8.801573692096554e-09
1910,4.275320542035388e-09
1911,4.25629931299909e-09
1912,5.2094213387476884e-09
1913,4.242391771214216e-09
1914,2.678697486047099e-09
1915,4.712304768617059e-09
1916,5.493730803607377e-09
1917,7.676496771580332e-09
1918,1.1486376294556067e-09
1919,5.524709134618888e-09
1920,8.329454459499175e-09
1921,9.087297137000405e-09
1922,1.0329110011753073e-08
1923,5.307974060286824e-09
1924,1.2891624656674594e-08
1925,6.598906754362588e-09
1926,3.343841648018042e-09
1927,8.919379901328739e-09
1928,1.1426041446327417e-08
1929,6.684243825105796e-09
1930,7.352522590764465e-09
1931,1.3686427990933225e-08
1932,8.767629289252454e-09
1933,5.735331320977366e-09
1934,4.7926320689839486e-09
1935,1.555876849579363e-08
1936,6.0623572828433225e-09
1937,3.777335333410292e-09
1938,5.186085783037697e-09
1939,1.070583532936098e-08
1940,2.5357829169792012e-09
1941,0.0
1942,9.102635090130207e-09
1943,8.709705845433291e-09
1944,1.927911696952833e-08
1945,1.089252066321933e-08
1946,4.1763312808029696e-09
1947,1.6689218895749036e-08
1948,7.610321262063735e-09
1949,1.2762110479513922e-08
1950,9.571825110299415e-09
1951,7.462981344019681e-09
1952,5.272402070488624e-09
1953,2.1547654771580937e-09
1954,7.818028890937967e-09
1955,4.6928039232341234e-09
1956,5.232684952005684e-09
1957,6.184526224473075e-09
1958,4.9633461784992505e-09
1959,1.3951345856355601e-08
1960,1.1073333361366622e-08
1961,9.72742331128984e-09
1962,8.244543714397423e-09
1963,1.8104948651398445e-08
1964,8.517555549758526e-09
1965,9.302473458205895e-09
1966,1.0524241922382771e-08
1967,7.888536934785861e-09
1968,4.491415683816058e-09
1969,3.1792304344691047e-09
1970,3.6789800095249348e-09
1971,3.5968783507200897e-09
1972,4.104117490300041e-09
1973,5.513203671370093e-09
1974,1.1251143128276908e-08
1975,5.140332159925265e-09
1976,3.4281160132820787e-09
1977,9.402850942308305e-09
1978,5.940591130126904e-09
1979,8.192762912528906e-09
1980,9.096241093686785e-09
1981,8.855769451088236e-09
1982,1.1794254461960918e-08
1983,8.841442245000053e-09
1984,8.69851302098823e-09
1985,3.609334831011779e-09
1986,7.792831269171074e-09
1987,3.0554083707556856e-09
1988,7.795519785247507e-09
1989,9.329808037250586e-09
1990,7.628111475810329e-09
1991,5.8614650910726596e-09
1992,6.060938417817852e-09
1993,8.308811416668505e-09
1994,4.2199412852994556e-09
1995,5.964695848348356e-09
1996,5.3380921904988554e-09
1997,4.315404922294874e-09
1998,2.3840645013706308e-09
1999,5.484241505371301e-09
2000,3.97622823555821e-09
2001,5.695575122643959e-09
2002,6.133709984368352e-09
2003,7.91715315529018e-09
2004,3.9643119897903034e-09
2005,4.053374524914943e-09
2006,1.070651389767363e-08
2007,1.5578470069499417e-08
2008,1.1069342775726909e-08
2009,1.3350939020995156e-08
2010,1.8895171649546683e-08
2011,2.0267052036615496e-08
2012,3.43829533733242e-08
2013,3.68164521091785e-08
2014,3.8978011929202694e-08
2015,3.989835661855068e-08
2016,4.287673860403629e-08
2017,4.7293493565803146e-08
2018,5.5501534035329314e-08
2019,4.872386583087973e-08
