year,avais_VERB assez_ADV,avais_VERB passé_VERB
1800,2.5153315874604232e-08,9.432493897065797e-09
1801,2.3811825844433088e-09,1.1905912700171939e-08
1802,3.8043282302169246e-08,8.951360541686881e-09
1803,1.950339223455444e-09,5.851017448321727e-09
1804,4.943701892301533e-09,2.4718509905596875e-08
1805,0.0,5.685755422035754e-09
1806,4.034336598124355e-08,2.881669125542885e-09
1807,5.4092147649953404e-08,1.1387820464392462e-08
1808,9.064295980465431e-09,6.798221985349073e-09
1809,9.036122072814123e-09,1.8072244145628247e-08
1810,5.148278958699848e-08,1.8721014072298203e-08
1811,1.0028307073639553e-08,4.011322829455821e-08
1812,1.600324850414836e-08,8.00162425207418e-09
1813,2.5881675469463516e-08,1.4378708002027452e-08
1814,1.2586708564299443e-08,9.440030979135372e-09
1815,8.091670444798638e-09,2.697223555614414e-09
1816,1.3905623319487859e-08,2.5493642752394408e-08
1817,3.7364962679475866e-08,2.6466848268569265e-08
1818,7.27191817873063e-08,4.2916237674717195e-08
1819,2.4842520929269085e-08,1.7596784473994376e-08
1820,4.865257352548724e-08,2.7292905713238724e-08
1821,5.5224333550540905e-08,1.8736827200882544e-08
1822,1.604098542884458e-08,2.3058916553964082e-08
1823,2.4706716672540097e-08,2.7671523739059012e-08
1824,1.3473780313688621e-08,3.115811608722652e-08
1825,3.78634048558979e-08,2.0252519661312363e-08
1826,4.7563116112314674e-08,3.787433300317389e-08
1827,5.8068820862899884e-08,2.488663675137559e-08
1828,4.035812395386529e-08,4.1275356466030644e-08
1829,7.544394975411706e-08,2.2290258527846163e-08
1830,4.5922078584226256e-08,1.5655253093882493e-08
1831,9.354723573551382e-08,4.8332740476553226e-08
1832,4.19429042608499e-08,2.976593194148336e-08
1833,5.21263281427764e-08,7.876867158529421e-08
1834,3.173740381612333e-08,5.694063887062839e-08
1835,8.092504089063368e-08,4.61348363955949e-08
1836,2.6210924986003192e-08,2.755507466645213e-08
1837,3.75726116885744e-08,3.409366655660051e-08
1838,2.7773513266993177e-08,2.3354999711955315e-08
1839,4.4046291947097416e-08,3.4957377437194737e-08
1840,3.184844388215424e-08,3.184844388215424e-08
1841,1.733548060656176e-08,1.8619591202195807e-08
1842,4.024958855097793e-08,2.4820581145945653e-08
1843,5.2571508035725856e-08,3.6622846977252266e-08
1844,2.5247381074677833e-08,1.4819115712327857e-08
1845,3.236532108985557e-08,1.674068350610014e-08
1846,3.9810608143397985e-08,1.6392604607062822e-08
1847,3.7752563741833e-08,2.588747349818732e-08
1848,3.620349886546137e-08,2.413566591030758e-08
1849,5.781796375003978e-08,4.8600607982507427e-08
1850,4.8880771430503955e-08,2.1045888587423178e-08
1851,3.8696633453128015e-08,3.9341575330809064e-08
1852,3.5156944022674e-08,2.799534470909748e-08
1853,4.478948767427937e-08,1.7318601663873778e-08
1854,3.844791862661623e-08,1.610655964157104e-08
1855,4.7231740296638236e-08,3.449509122788186e-08
1856,4.504154560436291e-08,4.0899795550330964e-08
1857,4.4421732070532016e-08,2.0502337605421417e-08
1858,4.3553715300959084e-08,1.1255455234504552e-08
1859,3.819129901216911e-08,5.3467818617036755e-08
1860,4.577183787546346e-08,4.531412045594152e-08
1861,6.555189457913002e-08,4.0557289082698844e-08
1862,6.23482137029896e-08,2.6204320491274302e-08
1863,5.5939754162182e-08,4.395266373080631e-08
1864,4.6029388300894425e-08,4.459096913933536e-08
1865,5.742350239756888e-08,3.294790928975999e-08
1866,4.9142691693759843e-08,3.843834051053818e-08
1867,6.648351558169452e-08,2.7661025470138156e-08
1868,5.285665238830006e-08,2.865126980111654e-08
1869,5.811387637777443e-08,2.490594752657671e-08
1870,6.536815533308982e-08,2.465641024684828e-08
1871,4.354682658913589e-08,2.2304472935275044e-08
1872,6.652073381019363e-08,3.8702971494330995e-08
1873,5.147963832996538e-08,3.4718826924518e-08
1874,6.034355237716227e-08,2.6288279997288555e-08
1875,6.522540729747561e-08,2.4030413214859436e-08
1876,5.985554452081487e-08,2.6602464231473277e-08
1877,4.08197848855707e-08,2.4120781816350245e-08
1878,2.3552445327368332e-08,2.7779808675632012e-08
1879,6.109325312309011e-08,4.643087336830831e-08
1880,6.738738278500023e-08,3.8507078414795615e-08
1881,5.0899306103247e-08,2.649552932609822e-08
1882,4.592215674392719e-08,3.261138559196297e-08
1883,5.308244865886991e-08,3.6020232130340446e-08
1884,5.545425452169184e-08,3.300848305798354e-08
1885,4.18966337178972e-08,2.320428826863008e-08
1886,4.7755634113855194e-08,3.291266637006629e-08
1887,5.419007464979586e-08,1.828098916689669e-08
1888,6.150396103521416e-08,2.4094335415725254e-08
1889,5.450668894013688e-08,3.132568338060082e-08
1890,6.357755211183758e-08,2.94947390955258e-08
1891,5.991766727220238e-08,3.7607897240832244e-08
