year,amants_NOUN heureux_ADJ
1800,2.515331676278265e-08
1801,1.904946067554647e-08
1802,4.699464284385613e-08
1803,1.5602713787643552e-08
1804,4.943701892301533e-09
1805,8.528632911009026e-09
1806,4.3225035994964855e-08
1807,2.8469551160981155e-09
1808,1.8128591960930862e-08
1809,4.292158095609011e-08
1810,2.106114038724627e-08
1811,2.2563691359778204e-08
1812,2.6672083208723052e-08
1813,1.1502966579257645e-08
1814,2.2026740431613234e-08
1815,5.394447111228828e-09
1816,3.476405829871965e-08
1817,2.3353100786493997e-08
1818,2.741870774869426e-08
1819,3.105315049545254e-08
1820,5.933240654343308e-08
1821,3.8459805118407075e-08
1822,4.511527151862538e-08
1823,4.4472091786929013e-08
1824,3.536867243525421e-08
1825,1.937197424695114e-08
1826,2.906634843924394e-08
1827,1.5669364195058932e-08
1828,8.255071293206129e-09
1829,6.086954940087708e-08
1830,1.0436835617966267e-08
1831,0.0
1832,1.0823975604701275e-08
1833,1.853380560135065e-08
1834,1.0267983796552471e-08
1835,1.8907719834260206e-08
1836,5.376600220596828e-09
1837,1.3915782193230086e-08
1838,1.5780404982734808e-08
1839,1.7478688718597368e-08
1840,1.7198159341091923e-08
1841,2.5040138851295524e-08
1842,3.823711258732487e-08
1843,2.8353174030826267e-08
1844,2.030767731753258e-08
1845,3.0691253982695343e-08
1846,2.6930706553685013e-08
1847,4.530307951000623e-08
1848,2.172209789819135e-08
1849,1.005529792763582e-08
1850,1.9009189777818847e-08
1851,2.386292252687383e-08
1852,2.0833745395520964e-08
1853,2.8068079194198958e-08
1854,2.1302223984775992e-08
1855,4.0332722051061864e-08
1856,2.122647629887453e-08
1857,3.221796096575247e-08
1858,3.768130507619816e-08
1859,4.582955881460293e-08
1860,3.387116043196414e-08
1861,1.744906619194353e-08
1862,2.4848924806697426e-08
1863,2.5472566278494924e-08
1864,2.109680352635479e-08
1865,2.023943146411966e-08
1866,2.919367680931373e-08
1867,1.8925964795357686e-08
1868,4.64348178796925e-08
1869,2.9789466449159363e-08
1870,5.734048746930398e-08
1871,2.5490825672491724e-08
1872,2.2979889657825936e-08
1873,1.0774807712721213e-08
1874,2.5093358502203955e-08
1875,1.8881038954532414e-08
1876,4.29267066337502e-08
1877,4.824156540905733e-08
1878,3.0799353234467475e-08
1879,2.2604503158163425e-08
1880,4.043243073681424e-08
1881,2.3009274929819412e-08
1882,3.660461800336634e-08
1883,2.4013487420759816e-08
1884,2.8387296957532726e-08
1885,1.0313017106966527e-08
1886,2.452316305578961e-08
1887,2.285123601453165e-08
1888,2.3460273723685532e-08
1889,2.7566601001893787e-08
1890,7.865263995654459e-09
1891,1.784781566982474e-08
1892,2.1312941633766513e-08
1893,8.005941687372342e-09
1894,9.452309379653911e-09
1895,1.444467478961542e-08
1896,1.0024949537168482e-08
1897,8.740070001067579e-09
1898,1.98042420240796e-08
1899,1.879376654301268e-08
1900,1.038210584169974e-08
1901,8.38310842965484e-09
1902,2.4551420119145462e-08
1903,2.430099099726135e-08
1904,1.3436562973367927e-08
1905,2.5287718585786934e-08
1906,2.05767382577271e-08
1907,4.2685599055403145e-08
1908,2.7994917051188395e-08
1909,3.685659066832159e-08
1910,3.2599319688131345e-08
1911,2.2345570727111408e-08
1912,2.083768479987924e-08
1913,3.606032983327623e-08
1914,1.808120764223986e-08
1915,1.767114277129167e-08
1916,3.2962386153911893e-09
1917,2.52227767560953e-08
1918,1.033773866510046e-08
1919,2.8544330232804782e-08
1920,1.514446346106979e-08
1921,4.240738427085944e-08
1922,4.352981863853245e-08
1923,4.883336135463878e-08
1924,3.609654752878555e-08
1925,2.8595263268371696e-08
1926,3.6782256351841625e-08
1927,5.1286435542863273e-08
1928,5.484499876473592e-08
1929,2.8965056131369238e-08
1930,2.7309368988426286e-08
1931,2.5091784650044247e-08
1932,2.7398841417891617e-08
1933,1.8353059072495626e-08
1934,2.995395043114968e-08
1935,9.574627313213568e-09
1936,1.4549657478823974e-08
1937,2.770046048095054e-08
1938,1.0372171566075394e-08
1939,1.3764645423464117e-08
1940,5.0715658339584024e-09
1941,1.1806010391524069e-08
1942,4.2478965012193726e-08
1943,8.709705845433291e-09
1944,1.927911696952833e-08
1945,3.7034570077310036e-08
1946,2.227376771912759e-08
1947,1.90733930871545e-08
1948,2.2830964674369625e-08
1949,1.4725512254010198e-08
1950,2.8715476663165873e-08
1951,2.2388944032059044e-08
1952,3.1634410646574906e-08
1953,1.8315506888910704e-08
1954,3.322662323057557e-08
1955,2.1586897602787758e-08
1956,2.529131126749462e-08
1957,3.97576700450486e-08
1958,3.226174971615592e-08
1959,1.6276570535822543e-08
1960,3.321999897387684e-08
1961,2.987708525026278e-08
1962,3.424656469519505e-08
1963,2.71574245314099e-08
1964,2.2510682873289056e-08
1965,2.134096854788936e-08
1966,2.4925837394107475e-08
1967,1.8735275775227933e-08
1968,2.8745061331214572e-08
1969,2.9067250384429144e-08
1970,3.862928998898951e-08
1971,2.98027051925942e-08
1972,2.3598675902292143e-08
1973,2.6463378599572707e-08
1974,1.2938814686336286e-08
1975,2.8557400444384484e-08
1976,1.142705374768127e-08
1977,3.114694369088511e-08
1978,1.4257418801122412e-08
1979,1.755592016206009e-08
1980,1.4212877097463661e-08
1981,1.8976649140967083e-08
1982,1.4277255488970297e-08
1983,1.073603728141137e-08
1984,1.5077422255149742e-08
1985,2.2859119819251816e-08
1986,1.678455963105563e-08
1987,3.360949296649096e-08
1988,1.499138480021145e-08
1989,1.8110803079451898e-08
1990,1.525622306264296e-08
1991,2.4618154181865748e-08
1992,1.76318211142501e-08
1993,1.4955860550003308e-08
1994,2.320967773528082e-08
1995,2.6027763055935793e-08
1996,1.975094043871195e-08
1997,1.8700089032819278e-08
1998,2.0026143410234454e-08
1999,1.7366764470949647e-08
2000,1.899753454548403e-08
2001,2.4534786202679015e-08
2002,1.752488554274123e-08
2003,1.9584538435424292e-08
2004,2.114299713085188e-08
2005,2.0717247473100997e-08
2006,1.8530504686253835e-08
2007,2.5564669048350197e-08
2008,2.0861454119724954e-08
2009,1.430457796658402e-08
2010,2.3618964561933353e-08
2011,1.070712138395713e-08
2012,1.4978712298274743e-08
2013,1.589801357226861e-08
2014,2.208754079635611e-08
2015,2.7042220573925135e-08
2016,2.796309006569686e-08
2017,1.0817128748286109e-08
2018,2.0393587818468006e-08
2019,2.7550667969222786e-08
