year,avais_VERB eu_VERB,avais_VERB pu_VERB
1800,1.320549074534938e-07,5.65949598296811e-08
1801,5.9529565277216534e-08,2.8574191901498125e-08
1802,1.0741632650024258e-07,3.3567602031325805e-08
1803,5.070882025393075e-08,2.3404069793286908e-08
1804,1.8291696335381857e-07,3.460591457837836e-08
1805,1.051864728651708e-07,6.538618890772341e-08
1806,1.9019016406218725e-07,3.7461699520235925e-08
1807,9.964342950752325e-08,2.8469550272802735e-08
1808,9.744118045773575e-08,1.8128591960930862e-08
1809,1.5587310997489112e-07,8.132509776714869e-08
1810,1.8018975822542416e-07,4.212228077449254e-08
1811,1.0279014617253779e-07,2.757784400841956e-08
1812,1.1735716043403954e-07,5.601137331723294e-08
1813,1.4091133948568313e-07,5.176335093892703e-08
1814,1.541871768040437e-07,2.2026739543434815e-08
1815,1.9150287755564932e-07,1.0788894222457657e-08
1816,6.257530316133852e-08,1.1588019432906549e-08
1817,1.9149543106777855e-07,4.0478710161551135e-08
1818,1.6928072454902576e-07,5.6029534789558966e-08
1819,6.314140676977331e-08,2.5877625375869684e-08
1820,1.4239776646718383e-07,3.797273961936298e-08
1821,2.1793889004584344e-07,5.9168929311681495e-08
1822,2.666813827545411e-07,7.920236555492011e-08
1823,2.1346603773508832e-07,8.004976592701496e-08
1824,2.4168593881768174e-07,1.1115868403521745e-07
1825,1.2767893053933221e-07,5.811592274085342e-08
1826,1.4621254251778737e-07,7.04638765114396e-08
1827,1.769716391208931e-07,4.977327350275118e-08
1828,2.1463185362335935e-07,6.604057034564903e-08
1829,2.5976723350140674e-07,9.601956918459109e-08
1830,3.0162456710058905e-07,1.3463518655498774e-07
1831,1.2784788339104125e-07,1.0446107978623331e-07
1832,1.7994858581005246e-07,8.659180394943178e-08
1833,2.884323464513727e-07,1.4942881421120546e-07
1834,2.4176435431400023e-07,8.121041616959701e-08
1835,2.3521204184362432e-07,8.773182003096736e-08
1836,1.4852857077585213e-07,8.266522399935639e-08
1837,2.3239356039539416e-07,9.53231023004264e-08
1838,1.5843527023662318e-07,4.292270006089893e-08
1839,1.587064843988628e-07,8.319855737681792e-08
1840,1.9554944685751252e-07,9.490835850556323e-08
1841,1.5024083666048682e-07,7.31942506604355e-08
1842,2.0594373495441687e-07,5.634942823462552e-08
1843,1.890211507316053e-07,8.269675788596942e-08
1844,1.531308555513533e-07,5.982531803283564e-08
1845,1.4229581779545697e-07,6.752075876192976e-08
1846,1.299699334822435e-07,6.322861167973315e-08
1847,1.5424619448367594e-07,4.638172157456211e-08
1848,1.5527277241744741e-07,5.390298696283935e-08
1849,1.1814974953949786e-07,7.373885324568619e-08
1850,2.0570658421092958e-07,8.282574981421931e-08
1851,1.883236109279096e-07,9.545169632474426e-08
1852,1.386746220077839e-07,7.877760310748272e-08
1853,1.409375869343421e-07,7.405195390219887e-08
1854,1.3093074358039303e-07,5.403490987987425e-08
1855,1.6610712805231742e-07,6.633671034705912e-08
1856,1.7861303547306306e-07,8.076415269897552e-08
1857,1.8403289914203924e-07,7.029372994793448e-08
1858,1.888958962581455e-07,7.732008100447274e-08
1859,1.7109702810103045e-07,8.503929649350539e-08
1860,2.5128738911917026e-07,1.414349810602289e-07
1861,2.1882071621348587e-07,9.997842909115207e-08
