year,nos_DET heures_NOUN,nos_DET peurs_NOUN
1800,9.432493364158745e-08,0.0
1801,5.9529563944948904e-08,0.0
1802,1.096541666356643e-07,0.0
1803,8.191424427650418e-08,0.0
1804,5.9324422707618396e-08,0.0
1805,4.5486043376286034e-08,0.0
1806,4.8988376022407465e-08,2.881669125542885e-09
1807,5.97860605466849e-08,0.0
1808,1.0197332755979005e-07,0.0
1809,7.68070356205186e-08,0.0
1810,9.360507213784786e-08,0.0
1811,4.512738271955641e-08,0.0
1812,4.800974684471271e-08,0.0
1813,4.601186631703058e-08,0.0
1814,5.664018942752591e-08,0.0
1815,3.236668177919455e-08,5.394447111228828e-09
1816,8.57513455798653e-08,2.3176038865813098e-09
1817,8.718490818182545e-08,0.0
1818,5.4837415719433125e-08,0.0
1819,9.005413570406517e-08,1.035105001712111e-09
1820,5.22125169766241e-08,0.0
1821,1.3313008651039127e-07,9.86148829262845e-10
1822,5.714601059025881e-08,6.015369535816717e-09
1823,2.1445430498090445e-07,0.0
1824,1.1200079974571509e-07,1.1789557774477544e-08
1825,5.3713202774474667e-08,4.4027217427355936e-09
1826,7.134467683300727e-08,8.807984341885344e-10
1827,6.083400155842966e-08,0.0
1828,9.447469984102952e-08,3.6689205562545624e-09
1829,4.458051439115707e-08,8.57317605795771e-10
1830,1.1271782551780518e-07,0.0
1831,1.1849316616796557e-07,0.0
1832,1.068867558906561e-07,1.3529969367098715e-09
1833,1.8302133453218516e-07,6.950177322551099e-09
1834,1.306834287451153e-07,1.8669061851994684e-09
1835,1.384045091867847e-07,0.0
1836,1.2769425195013895e-07,6.720750067579218e-10
1837,7.51452237102157e-08,0.0
1838,8.521418637386091e-08,1.8936485712828244e-09
1839,8.669429307772702e-08,6.9914751765765e-10
1840,1.0955864837569607e-07,6.369688665408546e-10
1841,1.0658110793926312e-07,2.5682194149112547e-09
1842,1.1202802641108178e-07,4.024959032733477e-09
1843,1.140033822899511e-07,0.0
1844,1.108689349216263e-07,5.488561272137815e-10
1845,1.060243287054341e-07,5.580227946389016e-10
1846,7.025401460580838e-08,0.0
1847,8.035903054093296e-08,1.0786447290911383e-09
1848,8.608387447317511e-08,2.4135665133151463e-09
1849,1.868609524890985e-07,8.379414717651912e-09
1850,1.1744962868931452e-07,0.0
1851,1.186696703125989e-07,1.9348316282474798e-09
1852,8.007971130652436e-08,6.510545436100301e-10
1853,1.0212003753728993e-07,1.7915795513800958e-09
1854,1.184611526650059e-07,1.558699391779328e-09
1855,1.178140038859965e-07,5.306937111981824e-10
1856,1.340891978562908e-07,5.177189232874468e-10
1857,1.581608892742281e-07,6.3459617560823744e-09
1858,9.493731462084654e-08,3.9149408159744326e-09
1859,1.3799789400081863e-07,5.092173349652285e-09
1860,1.4418129579141237e-07,2.7463103458025273e-09
1861,1.348765561459686e-07,4.715963730639317e-10
1862,1.2560001805272947e-07,6.776979422085105e-09
1863,1.7581064803984248e-07,2.497310469529168e-09
1864,1.3185502290014028e-07,0.0
1865,1.3743985505243472e-07,9.41368871743009e-10
1866,1.4791463520680281e-07,2.432806400776144e-09
1867,9.462982575314527e-08,2.426405742994575e-09
1868,1.0274938044840809e-07,0.0
1869,1.3234336893042098e-07,9.767038289254515e-10
1870,8.88777544894026e-08,2.8670243956696595e-09
1871,1.2426777296070668e-07,0.0
1872,1.1368998076299874e-07,7.256807266209364e-09
1873,1.2510749103356034e-07,1.7958012854535355e-09
1874,9.380136356540447e-08,2.3898436007918633e-09
1875,1.0985331994062264e-07,0.0
1876,7.497058351901842e-08,6.04601479992084e-10
1877,9.648312992993624e-08,2.4739263970730008e-09
1878,9.602150763399209e-08,2.4156354694326865e-09
1879,1.0324759713853382e-07,0.0
1880,1.245062188903745e-07,3.2089231272180996e-09
1881,1.3178039104388972e-07,2.789003084036068e-09
1882,1.3510431795538125e-07,5.989846840748214e-09
1883,1.1880356964866223e-07,3.791603475633565e-09
1884,1.1486952899986136e-07,2.6406787867472303e-09
1885,1.1602144323052954e-07,0.0
1886,9.68019551184085e-08,3.872078213618124e-09
1887,9.271072876071429e-08,1.9586774424595887e-09
1888,1.2173980490359781e-07,6.340614699951175e-10
1889,1.0274824385758663e-07,1.2530273485467092e-09
1890,1.1470176214389838e-07,6.554386478008212e-10
1891,1.2111018143912133e-07,1.9122659011827636e-09
1892,1.1784803533032573e-07,1.8805537127519756e-09
1893,1.0715644643832789e-07,1.2316833108982905e-09
1894,1.014547814648381e-07,5.041231432301174e-09
1895,1.3722440495023136e-07,2.4074457982692365e-09
1896,1.191199873185056e-07,6.48673198488936e-09
1897,1.4916387236496575e-07,1.7480140668268973e-09
1898,9.95870483855299e-08,5.6583548957434e-10
1899,9.507434484135047e-08,1.1055156790007459e-09
1900,1.1835600943754798e-07,5.710158568206225e-09
1901,9.780293241945515e-08,3.912117296778206e-09
1902,9.869670414275333e-08,4.910283735171106e-09
1903,8.046328070498987e-08,6.480264325148255e-09
1904,1.193166792035072e-07,2.6873125946735854e-09
1905,8.773290693930846e-08,5.676835002077496e-09
1906,1.1214322293007228e-07,5.144184633820714e-09
1907,1.0131401617652358e-07,3.0857059130084963e-09
1908,1.1787333864532457e-07,2.4556945366072114e-09
1909,1.7713166550192838e-07,2.750491778780173e-09
1910,1.5391153584953798e-07,1.1757131268552712e-08
1911,1.4098991751865242e-07,9.576673676292558e-09
1912,1.192957461704225e-07,2.0837684910901544e-09
1913,1.26211154860556e-07,3.71209285532359e-09
1914,1.299168317370203e-07,3.348371913070025e-09
1915,1.9791679739533663e-07,0.0
1916,1.6920692136324078e-07,2.197492410260793e-09
1917,1.7107621774758996e-07,2.1932848870420685e-09
1918,1.401337943462977e-07,6.89182577673364e-09
1919,2.2743385530432647e-07,6.4454939163738345e-09
1920,1.7264688123574956e-07,4.543339038320937e-09
1921,1.363094488393557e-07,6.058197943303867e-09
1922,1.8002163260089077e-07,6.640141769764796e-09
1923,1.868406860339178e-07,2.1231896241147297e-09
1924,1.7790442086162983e-07,3.867487219366694e-09
1925,1.6937193492161384e-07,9.898360353588487e-09
1926,1.304098180554547e-07,1.5604594283402662e-08
1927,1.6946821956853597e-07,1.4493992672726108e-08
1928,1.0968999442084737e-07,9.14083297942625e-09
1929,9.135133072213364e-08,1.2254447234738564e-08
1930,1.4600008846343826e-07,0.0
1931,1.66518211663913e-07,7.983749661377715e-09
1932,9.753987262328678e-08,3.287861094491973e-09
