year,quels_DET heureux_ADJ
1800,1.7607321112222962e-07
1801,1.7144514652400744e-07
1802,5.370816325012129e-08
1803,2.3404069793286908e-08
1804,3.460591457837836e-08
1805,2.842877755426798e-08
1806,8.645007198992971e-08
1807,3.9857372513552036e-08
1808,9.970725445285211e-08
1809,3.6144488291256494e-08
1810,1.8721014516387413e-08
1811,3.008491944456182e-08
1812,8.268345652595599e-08
1813,8.052076783116036e-08
1814,1.8880061958270744e-08
1815,1.1328339155625144e-07
1816,1.1588019432906549e-08
1817,5.916118794857539e-08
1818,3.457141417584353e-08
1819,4.1404199735417535e-08
1820,3.678608972990105e-08
1821,3.0570614040215105e-08
1822,6.316138012607553e-08
1823,5.138997072329232e-08
1824,5.221090049190025e-08
1825,3.0819050422792316e-08
1826,4.492072036565986e-08
1827,3.226045625082108e-08
1828,3.5771974271625595e-08
1829,3.086343414171466e-08
1830,4.383470941782264e-08
1831,1.7150327158432788e-08
1832,1.488296597074168e-08
1833,2.548398347901326e-08
1834,3.64046690570774e-08
1835,2.571449897459388e-08
1836,1.6129800162190122e-08
1837,1.8090516640256737e-08
1838,3.0298377806659005e-08
1839,5.8728389706885764e-08
1840,1.528725279698051e-08
1841,1.3483152372373297e-08
1842,2.3478927690945284e-08
1843,2.4809025944705354e-08
1844,3.3480224814752546e-08
1845,2.9017184655089068e-08
1846,1.6392603274795192e-08
1847,2.2651539310913904e-08
1848,1.609044403272364e-08
1849,2.9327951622803994e-08
1850,1.1541293254424545e-08
1851,1.9993259492423476e-08
1852,1.1718981562935937e-08
1853,1.3735443449292006e-08
1854,2.8056588163849483e-08
1855,2.600399184871094e-08
1856,4.193523339690586e-08
1857,2.0502338549110988e-08
1858,1.5170396494568195e-08
1859,2.2405562960514658e-08
1860,2.4716793500800804e-08
1861,7.073945651470126e-09
1862,4.427626620895353e-08
1863,3.3963420520422005e-08
1864,3.212467669655439e-08
1865,2.0710115511413107e-08
1866,3.162648276600066e-08
1867,2.6690463172940326e-08
1868,1.5807596565053927e-08
1869,1.9534076911575937e-08
1870,2.6376625328339287e-08
1871,1.3807530230280918e-08
1872,4.4145577526855106e-08
1873,2.0352414864532875e-08
1874,2.867812365359157e-08
1875,2.0025344937835143e-08
1876,1.1487427897804992e-08
1877,2.0409892775852256e-08
1878,2.1740719446938783e-08
1879,2.138263865969492e-08
1880,1.9253538541263993e-08
1881,1.1853263259808955e-08
1882,3.1945848633085916e-08
1883,2.717315822353683e-08
1884,1.2543224237049344e-08
1885,1.353583467533781e-08
1886,2.6459202329132125e-08
1887,1.2404957061562527e-08
1888,1.5217475057838215e-08
1889,1.6289355364573765e-08
1890,7.209825181320184e-09
1891,1.338586197441316e-08
1892,1.5044429702015805e-08
1893,1.1700991287000306e-08
1894,1.3233232731835187e-08
1895,1.625025980445116e-08
1896,1.2383761072154442e-08
1897,1.5149454912766203e-08
1898,1.7540900398849146e-08
1899,1.6029977345510815e-08
1900,1.7130475371551768e-08
1901,8.941982265753268e-09
1902,8.838510923148135e-09
1903,8.640352655575612e-09
1904,1.9348650681649815e-08
1905,2.3223415912543288e-08
1906,1.646139019539916e-08
1907,1.131425531042396e-08
1908,1.1296195090437777e-08
1909,8.251475058784763e-09
1910,1.4429207162436342e-08
1911,2.181353409014264e-08
1912,2.2400511667797218e-08
1913,1.1666577037772186e-08
1914,9.37544086809794e-09
1915,2.94519039156782e-08
1916,9.888715624128963e-09
1917,1.864292187292449e-08
1918,1.2635013924011673e-08
1919,1.6574126959767455e-08
1920,1.1358347151713133e-08
1921,1.2873671018098776e-08
1922,1.8444838545406128e-08
1923,2.0170301429089932e-08
1924,3.867487219366694e-09
1925,1.429763130111894e-08
1926,1.6719207573956396e-08
1927,2.2298449309232637e-08
1928,9.14083297942625e-09
1929,1.1140406375176326e-09
1930,1.575540553577781e-08
1931,9.124285327288817e-09
1932,1.3151444377967891e-08
1933,4.588264879146209e-09
1934,1.0783422155213884e-08
1935,5.98414207075848e-09
1936,1.576212893539264e-08
1937,7.554670666820584e-09
1938,9.075650453382877e-09
1939,0.0
1940,0.0
1941,5.9030051957620344e-09
1942,9.102635312174812e-09
1943,5.806470415592457e-09
1944,3.2131861615880553e-09
1945,4.357008087652048e-09
1946,8.352662561605939e-09
1947,2.3841741914054637e-09
1948,4.348755133776194e-09
1949,8.835307596655184e-09
1950,1.701657836861159e-08
1951,1.0661401983469432e-08
1952,9.490323193972472e-09
1953,1.0773827385790469e-09
1954,2.9317608341017376e-09
1955,2.815682353940474e-09
1956,2.616342476002842e-09
1957,6.184526502028831e-09
1958,4.136121722897457e-09
1959,8.525822714489095e-09
1960,6.920833239831836e-09
1961,4.16889545107324e-09
1962,3.805173953708163e-09
1963,6.466053470433053e-09
1964,9.125952438182594e-09
