year,pas_ADV heureux_ADJ,pas_ADV peureux_ADJ
1800,1.0595833828119794e-06,1.8864987794131594e-08
1801,9.548542720949627e-07,2.6193008650921e-08
1802,1.1502497727633454e-06,2.2378401354217203e-09
1803,9.907723779178923e-07,7.801356893821776e-09
1804,1.0975018085446209e-06,0.0
1805,1.1229367373744026e-06,2.842877711017877e-09
1806,1.0892708814935759e-06,2.305335300434308e-08
1807,8.085352760645037e-07,1.7081731584767113e-08
1808,1.0673207953004749e-06,6.798221985349073e-09
1809,8.132510060931963e-07,1.581321384946932e-08
1810,1.1162404689457617e-06,2.3401267590372754e-09
1811,1.143226995736768e-06,0.0
1812,1.0108718697665608e-06,0.0
1813,1.0784031019284157e-06,3.163315653864629e-08
1814,8.307227403747675e-07,1.5733386149463513e-08
1815,8.712032126823033e-07,2.1577788444915313e-08
1816,8.343374133801262e-07,0.0
1817,8.734060088499973e-07,1.556873407970727e-09
1818,1.1849650718431803e-06,1.7881765401739358e-08
1819,9.212434406435932e-07,4.140420006848444e-09
1820,1.2032611493850709e-06,2.3732962262101864e-09
1821,1.3539823839892051e-06,6.903041693817613e-09
1822,1.2351558780210325e-06,0.0
1823,1.0940134416159708e-06,2.9648061783404955e-09
1824,1.1587451353989309e-06,5.052667617633233e-09
1825,1.0584142273728503e-06,8.805443041381977e-10
1826,8.755136491345183e-07,4.403992281964975e-09
1827,9.244924967788393e-07,6.452091305675367e-09
1828,9.805189620237797e-07,3.668920500743411e-09
1829,1.0905080216616625e-06,2.571952872898464e-09
1830,1.0457710004629917e-06,1.1480519646056564e-08
1831,1.0383743074271479e-06,3.1182413096075834e-08
1832,1.1162225064254017e-06,1.7588959622116818e-08
1833,1.1421457202231977e-06,1.50587169400751e-08
1834,1.2078883173671784e-06,1.8669061851994684e-09
1835,1.0429498615849297e-06,6.050470346963266e-09
1836,9.83917857411143e-07,9.409050427677812e-09
1837,8.446879746770719e-07,1.530736071231331e-08
1838,8.887524245437817e-07,5.049729523420865e-09
1839,8.508625342074083e-07,9.088918062616358e-09
1840,9.006739674077835e-07,5.095750932326837e-09
1841,9.617981504561612e-07,4.494383976094696e-09
1842,1.0075814316223841e-06,2.0124795163667386e-09
1843,1.135898969550908e-06,1.1813822142769936e-09
1844,1.0000159136325237e-06,6.586273748609983e-09
1845,1.0942826520476956e-06,1.1160455892778032e-09
1846,9.548691650707042e-07,4.6836010625384006e-09
1847,8.337923986800888e-07,2.6966118227278457e-09
1848,8.029131208786566e-07,2.413566457803995e-09
1849,8.748108939471422e-07,3.3517659758786067e-09
1850,7.888813229328662e-07,7.467895635215882e-09
1851,8.91312424755597e-07,5.159551008659946e-09
1852,9.948113302016282e-07,4.557382027314816e-09
1853,9.90743501461111e-07,1.4332636411040767e-08
1854,9.045651836459001e-07,7.79349651480743e-09
1855,1.1059656799261575e-06,7.429711956774554e-09
1856,9.494964956502372e-07,5.177189343896771e-09
1857,1.0265813443766092e-06,3.905207268672939e-09
1858,1.0589915291348007e-06,8.31924928945682e-09
1859,1.1319901886963635e-06,2.036869339860914e-09
1860,1.0454288030814496e-06,5.950338888283113e-09
1861,1.0761829116745503e-06,9.431927239234028e-09
1862,1.0287454870194779e-06,9.035972858839614e-09
1863,1.0443752671562834e-06,1.1987090431375691e-08
1864,1.0687448366297758e-06,5.753673537611803e-09
1865,1.0180904155276949e-06,2.3534221238463715e-09
1866,8.738640531191777e-07,7.784980660119345e-09
1867,9.152402640211221e-07,1.94112459439566e-09
1868,9.72661155174137e-07,2.9639244392143382e-09
1869,9.273803129872249e-07,5.860222973552709e-09
1870,9.707744084153092e-07,1.1468097582678638e-09
1871,8.613774866716994e-07,6.37270636261178e-09
1872,8.460227718387614e-07,8.4662747923403e-09
1873,8.194840006581217e-07,4.190203295451056e-09
1874,8.298732154798927e-07,1.0754296120296658e-08
1875,9.686544899523142e-07,1.0298748520654044e-08
1876,8.234671895479551e-07,2.418405919968336e-09
1877,8.788623517830274e-07,7.421779191219002e-09
1878,8.545310379304283e-07,7.850815109122777e-09
1879,8.882959150469105e-07,9.163987790827832e-09
1880,8.818120704745525e-07,3.8507077526617195e-09
1881,9.022425047078286e-07,9.761510710859511e-09
1882,8.95814821433305e-07,1.7304001787010748e-08
1883,7.924451210783445e-07,3.159669414998234e-09
1884,7.988053312146803e-07,7.922036360241691e-09
1885,8.211740123442723e-07,1.2891271161663553e-08
1886,8.389503136640997e-07,3.872078213618124e-09
1887,7.534379165008431e-07,2.9380160526670807e-08
1888,7.114169875421794e-07,8.876860135842435e-09
1889,8.188533797692799e-07,1.3783300722991498e-08
1890,6.908323371135339e-07,1.5075089621063853e-08
1891,6.163870693853823e-07,7.0116419337296065e-09
1892,7.139835815905826e-07,9.402768341715273e-09
1893,7.328515607696318e-07,1.0469308087124318e-08
1894,7.876923859839735e-07,5.671385139294216e-09
1895,7.47511933241185e-07,5.416753268150387e-09
1896,7.005670568105415e-07,1.2973464080801023e-08
1897,6.36859795122291e-07,3.4960281336537946e-09
1898,7.027676929283189e-07,1.4711722506888236e-08
1899,7.008969191701908e-07,3.8693048765026106e-09
1900,6.815852771069331e-07,9.34389543516545e-09
1901,6.689720635222329e-07,7.265360757457984e-09
1902,5.499517783391639e-07,6.38336894454028e-09
1903,6.944683264009655e-07,7.560307935250421e-09
1904,6.223816058081866e-07,1.3974025492302644e-08
1905,6.234196803234227e-07,2.0643036169332163e-09
1906,6.260472673602635e-07,9.259531807970234e-09
1907,6.289697580541542e-07,9.257117739025489e-09
1908,7.214830475277267e-07,2.9468334439286537e-09
1909,7.426327783832676e-07,4.950885035270858e-09
1910,8.165862368514354e-07,1.068830179917768e-08
1911,6.671749019915296e-07,8.51259862599818e-09
1912,6.668059313597041e-07,8.856016364688912e-09
1913,6.920401460774883e-07,6.893886794756554e-09
1914,6.49584137590864e-07,1.339348720819089e-08
1915,4.040801400151395e-07,9.424609537234119e-09
1916,4.713621137852897e-07,2.6369908923129515e-08
1917,4.989723265680368e-07,5.483212106582869e-09
1918,5.731701548938872e-07,9.189101035644853e-09
1919,6.104803560447181e-07,5.524709134618888e-09
1920,6.898303013258555e-07,2.2716695191604686e-09
1921,6.701881716253411e-07,1.741731914250977e-08
1922,6.367158107423165e-07,7.377935595798135e-09
1923,7.770873935442069e-07,1.1677542488541803e-08
1924,7.283767899934901e-07,2.578324886925998e-09
1925,7.577744440823153e-07,7.698724324711748e-09
