year,dix_DET oies_NOUN,dix_DET poids_NOUN
1800,0.0,1.8864987794131594e-08
1801,7.143547975374531e-09,7.143547975374531e-09
1802,3.1329761895904085e-08,6.713520406265161e-09
1803,1.950339267864365e-08,0.0
1804,0.0,0.0
1805,2.842877755426798e-08,0.0
1806,0.0,8.645007376628655e-09
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,1.581321384946932e-08,9.036122072814123e-09
1810,0.0,9.360507036149102e-09
1811,2.5070767684098882e-09,1.0028307073639553e-08
1812,0.0,2.6672082320544632e-09
1813,0.0,5.751483289628823e-09
1814,0.0,3.1466771410748606e-09
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,1.668964877410417e-08,7.152706427149269e-09
1819,0.0,8.280840013696888e-09
1820,0.0,5.933240565525466e-09
1821,0.0,9.86148829262845e-10
1822,6.015369535816717e-09,0.0
1823,1.9765373782121287e-09,1.9765373782121287e-09
1824,0.0,3.3684450784221553e-09
1825,1.7610886082763955e-09,8.805443041381977e-10
1826,8.807984341885344e-10,5.284790383086602e-09
1827,9.217273055917019e-10,9.217273055917019e-10
1828,1.8344602503717056e-09,0.0
1829,0.0,6.001223074036943e-09
1830,4.174734336004349e-09,9.39315203396518e-09
1831,3.1182412207897414e-09,1.5591206103948707e-09
1832,0.0,0.0
1833,1.1583628500844156e-09,3.4750886612755494e-09
1834,0.0,0.0
1835,5.294161553592858e-09,3.025235173481633e-09
1836,1.3441500135158435e-09,2.016224964762614e-09
1837,2.7831562610103333e-09,0.0
1838,6.312161904276081e-10,6.312161904276081e-10
1839,7.690622361167243e-09,1.3982950353153e-09
1840,5.095750932326837e-09,1.9109065441114126e-09
1841,0.0,0.0
1842,0.0,0.0
1843,5.906911071384968e-10,4.7255288571079745e-09
1844,6.586273748609983e-09,1.097712254427563e-09
1845,1.0602433153650281e-08,1.1160455892778032e-09
1846,1.1709002656346001e-09,2.9272506640865004e-09
1847,0.0,0.0
1848,2.413566457803995e-09,0.0
1849,0.0,0.0
1850,0.0,7.467895635215882e-09
1851,0.0,6.449438760824933e-10
