year,ayons_VERB assez_ADV,ayons_VERB passé_VERB
1800,4.4018303668735825e-08,6.288328968651058e-09
1801,2.6193008650921e-08,9.524730337773235e-09
1802,1.5664880947952042e-08,0.0
1803,4.095712347051972e-08,1.1702034896643454e-08
1804,2.4718509461507665e-09,4.943701981119375e-08
1805,1.9900143755080535e-08,4.8328921309348516e-08
1806,3.7461699520235925e-08,2.305335300434308e-08
1807,2.8469550716891945e-08,5.693910232196231e-09
1808,2.039466551195801e-08,4.5321479902327155e-09
1809,6.7770917766551975e-09,0.0
1810,3.978215445954447e-08,1.4040760554223652e-08
1811,1.7549536934780008e-08,1.504245972228091e-08
1812,5.601137331723294e-08,0.0
1813,2.5881675469463516e-08,2.8757416448144113e-09
1814,3.1466771410748606e-09,0.0
1815,1.6183340889597275e-08,0.0
1816,2.5493642752394408e-08,0.0
1817,2.6466848268569265e-08,6.227493631882908e-09
1818,4.530047448270125e-08,1.1921177378582115e-09
1819,2.173720581311045e-08,3.1053151161586356e-09
1820,3.20394981656591e-08,1.898636980968149e-08
1821,4.7335142028259725e-08,9.861488514673056e-09
1822,2.7069162911175226e-08,2.2056354964661296e-08
1823,1.087095569118901e-08,6.917880934764753e-09
1824,1.3473780313688621e-08,1.6842225392110777e-09
1825,1.0566531649658373e-08,1.7610886082763955e-09
1826,1.145037931138404e-08,5.284790383086602e-09
1827,3.502563927781921e-08,1.566936447261469e-08
1828,5.5033806956039655e-09,1.3758452155343548e-08
1829,3.257806824308318e-08,1.971830521085849e-08
1830,2.6092090266160994e-08,7.305785310052215e-09
1831,3.1182412207897414e-09,2.182768810143898e-08
1832,2.0294954161670375e-08,1.488296597074168e-08
1833,3.243416024645285e-08,1.6217079235048004e-08
1834,1.6802156110884425e-08,1.6802156110884425e-08
1835,4.0084366048631637e-08,1.0588323107185715e-08
1836,2.2178475944656384e-08,1.2097349788575684e-08
1837,1.461157150828285e-08,6.957891152126194e-09
1838,1.5780404538645598e-08,1.0730675015224733e-08
1839,2.0974425751774106e-08,1.8876983531868063e-08
1840,3.694419481448108e-08,8.917564464638872e-09
1841,1.8619590314017387e-08,8.988767952189392e-09
1842,2.884554017867913e-08,2.4149754196400863e-08
1843,2.8943864194275193e-08,1.1223130869097986e-08
1844,1.920996384185969e-08,9.330554107123135e-09
1845,1.5624638138866942e-08,1.674068439427856e-09
1846,1.9905304959877412e-08,5.854501328173001e-09
1847,2.3190860787281053e-08,1.1325769655456952e-08
1848,1.769948759777762e-08,1.045878850192139e-08
1849,1.0893239421605472e-08,2.011059585527164e-08
1850,6.1100964288129944e-09,2.5119284430275002e-08
1851,2.192809134271556e-08,1.1608989325395669e-08
1852,1.1718981784980542e-08,3.906327261660181e-09
1853,2.20961471342207e-08,1.970737528722566e-08
1854,3.3771819119010615e-08,1.0910895298366086e-08
1855,3.92713346286655e-08,7.960405667972736e-09
1856,3.468716780474779e-08,1.0872097000458325e-08
1857,1.7085282633111376e-08,1.0251168802710708e-08
1858,2.0553438895287712e-08,1.6149130033227266e-08
1859,1.7313389832906978e-08,1.476730293603623e-08
1860,1.2358396528355797e-08,9.15436793036406e-09
1861,2.1221837620544193e-08,1.6977470096435354e-08
1862,5.2860440025170874e-08,1.445755604123633e-08
1863,6.992469103739296e-09,1.048870412745373e-08
1864,1.4863656194741282e-08,1.102787461348953e-08
1865,1.647395531101381e-08,2.3534221682552925e-08
1866,2.4328065451051373e-08,1.8002767276925624e-08
1867,1.067618526917613e-08,7.76449837758264e-09
1868,2.0747470519388855e-08,1.877152122631287e-08
1869,2.0022429048083268e-08,2.0510780629479086e-08
1870,1.4335122422437507e-08,1.0321287824410774e-08
1871,2.0180236148803488e-08,5.3105884134652115e-09
1872,3.0236695813812275e-08,2.2979889990892843e-08
1873,1.915521447015678e-08,1.0774807712721213e-08
1874,1.6131444624534197e-08,2.9873046258899194e-09
1875,2.4030413214859436e-08,1.602027666081085e-08
1876,3.929909553335165e-08,1.3301232115736639e-08
1877,1.3606595627990714e-08,1.2988113695655557e-08
1878,3.6234532041490297e-09,2.3552445327368332e-08
1879,5.498392741110081e-09,1.4051448005147904e-08
1880,1.4119262203848848e-08,1.4761046607247863e-08
1881,1.743126809561346e-08,1.1853263259808955e-08
1882,7.986462158271479e-09,1.3976308999019693e-08
