year,tes_DET airs_NOUN,tes_DET pairs_NOUN
1800,6.288328968651058e-09,6.288328968651058e-09
1801,7.143547975374531e-09,0.0
1802,2.0140561218795483e-08,0.0
1803,7.801356893821776e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,1.1371510622026904e-08,0.0
1806,8.645007376628655e-09,0.0
1807,1.9928686256776018e-08,0.0
1808,2.2660739507074368e-08,2.2660739951163578e-09
1809,6.7770917766551975e-09,0.0
1810,7.020380365929668e-08,0.0
1811,2.2563690471599784e-08,2.5070767684098882e-09
1812,1.0668832928217853e-08,0.0
1813,5.751483289628823e-09,0.0
1814,6.293354282149721e-09,3.1466771410748606e-09
1815,2.697223555614414e-09,5.394447111228828e-09
1816,4.6352077731626196e-09,1.3905623319487859e-08
1817,1.71256075987003e-08,1.2454987263765815e-08
1818,1.5497530370112145e-08,2.384235475716423e-09
1819,1.1386155129855524e-08,5.175524897538253e-09
1820,1.3053129244156025e-08,2.3732962262101864e-09
1821,1.577838126820552e-08,2.9584463767662328e-09
1822,6.015369535816717e-09,4.010246357211145e-09
1823,2.569498536164616e-08,2.9648061783404955e-09
1824,2.86317822784099e-08,6.736890156844311e-09
1825,8.805443485471187e-09,1.2327619813845558e-08
1826,1.2331177745572575e-08,3.5231937367541377e-09
1827,8.295545583791863e-09,9.217273055917019e-10
1828,2.0179061976932644e-08,1.8344602503717056e-09
1829,6.001223074036943e-09,7.715858174606183e-09
1830,1.2524203008013046e-08,5.218417920005436e-09
1831,1.5591206103948707e-09,7.795603274018958e-09
1832,1.7588959622116818e-08,5.411987857861789e-09
1833,1.737544208513242e-08,3.475088550253247e-09
1834,8.401078055442213e-09,1.8669061851994684e-09
1835,1.5126175867408165e-08,4.5378527602224494e-09
1836,5.376600054063374e-09,4.032449929525228e-09
1837,1.0436836728189292e-08,6.957891041103892e-09
1838,1.1361891871786156e-08,3.1560809521380406e-09
1839,1.11863602825224e-08,0.0
1840,1.1465439264668476e-08,3.1848443882154243e-09
1841,1.4767262079828924e-08,8.346713542550788e-09
1842,1.6770663080478698e-08,3.3541325272778977e-09
1843,9.451057714215949e-09,2.3627644840651385e-09
1844,1.2623690537338916e-08,1.6465684371524958e-09
1845,1.0602432709561072e-08,1.1160456114822637e-08
1846,1.4636253320432502e-08,4.6836010625384006e-09
1847,8.089835468183537e-09,0.0
1848,3.218088684420195e-09,4.02261068899179e-09
1849,1.759677159540729e-08,8.379414939696517e-10
1850,1.9009189777818847e-08,1.0183494048021657e-08
1851,1.2253933867611977e-08,1.9348316282474798e-09
1852,2.0833745395520964e-08,9.765818376195057e-09
1853,1.911018188138769e-08,1.134667004798473e-08
1854,5.195664343204953e-09,1.0391328908454511e-09
1855,1.8043586180738203e-08,7.960405667972736e-09
1856,8.28350277259915e-09,2.5885946164372342e-09
1857,1.2203773158692144e-08,4.39335834379051e-09
1858,1.0276719919488642e-08,5.872411334983951e-09
1859,1.833182472488204e-08,1.1202781813324236e-08
1860,3.066713105681629e-08,5.034902272882391e-09
1861,2.2165029811560544e-08,9.43192779434554e-09
1862,2.5300723294208183e-08,1.4005757553725573e-08
1863,1.3984937929922836e-08,1.9978482868054925e-08
1864,1.9658385475018747e-08,2.3973640850272204e-09
1865,1.1767110619231858e-08,5.6482132304580546e-09
1866,8.75810357570117e-09,1.5083399862447777e-08
1867,9.220341823379385e-09,5.338092634588065e-09
1868,1.0867722721741302e-08,1.1361710017254723e-08
1869,1.3673853160867111e-08,4.395167341186834e-09
1870,1.9495765002375265e-08,2.2936195165357276e-09
1871,3.292564798584863e-08,1.0621177493064238e-08
1872,1.5118348239973045e-08,9.071009277050734e-09
1873,1.616221290134945e-08,1.7958013409646867e-09
1874,5.377148060148329e-09,2.987304514867617e-09
1875,1.6020276105699338e-08,1.2587359599081083e-08
1876,6.04601479992084e-09,1.209202959984168e-09
1877,2.040989244278535e-08,2.4739263970730008e-09
1878,1.5701630218245555e-08,1.0266450800600069e-08
1879,7.331190210457805e-09,3.0546627449723474e-09
1880,1.5402831010646878e-08,1.4119261537715033e-08
1881,1.1156012114099667e-08,6.972507571312292e-10
1882,1.7969540300200038e-08,1.9966155395678697e-09
1883,1.2006744321002571e-08,6.951272724098345e-09
1884,1.9144920315739e-08,1.3203393933736152e-09
1885,1.9336907408629145e-08,6.445635636342928e-09
1886,1.0325542199041138e-08,1.936039106809062e-09
1887,1.3057849523878673e-08,7.181816974455302e-09
1888,1.268122939990235e-08,9.510921827882157e-09
1889,2.5060547415023393e-08,9.397704836544563e-09
1890,1.0487018642368895e-08,1.9663159434024635e-09
1891,1.0198752065093686e-08,6.374220040683554e-10
1892,8.775917548220491e-09,4.387958663087943e-09
1893,1.0469308087124318e-08,3.6950499326948716e-09
1894,5.041231432301174e-09,6.301539290376468e-10
1895,1.3842813118003505e-08,3.611168697403855e-09
1896,1.592197795829975e-08,7.66613794667137e-09
1897,8.740070001067579e-09,1.7480140668268973e-09
1898,1.1882545059016536e-08,6.224190496340043e-09
1899,1.713549302451156e-08,1.6582735185011188e-08
1900,2.0245107479333058e-08,3.63373708900383e-09
1901,1.2854099118442264e-08,6.147612641171918e-09
1902,1.276673788908056e-08,4.419255628107521e-09
1903,1.836074847716418e-08,3.7801539676252105e-09
1904,1.4511488011237361e-08,3.2247751136083025e-09
1905,1.6514428768932277e-08,8.257214301199411e-09
1906,1.8519063615940468e-08,5.658602919567102e-09
1907,1.1314255643490867e-08,1.5428529565042481e-09
1908,1.964555629285769e-08,1.4734167219643268e-09
1909,8.801573692096554e-09,4.400786846048277e-09
1910,2.4048677604859847e-08,3.7409054742809644e-09
1911,6.916486494645824e-09,3.1922244847493175e-09
1912,1.250261111307438e-08,2.6047106693738442e-09
1913,1.5378670781274195e-08,4.7726907426159926e-09
1914,2.142958016593255e-08,3.3483718020477227e-09
1915,5.890381071793627e-09,2.3561523843085297e-09
1916,1.8678685265172135e-08,5.493730803607377e-09
1917,1.3159709100207806e-08,8.773139548168274e-09
1918,3.790504266021344e-08,4.594550517822427e-09
1919,2.4861190051073123e-08,3.6831393490643904e-09
1920,1.514446346106979e-08,7.572231730534895e-10
1921,2.1960968377143786e-08,5.300923255902035e-09
1922,2.360939327372691e-08,5.902348387820666e-09
1923,1.5923921736771263e-08,1.0615948120573648e-08
1924,7.734974660777993e-09,9.024136882196387e-09
1925,3.7393804941388e-08,4.399271169575059e-09
1926,3.4553027994377317e-08,6.687683296036084e-09
1927,4.2367055641534535e-08,1.7838760135724385e-08
1928,2.742249805010033e-08,5.713020612141406e-09
1929,2.33948540540041e-08,1.2254446790649354e-08
1930,1.2604324695075775e-08,4.201441416995522e-09
1931,1.1405356659111021e-08,4.5621426636444085e-09
1932,1.753525868952721e-08,5.4797681947604815e-09
1933,1.7205992852709073e-08,1.1470662197865522e-09
1934,1.9170528275935794e-08,8.38710612072191e-09
1935,2.5133396697185617e-08,1.196828414151696e-09
1936,1.33371855781661e-08,6.0623572828433225e-09
1937,2.1404900962807005e-08,6.295559074054324e-09
1938,1.2965214124527336e-08,2.5930428915188486e-09
1939,2.141167065872196e-08,4.588215141154706e-09
1940,2.5357829613881222e-08,0.0
1941,2.6563523380929155e-08,8.854508237732261e-09
1942,6.068423519245414e-08,6.068423541449874e-09
1943,2.9032351633873077e-08,8.709705845433291e-09
1944,1.927911696952833e-08,1.2852744646352221e-08
1945,4.1391576388605245e-08,2.178504043826024e-09
1946,3.480275978517966e-08,2.7842208538686464e-09
1947,4.053096236411591e-08,0.0
1948,2.3918154123947488e-08,4.348755133776194e-09
1949,2.0615717910565934e-08,3.926803215925645e-09
1950,2.9779013033248702e-08,4.2541445921528975e-09
1951,2.452122438434401e-08,4.264560704569931e-09
1952,3.0579932142060784e-08,9.490323193972472e-09
1953,3.5553629373907825e-08,1.0773827385790469e-09
1954,2.443134050622575e-08,9.772536113672459e-10
1955,1.3139851429144755e-08,2.815682353940474e-09
1956,2.3547082950159393e-08,7.849027428008526e-09
1957,2.3854601516326568e-08,9.718541527092839e-09
1958,3.391619785020339e-08,1.0753916535044539e-08
1959,2.4802393583378546e-08,3.1002992395556817e-09
1960,2.9759583741739704e-08,4.152500121534786e-09
1961,2.0844478476611528e-08,1.3896318540318475e-08
1962,2.1562651220108364e-08,3.170978146727066e-09
1963,2.9097239950814924e-08,3.2330265131719216e-09
1964,2.2510682873289056e-08,7.300761994954996e-09
1965,1.9699356812452606e-08,9.849678406226303e-09
1966,2.4371929474575893e-08,7.200797402795445e-09
1967,2.120044340081506e-08,6.4094360374689074e-09
1968,2.5601070541281246e-08,4.940557268851009e-09
1969,2.452549263676218e-08,4.541757803178115e-09
