year,avions_VERB osé_VERB,avions_VERB posé_VERB
1800,0.0,9.432493897065797e-09
1801,7.143547975374531e-09,1.6668277424969347e-08
1802,2.6854081625060644e-08,1.1189200677108602e-08
1803,5.070882025393075e-08,7.801356893821776e-09
1804,0.0,1.2359254952798437e-08
1805,1.421438877713399e-08,3.1271653710973624e-08
1806,8.645007376628655e-09,0.0
1807,1.7081731584767113e-08,2.8469551160981155e-09
1808,4.5321479902327155e-09,0.0
1809,1.3554183553310395e-08,6.7770917766551975e-09
1810,3.2761775514700275e-08,0.0
1811,0.0,5.0141535368197765e-09
1812,2.6672082320544632e-09,2.6672082320544632e-09
1813,8.339650747757332e-08,0.0
1814,2.5173417128598885e-08,0.0
1815,5.394447111228828e-09,5.394447111228828e-09
1816,1.3905623319487859e-08,1.1588019432906549e-08
1817,1.8682481339737933e-08,2.1796227045456362e-08
1818,1.5497530370112145e-08,0.0
1819,4.140420006848444e-09,1.035105001712111e-09
1820,1.1866481131050932e-08,4.746592452420373e-09
1821,2.2681422962023134e-08,2.9584463767662328e-09
1822,1.2030739071633434e-08,5.012807946513931e-09
1823,2.8659792761231984e-08,0.0
1824,3.2000230021367315e-08,1.3473780313688621e-08
1825,7.924898959288385e-09,3.258013947515792e-08
1826,9.688783109140786e-09,1.145037931138404e-08
1827,9.217273166939322e-09,5.530363722527909e-09
1828,9.172301140836225e-09,2.7516904310687096e-09
1829,3.429270423183084e-09,5.143905745796928e-09
1830,3.235419043789989e-08,1.982998831806526e-08
1831,3.897801548191637e-08,9.354723218280014e-09
1832,4.464889968858188e-08,1.488296597074168e-08
1833,1.7375443306377747e-08,6.950177322551099e-09
1834,1.213489042584115e-08,5.600718555598405e-09
1835,5.294161553592858e-09,1.5126175867408165e-09
1836,1.1425274948351216e-08,1.1425274948351216e-08
1837,1.6003149028165353e-08,5.5663127440652715e-09
1838,4.418513555037862e-09,1.0730675015224733e-08
1839,2.7965900706306e-09,6.292327547896548e-09
1840,1.0191501864653674e-08,8.280594876453051e-09
1841,6.420548537278137e-09,1.1556987367100646e-08
1842,1.0062397137744483e-08,1.1404051036834062e-08
1843,8.860366662588604e-09,7.678984559333912e-09
1844,1.3721403568922597e-08,8.781698035420504e-09
1845,2.2320911785556063e-09,1.2276501593078137e-08
1846,5.854501328173001e-09,1.4636253098387897e-08
1847,5.9325460100012606e-09,1.77976389181822e-08
1848,1.287235473768078e-08,1.367687652020777e-08
1849,1.1731181359664333e-08,2.3462362719328667e-08
1850,1.425689166723032e-08,1.2899092460827433e-08
1851,3.418202609850596e-08,6.449438760824933e-09
1852,1.6276363368206148e-08,1.4323200403509873e-08
1853,5.3747388761848924e-09,2.6873692604567623e-08
1854,7.79349651480743e-09,1.8184826089395756e-08
1855,1.4859423913549108e-08,1.963566731433275e-08
1856,4.659470143053568e-09,1.8120163147727908e-08
1857,9.763017949637742e-09,2.147863931156735e-08
1858,1.0276719919488642e-08,2.5936483183386372e-08
1859,1.476730293603623e-08,6.619825576592575e-09
1860,6.408057640072684e-09,2.1055045706930287e-08
1861,3.3011746669586728e-09,2.1221836732365773e-08
1862,1.3102160245637151e-08,4.9697850279528666e-09
1863,1.4484400345793347e-08,1.4484400345793347e-08
1864,6.712618905169165e-09,1.1507347075223606e-08
1865,3.294791106611683e-09,1.553258677233771e-08
1866,9.731225603104576e-09,1.4596838404656864e-08
1867,1.067618526917613e-08,1.649955905236311e-08
1868,4.939874287401835e-09,1.5807597009143137e-08
1869,1.7580669364747337e-08,8.790334682373668e-09
1870,3.4404292748035914e-09,4.013834153937523e-09
1871,5.3105884134652115e-09,5.3105884134652115e-09
1872,9.071008832961525e-09,1.1489944995446422e-08
1873,1.2570609442263958e-08,8.380406590902112e-09
1874,2.2106053876314036e-08,1.0156835372754358e-08
1875,5.149374260327022e-09,1.1443054503956773e-08
1876,6.650616057868319e-09,2.0556450763820067e-08
1877,7.421779191219002e-09,5.566334504436554e-09
1878,5.435179861734696e-09,7.2469061862534545e-09
1879,4.27652757650776e-09,1.0996785704264767e-08
1880,1.3477476912271413e-08,1.4119262203848848e-08
1881,1.1853263259808955e-08,1.673401861523871e-08
1882,5.989846840748214e-09,1.4641846846075168e-08
1883,7.58320695126713e-09,8.21514056781325e-09
1884,4.621187876807653e-09,6.601696966868076e-09
1885,2.5782542767416317e-09,1.6114089618213256e-08
1886,1.2261581083805595e-08,9.680196200179125e-09
1887,1.0446279397058333e-08,2.2198344495905076e-08
1888,4.4384300679212174e-09,1.9655905347804037e-08
1889,5.6386229019267375e-09,3.3205225236088154e-08
1890,1.3108772733971819e-08,1.7696843102044113e-08
1891,1.2748440525456317e-08,1.529812720946211e-08
1892,5.641661360300532e-09,1.1283322720601063e-08
1893,3.695050043717174e-09,1.23168328869383e-08
1894,4.411077725308132e-09,9.452309157609307e-09
1895,1.3842813118003505e-08,1.6852119699706236e-08
1896,1.0614652268259306e-08,2.7716035688740703e-08
1897,4.078699600285063e-09,7.574727511894253e-09
1898,2.8291773368493978e-09,1.584339415217073e-08
1899,1.6582735185011188e-09,2.5426860617017155e-08
1900,2.07642125715779e-09,1.349673794948103e-08
1901,2.794369402536745e-09,9.500856101851696e-09
1902,2.9461704187383475e-09,1.2275709337927765e-08
1903,8.640352433531007e-09,1.6200660368781428e-08
1904,6.987012746151322e-09,8.599400302955473e-09
