year,plusieurs_DET hommes_NOUN,plusieurs_DET pommes_NOUN
1800,2.2449333414442663e-06,3.144164484325529e-09
1801,2.221643455868616e-06,0.0
1802,2.3184023234534834e-06,2.2378401354217203e-09
1803,2.0459058731603363e-06,9.751696339321825e-09
1804,2.3087087868134404e-06,4.2021465418429216e-08
1805,2.658090664908741e-06,2.55858996212055e-08
1806,2.141080074125057e-06,1.4408345627714425e-08
1807,1.8676026058983553e-06,0.0
1808,2.1097148419357836e-06,1.1330369531492579e-08
1809,1.798188293378189e-06,9.036122072814123e-09
1810,2.33076622180306e-06,9.360507036149102e-09
1811,2.218763000882973e-06,5.0141535368197765e-09
1812,2.1551041697875917e-06,0.0
1813,1.9008652714092023e-06,2.8757416448144113e-09
1814,1.8408061208674553e-06,3.1466771410748606e-09
1815,2.2953373104428465e-06,0.0
1816,2.6490213400620632e-06,2.3176038865813098e-09
1817,2.0986653765930896e-06,1.8682481339737933e-08
1818,2.642925011286934e-06,7.152706427149269e-09
1819,2.4894276151599115e-06,0.0
1820,2.6260522787424634e-06,2.3732962262101864e-08
1821,2.5521531057393076e-06,9.861488514673056e-09
1822,2.09535362216684e-06,7.017931125119503e-09
1823,2.6040879248512283e-06,1.9765373782121287e-09
1824,2.6745454988486017e-06,1.2631669044083083e-08
1825,2.2902958107806626e-06,1.4969252504215547e-08
1826,3.3893123827510863e-06,4.403992281964975e-09
1827,1.9190362650078896e-06,0.0
1828,1.961955220508571e-06,4.586150625929264e-09
1829,1.8655230888953156e-06,0.0
1830,1.9088972322833797e-06,4.174734336004349e-09
1831,2.0892216241463757e-06,1.5591206103948707e-09
1832,2.236503831909431e-06,1.6235963018473853e-08
1833,1.95068307107249e-06,2.3167257001688313e-09
1834,2.1600104105345963e-06,0.0
1835,2.1509422225562957e-06,9.075705520444899e-09
1836,2.218519682628539e-06,1.2097350232664894e-08
1837,2.2126094023633414e-06,6.957891152126194e-09
1838,2.1751709198269964e-06,6.312162126320686e-09
1839,1.949223246811016e-06,6.9914751765765e-10
1840,2.061231171524014e-06,1.0191502197720581e-08
1841,1.9852336095027567e-06,1.926164561183441e-09
1842,1.7984858544650706e-06,2.683306021822318e-09
1843,2.106404537016715e-06,1.7720733769266417e-09
1844,1.8298863153631828e-06,5.488561272137815e-10
1845,1.825292542889656e-06,6.69627359117797e-09
1846,1.780939342665988e-06,7.610851504580296e-09
1847,1.7792244335623764e-06,3.775256551818984e-09
1848,1.6894965852998212e-06,3.218088684420195e-09
1849,1.5694644019959014e-06,1.005529792763582e-08
1850,1.5438177030091538e-06,8.82569484161877e-09
1851,1.418231619254584e-06,1.2898877521649865e-09
1852,1.5657861780482563e-06,7.812654523320361e-09
1853,1.616601934983919e-06,5.3747388761848924e-09
1854,1.8106890280478183e-06,1.0391328908454511e-09
1855,1.5719147228310248e-06,1.0613874223963649e-09
1856,1.3388211712594966e-06,4.141751386299575e-09
1857,1.5825852131001739e-06,1.464452725752352e-09
1858,1.5405291975412183e-06,1.1744822669967903e-08
1859,1.4140965660658367e-06,5.092173349652285e-09
1860,1.5498344652087326e-06,4.119465657481669e-09
1861,1.4671363572915652e-06,1.4147891747029462e-09
1862,1.452080738317818e-06,4.9697850279528666e-09
1863,1.5018825365586963e-06,4.994620828036034e-10
1864,1.2303271859082088e-06,2.8768367688059016e-09
1865,1.313209601505605e-06,9.41368871743009e-10
1866,1.2752771141322228e-06,1.1677471434268227e-08
1867,1.1442929093163912e-06,6.308654931785895e-09
1868,1.18309989716181e-06,7.903798504571569e-09
1869,1.169114462129528e-06,3.4184632902167778e-09
1870,1.3784653063453334e-06,7.454263428741115e-09
1871,1.2288701611851138e-06,4.248470908407853e-09
1872,1.3927022166626557e-06,2.4189357183956872e-09
1873,1.0846639995065743e-06,1.2570609442263958e-08
1874,1.107692547464012e-06,8.961913433580548e-09
1875,1.055049622777915e-06,1.1443054281912168e-09
1876,1.0804227912331044e-06,2.418405919968336e-09
1877,1.0031771324747751e-06,5.566334504436554e-09
1878,9.167336543214333e-07,6.039088673581716e-10
1879,9.23729992052813e-07,8.55305559710473e-09
1880,1.134033482230734e-06,6.417846254436199e-10
1881,9.705730548148495e-07,2.0917522713936876e-09
1882,1.0375745702617678e-06,1.9966155395678697e-09
1883,9.150402746627151e-07,3.791603475633565e-09
1884,1.0127002951776376e-06,2.6406787867472303e-09
1885,9.301052159571555e-07,2.5782542767416317e-09
1886,9.189732352865576e-07,5.162771099520569e-09
1887,9.362477655372459e-07,1.0446279452569485e-08
1888,8.769070234393439e-07,1.268122939990235e-09
1889,8.827577815395671e-07,8.14467782106476e-09
1890,8.730442857540766e-07,1.3108772956016423e-09
1891,1.0313488232327472e-06,0.0
1892,9.13949108394263e-07,1.1910173070006635e-08
1893,8.289228574653862e-07,7.390099809878592e-09
1894,8.853662691876707e-07,1.2603079024842145e-08
1895,8.672823241795413e-07,3.611168697403855e-09
1896,9.411658510316556e-07,3.538217385745668e-09
1897,7.300872084670118e-07,4.07869948926276e-09
1898,8.14803112092477e-07,1.13167097914868e-09
1899,7.688861600740893e-07,2.2110313580014918e-09
1900,6.997539614417292e-07,2.07642125715779e-09
1901,7.215061899046304e-07,5.588738916095792e-10
1902,7.110091218009984e-07,2.9461704187383475e-09
1903,7.74391573088451e-07,2.7001101354784396e-09
1904,6.755903712019062e-07,2.1498500757388683e-09
1905,6.729630044333135e-07,0.0
1906,7.423058114852665e-07,3.600929110447737e-09
1907,6.634267748495404e-07,3.0857059130084963e-09
1908,6.802273730954767e-07,1.964555629285769e-09
1909,6.876229292629432e-07,2.7504918342913243e-09
1910,6.674844286180814e-07,2.67207544979442e-09
1911,6.102469072288841e-07,3.1922244847493175e-09
1912,6.699315910907444e-07,1.0418842455450772e-09
1913,6.241618919489156e-07,2.6514948570088848e-09
1914,7.065064551170508e-07,4.68772043404897e-09
1915,7.575029954409729e-07,0.0
1916,6.702351811327389e-07,3.2962386153911893e-09
1917,7.764228229234504e-07,0.0
1918,6.030347421415172e-07,0.0
1919,6.012724682591397e-07,0.0
1920,5.429290368397233e-07,6.057785384427916e-09
1921,5.70227904006515e-07,0.0
1922,5.570341272687074e-07,2.2133805899215986e-09
1923,5.615836613515057e-07,1.0615948120573648e-08
1924,5.517615058181491e-07,2.578324886925998e-09
1925,5.840032244464055e-07,2.1996355847875293e-09
1926,5.573069046249657e-07,3.343841648018042e-09
1927,6.076327636606038e-07,0.0
1928,4.867493608173845e-07,2.2852082448565625e-09
1929,5.213710281282147e-07,1.1140406375176326e-09
1930,5.188780107800994e-07,2.100720708497761e-09
1931,5.292085702990335e-07,2.2810713318222042e-09
1932,5.06330589900017e-07,6.575722188983946e-09
1933,5.012679338278758e-07,4.588264879146209e-09
1934,5.152079509684881e-07,3.5944740517379614e-09
1935,4.763377177141592e-07,1.196828414151696e-09
1936,4.08602883084086e-07,7.274828739411987e-09
1937,4.809807094829921e-07,0.0
1938,5.354633323406688e-07,0.0
1939,4.848214132380235e-07,1.5294050470515685e-09
1940,5.223712769009126e-07,0.0
1941,4.810949079114835e-07,0.0
1942,5.704318226662508e-07,0.0
1943,7.403249568938008e-07,0.0
1944,4.3699332508140287e-07,3.2131861615880553e-09
1945,5.860175988914307e-07,0.0
1946,4.691412129886885e-07,0.0
1947,4.982924117769016e-07,4.7683483828109274e-09
1948,5.033683976307657e-07,2.174377566888097e-09
1949,4.800517103831226e-07,9.817008317369869e-10
1950,4.296686064719779e-07,1.0635361480382244e-09
1951,5.501283197872908e-07,3.1984206394497505e-09
1952,4.608079251511299e-07,3.1634410646574906e-09
1953,4.384947764890512e-07,2.1547654771580937e-09
1954,4.641954802764303e-07,1.9545072227344917e-09
1955,4.270451547938592e-07,9.385607846468247e-10
1956,5.197800376777195e-07,8.72114158667614e-10
1957,3.781396173963003e-07,8.835037701437898e-10
1958,4.508372697387131e-07,0.0
1959,4.348169433399107e-07,7.750747821333448e-10
1960,4.872266643474177e-07,2.076250060767393e-09
1961,4.6274740839180595e-07,2.0844477810477713e-09
1962,5.42237266643042e-07,1.2683912808952869e-09
1963,5.243969027901585e-07,3.2330267352165265e-09
1964,5.426899960525589e-07,4.867174663303331e-09
1965,4.83728648248416e-07,1.0944086747954884e-09
1966,6.020974225862119e-07,2.215629901769489e-09
1967,5.970636607344204e-07,2.465167847631733e-09
1968,6.925763074150382e-07,1.7965663401398047e-09
1969,6.131373240236826e-07,0.0
1970,5.550661157371906e-07,2.2993624781975086e-09
1971,5.164089387221793e-07,5.138397485282553e-10
1972,5.355873184953452e-07,5.130146862875051e-10
1973,4.790973946455779e-07,6.064523994098181e-09
1974,5.158649329928267e-07,2.812785782069227e-09
1975,4.763374370497786e-07,1.1422960355389478e-09
1976,4.753654465616819e-07,3.4281160132820787e-09
1977,4.6073968817950117e-07,5.876781838942691e-10
1978,5.001977925189749e-07,5.940591352171509e-10
1979,5.132180582734236e-07,1.7555920051037788e-09
1980,4.5992867825361827e-07,1.7055452605774235e-09
1981,4.83271993090284e-07,6.325549528618524e-10
1982,4.618381836962726e-07,1.8622506869903077e-09
1983,4.4144058009010223e-07,6.315316047889041e-10
1984,4.6102118034241357e-07,2.899504303321976e-09
1985,4.024408255531853e-07,3.007779025843149e-09
1986,4.4119412834220384e-07,1.7983456945813714e-09
1987,4.4486747086125433e-07,3.6664902225425067e-09
1988,4.773256812029558e-07,2.99827696004229e-09
1989,4.549653347396543e-07,0.0
1990,4.2826397006479056e-07,5.44865097484859e-10
1991,4.3433458074559894e-07,4.68917216167597e-09
1992,4.777121738186452e-07,5.509944167592096e-10
1993,4.74156149010696e-07,6.093128224193833e-09
1994,5.580872581845142e-07,2.1099706426497278e-09
1995,5.086259022846207e-07,1.6267352465071383e-09
1996,4.564068802892507e-07,1.6014276571496566e-09
1997,5.197665657874495e-07,4.79489448146353e-10
1998,5.12097066973638e-07,3.814503490850996e-09
1999,4.926676950844922e-07,4.113180906983871e-09
2000,5.182350903965016e-07,2.6508188977203417e-09
2001,5.800724238724797e-07,3.06684819206815e-09
2002,5.134791578598197e-07,3.066854992184176e-09
2003,5.525340043277538e-07,2.500153695184082e-09
2004,5.94646820673006e-07,2.2023955992267474e-09
2005,5.706250902903776e-07,2.702249757291497e-09
2006,5.867992953767498e-07,1.6471559671771274e-09
2007,6.127531335664571e-07,3.994479469415779e-09
2008,5.747543596612559e-07,1.7029758714315335e-09
2009,6.413219040268814e-07,1.907277002999308e-09
2010,6.995937269493879e-07,4.723793189942427e-09
2011,7.391738137130233e-07,4.588766228108554e-09
2012,8.554887358513952e-07,6.127654827992046e-09
2013,9.192956440529088e-07,6.136075203500013e-09
2014,9.621072933896357e-07,8.01214730672406e-09
2015,1.009428416409719e-06,5.541438599654391e-09
2016,1.0601118560771283e-06,6.006886210663254e-09
2017,8.983248136473776e-07,4.528100561174142e-09
2018,1.006513869583614e-06,4.646640072714092e-09
2019,1.063761914110728e-06,9.438655079740954e-09
