year,mieux_ADV eu_VERB,mieux_ADV pu_VERB
1800,3.144164484325529e-09,0.0
1801,1.1905912700171939e-08,7.143547975374531e-09
1802,1.5664880947952042e-08,1.3427040812530322e-08
1803,1.5602713787643552e-08,1.5602713787643552e-08
1804,1.9774807569206132e-08,4.943701892301533e-09
1805,1.9900143755080535e-08,1.1371510844071508e-08
1806,1.152667650217154e-08,2.881669125542885e-09
1807,4.27043254092041e-08,0.0
1808,1.3596443970698147e-08,0.0
1809,1.129515236897305e-08,0.0
1810,1.1700633351097167e-08,0.0
1811,2.0056614147279106e-08,1.504245972228091e-08
1812,5.3344164641089264e-09,0.0
1813,1.7254450312975678e-08,2.8757416448144113e-09
1814,2.2026739543434815e-08,5.034683425719777e-08
1815,1.0788894222457657e-08,8.091670444798638e-09
1816,4.6352077731626196e-09,6.952811659743929e-09
1817,1.2454987263765815e-08,7.784366928831332e-09
1818,1.9073883805731384e-08,8.344824387052086e-09
1819,2.2772310259711048e-08,5.175524897538253e-09
1820,8.306536791735653e-09,0.0
1821,8.875339574387908e-09,9.861488514673056e-09
1822,8.02049271442229e-09,1.0025615893027862e-08
1823,8.894418535021487e-09,7.906149512848515e-09
1824,5.894778887238772e-09,1.0947446504872005e-08
1825,1.0566531649658373e-08,4.4027217427355936e-09
1826,1.0569580766173203e-08,4.403992281964975e-09
1827,7.373818444733615e-09,9.217273055917019e-10
1828,1.0089530988466322e-08,7.337841001486822e-09
1829,6.001223074036943e-09,6.858540846366168e-09
1830,1.7742621594152297e-08,3.1310507520032616e-09
1831,3.897801548191637e-08,3.585977381703742e-08
1832,2.976593194148336e-08,1.2176972319366541e-08
1833,1.3900354645102198e-08,1.0425265983826648e-08
1834,9.334531370086552e-09,4.667265685043276e-09
1835,1.4369867074037757e-08,3.025235173481633e-09
1836,1.9490174807401672e-08,4.032449929525228e-09
1837,1.3219993100221927e-08,1.530736071231331e-08
1838,1.0730675015224733e-08,1.199310784016916e-08
1839,1.11863602825224e-08,2.1673573158409454e-08
1840,9.554533164646273e-09,7.64362617644565e-09
1841,7.704658244733764e-09,8.346713542550788e-09
1842,1.1404051036834062e-08,8.720745015011744e-09
1843,1.2404512972352677e-08,4.7255288571079745e-09
1844,1.866110821424627e-08,9.330554107123135e-09
1845,8.928364714222425e-09,1.1160455892778032e-09
1846,1.1709002656346001e-08,1.1123552745573306e-08
1847,1.833696039454935e-08,7.011190739092399e-09
1848,7.24069959545659e-09,4.02261068899179e-09
1849,5.865590679832167e-09,1.3407063903514427e-08
1850,1.5614691761811628e-08,7.467895635215882e-09
1851,1.096404567135778e-08,1.2253933867611977e-08
1852,9.765818376195057e-09,1.4974254725075298e-08
1853,1.2541057081705276e-08,2.448492075757258e-08
1854,7.79349651480743e-09,3.63696517347023e-09
1855,1.4328730202350926e-08,3.714855978387277e-09
1856,1.0354378687793542e-08,1.4496129630003907e-08
1857,1.5620829074691756e-08,4.881508974818871e-09
1858,1.0276719919488642e-08,1.1255455234504552e-08
1859,1.8331824946926645e-08,8.656694916453489e-09
1860,1.373155189554609e-08,9.612086238064421e-09
1861,1.650587222457034e-08,9.431927239234028e-09
1862,1.400575744270327e-08,6.325180823552046e-09
1863,1.3485475847119233e-08,3.995696662428827e-09
1864,1.0068928801842958e-08,4.17141343689309e-08
1865,1.1296426905005319e-08,1.6003271596787272e-08
1866,1.1677471434268227e-08,1.5083399418358567e-08
1867,1.067618526917613e-08,5.82337378318698e-09
1868,8.89177353968762e-09,6.915823469455518e-09
1869,8.30198221279943e-09,1.1720445947105418e-08
1870,9.17447806614291e-09,9.17447806614291e-09
1871,1.1683295220166201e-08,4.248470908407853e-09
1872,1.3304146229131675e-08,9.071008832961525e-09
1873,1.2570609442263958e-08,8.380406590902112e-09
1874,8.364453130127458e-09,1.1351757756017378e-08
1875,1.0298748520654044e-08,6.293679799540541e-09
1876,1.5115036333668286e-08,4.836811839936672e-09
1877,7.421779191219002e-09,9.27722432209066e-09
1878,9.662541877730746e-09,7.850815109122777e-09
1879,5.498392852132383e-09,1.0996785704264767e-08
1880,1.0910338410496934e-08,2.5029599726167362e-08
1881,6.9725074602899895e-09,1.3945014920579979e-08
1882,1.1314154946262533e-08,9.983077475794744e-09
1883,1.8326083761621703e-08,5.0554711528150165e-09
1884,9.902545450302114e-09,8.582206056928499e-09
1885,7.7347630522695e-09,1.9981470700258797e-08
1886,9.680196200179125e-09,5.808117542471791e-09
