year,anciennes_ADJ eaux_NOUN,anciennes_ADJ peaux_NOUN
1800,0.0,0.0
1801,1.6668277424969347e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,4.290746247193056e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,5.685755422035754e-09,0.0
1806,6.627838811112952e-08,0.0
1807,0.0,0.0
1808,2.945896149242344e-08,0.0
1809,4.292158095609011e-08,0.0
1810,7.254392642153107e-08,0.0
1811,2.0056613703189896e-08,0.0
1812,5.3344162864732425e-08,0.0
1813,0.0,0.0
1814,1.2586708564299443e-08,0.0
1815,0.0,0.0
1816,0.0,6.952811659743929e-09
1817,9.341240669868967e-09,0.0
1818,1.0729059418679299e-08,0.0
1819,7.24573512300708e-09,0.0
1820,2.3732962262101864e-09,0.0
1821,1.1833785507064931e-08,0.0
1822,8.02049271442229e-09,0.0
1823,1.087095569118901e-08,0.0
1824,1.0105335235266466e-08,0.0
1825,8.805443485471187e-09,0.0
1826,3.435113971050896e-08,0.0
1827,3.6869092223668076e-09,0.0
1828,1.8344601671049787e-08,0.0
1829,1.457439946506156e-08,0.0
1830,1.878630406793036e-08,0.0
1831,7.171954763407484e-08,0.0
1832,9.470978667991403e-09,0.0
1833,1.1583628278799551e-08,0.0
1834,1.120143711119681e-08,0.0
1835,2.4201881387853064e-08,7.563087933704082e-10
1836,1.9490174807401672e-08,6.720750067579218e-10
1837,2.365682938432201e-08,0.0
1838,1.5780404538645598e-08,0.0
1839,7.690622361167243e-09,6.9914751765765e-10
1840,1.1465439264668476e-08,0.0
1841,1.0272877659645019e-08,1.926164561183441e-09
1842,5.366612043644636e-09,8.720745015011744e-09
1843,2.1855571574747046e-08,0.0
1844,1.3172547497219966e-08,0.0
1845,1.1718478631905782e-08,0.0
1846,4.0981511517657054e-09,0.0
1847,1.1865092020002521e-08,0.0
1848,2.091757700384278e-08,0.0
1849,7.54147322368226e-09,0.0
1850,6.788996032014438e-10,0.0
1851,1.3543821175687754e-08,0.0
1852,1.2370036550635177e-08,0.0
1853,8.360704129017904e-09,0.0
1854,9.871762074453727e-09,0.0
1855,3.1841622671890946e-09,0.0
1856,1.6049286344355096e-08,0.0
1857,4.881509085841174e-10,0.0
1858,4.893676130990343e-09,0.0
1859,2.49516496353408e-08,0.0
1860,1.2358396306311192e-08,0.0
