year,trois_DET airs_NOUN,trois_DET paires_NOUN
1800,4.087413785214267e-08,6.162562513623016e-07
1801,8.096020565062645e-08,4.952859642415319e-07
1802,1.7902721083373763e-08,4.856112809648039e-07
1803,2.145373123596528e-08,8.152418178308807e-07
1804,1.1123329102247226e-07,6.154909057975999e-07
1805,0.0,1.1087223015238123e-06
1806,1.613734639249742e-07,5.907421858353246e-07
1807,2.2775641372874134e-08,1.3665384201999586e-07
1808,1.5862518409903714e-08,3.0818604912496994e-07
1809,8.132509776714869e-08,3.4563166195766826e-07
1810,2.106114083133548e-08,2.1997191268496863e-07
1811,8.524060923775778e-08,1.830166027616542e-07
1812,7.20146218213813e-08,2.2937990706850542e-07
1813,1.552900432688631e-07,9.202373019157051e-08
1814,4.090680105761635e-08,2.6746755166229264e-07
1815,1.0788894222457657e-08,2.589334684444111e-07
1816,1.3905623319487859e-08,4.0558067837537237e-07
1817,1.5568734412774177e-08,6.896949260593033e-07
1818,1.1921177378582115e-08,4.172411944836085e-07
1819,2.5877625819958894e-08,2.4324967395905617e-07
1820,3.441279616822612e-08,2.907287779407852e-07
1821,4.5362847478358503e-08,1.8243752819557812e-07
1822,3.308453244699194e-08,2.8773517612989963e-07
1823,7.906149623870817e-09,4.872164529601264e-07
1824,3.452656205382709e-08,2.8800204443513167e-07
1825,1.8491430608946757e-08,8.391587016376434e-07
1826,2.2019961409824873e-08,4.967703013392111e-07
1827,1.1982455361270183e-08,3.1799590782810583e-07
1828,1.7427372434042354e-08,6.970949044671215e-07
1829,4.972442174677738e-08,2.743416249728625e-07
1830,5.0096812920230605e-08,3.2876031852424603e-07
1831,4.989186042081428e-08,2.9935116607759937e-07
1832,3.5177921020590475e-08,3.734271472044526e-07
1833,4.2859427118457916e-08,3.2665831639633325e-07
1834,2.0535967593104942e-08,4.4619056893679954e-07
1835,3.327758690829796e-08,4.991638249407515e-07
1836,2.419469957715137e-08,3.9854047972909257e-07
1837,1.87863058442872e-08,6.721322378666628e-07
1838,1.704283669745621e-08,5.478956461857365e-07
1839,4.824117816326634e-08,3.922217679530604e-07
1840,2.9300568360479673e-08,5.382387158192614e-07
1841,2.8892467973662406e-08,4.295347073579592e-07
1842,2.68330611064016e-08,2.690014238027061e-07
1843,1.8311423488626133e-08,4.134837752189924e-07
1844,1.866110915793584e-08,5.444652551034324e-07
1845,1.3950569588416784e-08,4.626009069141901e-07
1846,1.2294452567118697e-08,5.620321275046081e-07
1847,2.6966118227278457e-08,3.5433478728919e-07
1848,2.654923214606697e-08,3.8053897544187976e-07
1849,2.011059585527164e-08,4.3321574949573005e-07
1850,2.5798184921654865e-08,3.822204739378776e-07
1851,5.0305621446256055e-08,4.3985171593874384e-07
1852,3.971432693816723e-08,5.032651788638987e-07
1853,1.7318602552052198e-08,4.060913614267747e-07
1854,2.1821789930598356e-08,4.416314727251347e-07
1855,2.865746040470185e-08,4.908916757528914e-07
1856,2.536822751864065e-08,2.785327719578845e-07
1857,2.2454941239757886e-08,5.403830725114744e-07
1858,2.0553438895287712e-08,4.918144309584704e-07
1859,1.6804171831807935e-08,4.873209817901625e-07
1860,2.883625790928157e-08,4.746539756794732e-07
1861,3.065376513733398e-08,3.63600792141483e-07
1862,2.936691112509493e-08,3.600834919126328e-07
1863,1.7481173175681874e-08,3.476256029699698e-07
1864,2.205574833880064e-08,3.663172112311486e-07
1865,1.788600795249451e-08,3.9584561761785153e-07
1866,1.5569961597794446e-08,3.0993954247549027e-07
1867,3.930777303651212e-08,5.275006245142322e-07
1868,1.4819621863004784e-08,4.342149368952164e-07
1869,1.2697150109097777e-08,4.336565027074357e-07
1870,2.752343331025031e-08,4.650313663034922e-07
1871,1.0621176826930423e-08,6.128419496320703e-07
1872,1.0885210954825197e-08,5.696593561310692e-07
1873,1.8556614689302364e-08,5.878256246205638e-07
1874,1.0156835816843568e-08,7.617626742728589e-07
1875,3.2612703648737806e-08,3.8563093696097894e-07
1876,1.9951849505872588e-08,4.056875937408222e-07
1877,2.1646856307455664e-08,7.489812379191108e-07
1878,5.555961629655215e-08,6.34708220204061e-07
1879,2.443730195977878e-08,4.209325066284464e-07
1880,3.1447447090826586e-08,5.15994827310351e-07
1881,1.8128519574389657e-08,6.254339250943985e-07
1882,3.5273542087210785e-08,3.99323118571715e-07
1883,3.47563645641813e-08,4.783739520064501e-07
1884,2.178560087884307e-08,5.974536030350919e-07
1885,1.740321664556177e-08,5.349877572058404e-07
1886,2.0651084398082276e-08,5.904919575527856e-07
1887,1.1099172247952538e-08,4.929338111026027e-07
1888,2.4094335415725254e-08,4.432089575345799e-07
1889,1.37833008340138e-08,4.767769112845599e-07
1890,2.1629475988049762e-08,5.236954585541298e-07
1891,1.593555043477579e-08,5.290602818064372e-07
1892,1.4417578020342603e-08,4.644967592781768e-07
1893,1.0469308309168923e-08,6.546396811302202e-07
1894,1.8274464830270176e-08,5.891939096613896e-07
1895,2.7083765896662726e-08,4.5801657577726473e-07
1896,1.120435499935013e-08,5.348605451871435e-07
1897,1.514945524583311e-08,5.587818456831428e-07
1898,2.4896761985360172e-08,4.385224947611732e-07
1899,1.492446166651007e-08,4.6984415291717596e-07
1900,1.193942211763499e-08,4.4954520816986587e-07
1901,1.6207343245255856e-08,4.45422504213866e-07
1902,1.2766737556013652e-08,5.440594641470398e-07
1903,1.296052865029651e-08,3.7477529701845924e-07
1904,9.13686282189019e-09,4.541558169535165e-07
1905,2.3223415190898322e-08,3.767354073147544e-07
1906,1.286046086290682e-08,5.643170339908465e-07
1907,1.0799971361663552e-08,4.4691309675215507e-07
1908,2.0136695866312948e-08,4.4104275076506383e-07
1909,2.035363966257364e-08,3.5921424057505646e-07
1910,1.2825961404061559e-08,3.521795388650162e-07
1911,1.1704822999725195e-08,4.6074440263055294e-07
1912,8.335073853338315e-09,3.083977393458781e-07
1913,1.803016558277193e-08,3.759819602322523e-07
1914,3.013534694007447e-08,4.4399410903395164e-07
1915,9.424609315189514e-09,3.3339554939004756e-07
1916,1.098746182925936e-08,4.0433859282984486e-07
1917,2.0836207093033465e-08,3.0048001953275616e-07
1918,6.89182577673364e-09,3.10132168834798e-07
1919,3.038589924120316e-08,3.038590037363065e-07
1920,1.514446301698058e-08,4.4373278385023696e-07
1921,2.6504615391331754e-08,4.384620897468494e-07
1922,1.2542490324118916e-08,5.253089998547011e-07
1923,2.0170301873179142e-08,3.269711896791705e-07
1924,1.5469949321555987e-08,8.46979709479001e-07
1925,2.5295809669145797e-08,3.640397032711462e-07
1926,2.5636118672345276e-08,5.205246615958004e-07
1927,2.787306219165231e-08,3.5789011043618757e-07
1928,1.599645738092903e-08,5.587333937739913e-07
1929,3.0079096546842266e-08,4.5787070845904054e-07
1930,1.6805765667982087e-08,3.697268304847512e-07
1931,1.596749932275543e-08,3.5014444144110257e-07
1932,1.6439305028370654e-08,3.353618129864344e-07
1933,1.7205993074753678e-08,3.578846516916201e-07
1934,2.875579241390369e-08,3.294934529662896e-07
1935,1.3165112555668657e-08,4.775345274765641e-07
1936,3.8799086166108054e-08,4.6195162894946407e-07
