year,véritables_ADJ airs_NOUN,véritables_ADJ pères_NOUN
1800,0.0,0.0
1801,0.0,2.3811825400343878e-08
1802,0.0,8.951360541686881e-09
1803,0.0,2.9255089017965474e-08
1804,0.0,2.4718509461507665e-09
1805,0.0,2.842877755426798e-08
1806,3.458002950651462e-08,2.881669125542885e-09
1807,0.0,1.4234775136401367e-08
1808,2.2660739951163578e-09,2.7192887941396293e-08
1809,0.0,1.129515236897305e-08
1810,0.0,3.7442028144596406e-08
1811,0.0,2.2563690915688994e-08
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,4.09068032780624e-08
1815,0.0,5.1247248222807684e-08
1816,0.0,1.3905623319487859e-08
1817,0.0,0.0
1818,0.0,2.384235475716423e-09
1819,0.0,6.521161566297451e-08
1820,2.3732962262101864e-09,1.1866481131050932e-09
1821,0.0,1.972297702934611e-08
1822,9.023054303725075e-09,7.017931125119503e-09
1823,0.0,1.8777104315859106e-08
1824,0.0,1.431589158329416e-08
1825,0.0,2.4655239627691117e-08
1826,8.807984341885344e-10,1.3211976401805714e-08
1827,0.0,1.8434546333878643e-08
1828,0.0,9.172301140836225e-09
1829,0.0,7.715858452161939e-09
1830,0.0,1.7742621594152297e-08
1831,3.1182412207897414e-09,2.8064171431196883e-08
1832,2.705993873419743e-09,4.058990654698391e-08
1833,8.108539617524002e-09,1.1583628278799551e-08
1834,6.534171426153534e-09,2.333632664885954e-08
1835,9.075705520444899e-09,1.8907719834260206e-08
1836,5.376600054063374e-09,2.352262562510532e-08
1837,6.262101948095733e-09,2.1569461328141415e-08
1838,1.2624323808552163e-09,1.514918834821799e-08
1839,3.4957374772659477e-09,2.516931019158619e-08
1840,3.821813088222825e-09,1.273937771939515e-08
1841,0.0,1.6051371343195342e-08
1842,2.0124795163667386e-09,1.542900918138912e-08
1843,2.3627644285539873e-09,2.7762482091020502e-08
1844,0.0,1.152597861597826e-08
1845,0.0,2.5669049108500985e-08
1846,3.5127007969038004e-09,1.1709002656346001e-08
1847,0.0,1.833696039454935e-08
1848,8.045221711050488e-10,4.98803736093123e-08
1849,0.0,6.703531951757213e-09
1850,0.0,1.3577992064028876e-08
1851,0.0,1.1608989769484879e-08
1852,1.9531636308300904e-09,9.765818376195057e-09
1853,4.180352064508952e-09,1.4929829816878737e-08
1854,5.195664454227256e-10,1.2989160858012383e-08
1855,0.0,3.502578493908004e-08
1856,2.5885946719483854e-09,4.193523395201737e-08
1857,2.4407544874094356e-09,1.2691923956253959e-08
1858,0.0,1.1255455234504552e-08
1859,5.092173349652285e-10,2.4442432078330967e-08
1860,4.119465657481669e-09,2.1512764902809067e-08
1861,9.431927461278633e-10,2.782418617730542e-08
1862,9.035972525772706e-10,1.7620147341190773e-08
1863,4.994620828036034e-10,1.8480097452311384e-08
1864,0.0,1.4384183621984903e-08
1865,1.882737743486018e-09,4.330296832222302e-08
1866,0.0,3.211304583361496e-08
1867,9.7056229719783e-10,2.6690463172940326e-08
1868,0.0,3.1121207610951274e-08
1869,2.441759683335931e-09,2.5882652021635977e-08
1870,1.1468097582678638e-09,2.5803219116937726e-08
1871,0.0,2.549082545044712e-08
1872,7.256807155187062e-09,1.935148541409859e-08
1873,0.0,2.8134221174980212e-08
1874,2.9873046258899194e-09,1.4936523129449597e-08
1875,0.0,2.0025344937835143e-08
1876,4.232210137899983e-09,1.5719638923883394e-08
